user_id,event_type,timestamp,value
user_1,page_view,2024-01-15T09:23:45,1
user_1,click,2024-01-15T09:24:12,1
user_1,page_view,2024-01-15T09:25:01,1
user_1,purchase,2024-01-15T09:25:33,49.99
user_1,page_view,2024-01-15T10:15:22,1
user_1,click,2024-01-15T10:16:08,1
user_1,page_view,2024-01-15T10:17:45,1
user_1,click,2024-01-15T10:18:12,1
user_1,purchase,2024-01-15T10:19:33,99.99
user_1,page_view,2024-01-15T11:20:45,1
user_2,page_view,2024-01-15T08:30:15,1
user_2,click,2024-01-15T08:31:22,1
user_2,page_view,2024-01-15T08:32:45,1
user_2,purchase,2024-01-15T08:33:12,149.50
user_2,page_view,2024-01-15T09:45:33,1
user_2,click,2024-01-15T09:46:21,1
user_2,page_view,2024-01-15T09:47:08,1
user_2,click,2024-01-15T09:48:55,1
user_2,purchase,2024-01-15T09:49:12,19.99
user_3,page_view,2024-01-15T10:12:34,1
user_3,page_view,2024-01-15T10:13:45,1
user_3,click,2024-01-15T10:14:22,1
user_3,page_view,2024-01-15T10:15:33,1
user_3,click,2024-01-15T10:16:44,1
user_3,purchase,2024-01-15T10:17:55,79.99
user_3,page_view,2024-01-15T11:18:12,1
user_3,page_view,2024-01-15T11:19:23,1
user_3,click,2024-01-15T11:20:34,1
user_4,page_view,2024-01-15T12:22:15,1
user_4,click,2024-01-15T12:23:26,1
user_4,page_view,2024-01-15T12:24:37,1
user_4,page_view,2024-01-15T12:25:48,1
user_4,purchase,2024-01-15T12:26:59,49.99
user_4,click,2024-01-15T12:28:10,1
user_4,page_view,2024-01-15T12:29:21,1
user_4,page_view,2024-01-15T12:30:32,1
user_5,page_view,2024-01-15T13:15:45,1
user_5,page_view,2024-01-15T13:16:56,1
user_5,click,2024-01-15T13:18:07,1
user_5,page_view,2024-01-15T13:19:18,1
user_5,click,2024-01-15T13:20:29,1
user_5,purchase,2024-01-15T13:21:40,99.99
user_5,page_view,2024-01-15T13:22:51,1
user_5,click,2024-01-15T13:24:02,1
user_5,page_view,2024-01-15T13:25:13,1
user_6,page_view,2024-01-15T14:30:22,1
user_6,click,2024-01-15T14:31:33,1
user_6,page_view,2024-01-15T14:32:44,1
user_6,page_view,2024-01-15T14:33:55,1
user_6,purchase,2024-01-15T14:35:06,149.50
user_6,page_view,2024-01-15T14:36:17,1
user_6,click,2024-01-15T14:37:28,1
user_6,page_view,2024-01-15T14:38:39,1
user_6,click,2024-01-15T14:39:50,1
user_7,page_view,2024-01-16T08:15:12,1
user_7,page_view,2024-01-16T08:16:23,1
user_7,click,2024-01-16T08:17:34,1
user_7,page_view,2024-01-16T08:18:45,1
user_7,purchase,2024-01-16T08:19:56,49.99
user_7,click,2024-01-16T08:21:07,1
user_7,page_view,2024-01-16T08:22:18,1
user_7,page_view,2024-01-16T08:23:29,1
user_8,page_view,2024-01-16T09:25:33,1
user_8,click,2024-01-16T09:26:44,1
user_8,page_view,2024-01-16T09:27:55,1
user_8,page_view,2024-01-16T09:29:06,1
user_8,click,2024-01-16T09:30:17,1
user_8,purchase,2024-01-16T09:31:28,79.99
user_8,page_view,2024-01-16T09:32:39,1
user_8,page_view,2024-01-16T09:33:50,1
user_8,click,2024-01-16T09:35:01,1
user_9,page_view,2024-01-16T10:40:15,1
user_9,page_view,2024-01-16T10:41:26,1
user_9,click,2024-01-16T10:42:37,1
user_9,page_view,2024-01-16T10:43:48,1
user_9,purchase,2024-01-16T10:44:59,99.99
user_9,page_view,2024-01-16T10:46:10,1
user_9,click,2024-01-16T10:47:21,1
user_9,page_view,2024-01-16T10:48:32,1
