station_id,x_coord,y_coord,pm25,temperature,wind_speed
1,12.5,45.3,45.2,18.5,3.2
2,15.8,42.1,47.8,19.2,3.5
3,10.2,48.7,43.5,17.8,3.0
4,18.3,44.5,46.9,18.9,3.4
5,14.1,46.9,44.8,18.2,3.1
6,65.4,78.2,28.3,22.1,6.8
7,68.9,75.6,26.7,23.4,7.2
8,62.1,80.4,29.1,21.5,6.5
9,70.2,77.8,27.5,22.8,7.0
10,66.8,79.1,28.8,22.3,6.9
11,25.6,15.3,52.8,16.2,2.1
12,28.4,12.7,54.3,15.8,1.9
13,22.9,18.1,51.6,16.8,2.3
14,30.1,14.5,53.7,16.0,2.0
15,26.8,16.9,52.1,16.5,2.2
16,82.3,25.4,38.2,24.5,5.5
17,85.7,28.9,36.8,25.1,5.9
18,79.5,23.1,39.4,24.0,5.2
19,88.1,26.7,37.1,24.8,5.7
20,83.9,27.5,37.9,24.6,5.6
21,45.2,55.8,35.6,20.3,4.2
22,48.6,52.4,34.2,21.0,4.5
23,42.8,58.1,36.8,19.8,4.0
24,50.1,54.7,33.9,20.8,4.6
25,46.9,56.3,35.1,20.1,4.3
26,8.4,88.6,41.2,15.5,2.8
27,5.9,85.2,42.8,14.9,2.5
28,11.2,90.1,40.5,16.0,3.0
29,7.6,87.4,41.9,15.2,2.7
30,9.8,89.3,40.8,15.7,2.9
31,55.3,35.2,31.8,21.8,5.1
32,58.7,32.6,30.5,22.5,5.4
33,52.1,37.9,32.9,21.2,4.8
34,60.4,34.8,30.1,22.8,5.6
35,56.8,36.1,31.5,21.5,5.0
36,35.6,68.4,39.8,19.5,3.8
37,38.9,65.7,38.5,20.1,4.1
38,32.4,70.8,40.6,19.0,3.6
39,40.2,67.1,38.1,19.8,4.0
40,36.8,69.2,39.3,19.3,3.7
41,75.4,48.5,33.2,23.6,6.2
42,78.9,45.2,31.8,24.2,6.5
43,72.1,51.3,34.5,23.1,5.9
44,80.3,47.8,32.4,23.9,6.4
45,76.7,49.6,33.0,23.4,6.1
46,92.5,62.4,25.4,26.3,8.1
47,95.8,59.7,24.1,27.0,8.5
48,89.2,65.1,26.7,25.8,7.8
49,97.1,61.5,24.8,26.7,8.3
50,93.9,63.2,25.1,26.1,8.0
