[Attempt #1] Time: 8340 us | Width: 25 us | Target Voltage: 2.90V | Result: FAILED | Notes: No fault detected
[Attempt #2] Time: 15230 us | Width: 20 us | Target Voltage: 2.80V | Result: FAILED | Notes: Boot continued normally
[Attempt #3] Time: 22450 us | Width: 35 us | Target Voltage: 2.75V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #4] Time: 6780 us | Width: 15 us | Target Voltage: 2.95V | Result: FAILED | Notes: Voltage drop insufficient
[Attempt #5] Time: 31200 us | Width: 28 us | Target Voltage: 2.70V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #6] Time: 9870 us | Width: 22 us | Target Voltage: 2.88V | Result: FAILED | Notes: No fault detected
[Attempt #7] Time: 12450 us | Width: 30 us | Target Voltage: 2.85V | Result: SUCCESS | Notes: Authentication bypass confirmed
[Attempt #8] Time: 18650 us | Width: 18 us | Target Voltage: 2.92V | Result: FAILED | Notes: No fault detected
[Attempt #9] Time: 27890 us | Width: 32 us | Target Voltage: 2.78V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #10] Time: 5420 us | Width: 26 us | Target Voltage: 2.85V | Result: FAILED | Notes: Too early in boot sequence
[Attempt #11] Time: 35600 us | Width: 24 us | Target Voltage: 2.82V | Result: FAILED | Notes: No fault detected
[Attempt #12] Time: 42180 us | Width: 29 us | Target Voltage: 2.73V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #13] Time: 11230 us | Width: 21 us | Target Voltage: 2.89V | Result: FAILED | Notes: No fault detected
[Attempt #14] Time: 19450 us | Width: 27 us | Target Voltage: 2.86V | Result: FAILED | Notes: Boot continued normally
[Attempt #15] Time: 38920 us | Width: 20 us | Target Voltage: 2.75V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #16] Time: 14100 us | Width: 23 us | Target Voltage: 2.91V | Result: FAILED | Notes: No fault detected
[Attempt #17] Time: 25670 us | Width: 31 us | Target Voltage: 2.79V | Result: FAILED | Notes: Device crashed, reboot required
[Attempt #18] Time: 44500 us | Width: 19 us | Target Voltage: 2.94V | Result: FAILED | Notes: Too late in boot sequence
