sensor_id,timestamp,temperature,humidity
SENSOR_001,1650000000,22.5,65.3
SENSOR_001,1650003600,23.1,64.8
SENSOR_001,1650007200,24.2,63.5
SENSOR_001,1650010800,25.8,61.2
SENSOR_001,1650014400,26.5,59.8
SENSOR_001,1650018000,27.1,58.5
SENSOR_001,1650021600,26.8,60.1
SENSOR_001,1650025200,25.3,62.4
SENSOR_001,1650028800,23.9,64.7
SENSOR_001,1650032400,22.7,66.2
SENSOR_001,1650036000,21.8,67.8
SENSOR_001,1650039600,21.2,68.5
SENSOR_001,1650043200,20.9,69.1
SENSOR_001,1650046800,21.5,67.9
SENSOR_001,1650050400,22.3,66.4
SENSOR_002,1650000100,21.8,70.2
SENSOR_002,1650003700,22.4,69.5
SENSOR_002,1650007300,23.6,68.1
SENSOR_002,1650010900,24.9,66.7
SENSOR_002,1650014500,26.2,64.3
SENSOR_002,1650018100,27.5,62.8
SENSOR_002,1650021700,27.9,61.5
SENSOR_002,1650025300,26.7,63.2
SENSOR_002,1650028900,25.1,65.9
SENSOR_002,1650032500,23.8,68.4
SENSOR_002,1650036100,22.5,70.6
SENSOR_002,1650039700,21.7,72.1
SENSOR_002,1650043300,21.1,73.5
SENSOR_002,1650046900,21.9,71.8
SENSOR_002,1650050500,22.6,70.3
SENSOR_003,1650000200,19.5,75.8
SENSOR_003,1650003800,20.1,74.6
SENSOR_003,1650007400,21.3,73.2
SENSOR_003,1650011000,22.8,71.5
SENSOR_003,1650014600,24.3,69.8
SENSOR_003,1650018200,25.7,67.9
SENSOR_003,1650021800,26.4,66.4
SENSOR_003,1650025400,25.9,67.8
SENSOR_003,1650029000,24.5,70.1
SENSOR_003,1650032600,22.9,72.5
SENSOR_003,1650036200,21.4,74.9
SENSOR_003,1650039800,20.3,76.3
SENSOR_003,1650043400,19.8,77.1
SENSOR_003,1650047000,20.5,75.7
SENSOR_003,1650050600,21.2,74.2
SENSOR_004,1650000300,28.3,45.6
SENSOR_004,1650003900,29.1,44.2
SENSOR_004,1650007500,30.5,42.8
SENSOR_004,1650011100,31.8,41.1
SENSOR_004,1650014700,32.9,39.5
SENSOR_004,1650018300,33.5,38.2
SENSOR_004,1650021900,33.2,38.9
SENSOR_004,1650025500,31.7,41.3
SENSOR_004,1650029100,29.8,43.7
SENSOR_004,1650032700,28.4,45.9
SENSOR_004,1650036300,27.6,47.2
SENSOR_004,1650039900,27.1,48.1
SENSOR_004,1650043500,27.8,46.8
SENSOR_004,1650047100,28.5,45.4
SENSOR_004,1650050700,29.2,44.1
SENSOR_005,1650000400,18.2,82.5
SENSOR_005,1650004000,18.9,81.3
SENSOR_005,1650007600,19.8,79.8
SENSOR_005,1650011200,21.2,77.6
SENSOR_005,1650014800,22.7,75.2
SENSOR_005,1650018400,24.1,72.9
SENSOR_005,1650022000,25.3,70.5
SENSOR_005,1650025600,24.8,71.8
SENSOR_005,1650029200,23.4,74.3
SENSOR_005,1650032800,21.9,76.9
SENSOR_005,1650036400,20.5,79.4
SENSOR_005,1650040000,19.3,81.8
SENSOR_005,1650043600,18.7,83.2
SENSOR_005,1650047200,19.1,82.1
SENSOR_005,1650050800,19.9,80.5
SENSOR_006,1650000500,25.4,55.7
SENSOR_006,1650004100,26.2,54.3
SENSOR_006,1650007700,27.5,52.8
SENSOR_006,1650011300,28.9,51.2
SENSOR_006,1650014900,30.1,49.5
SENSOR_006,1650018500,31.2,47.9
SENSOR_006,1650022100,31.7,47.1
SENSOR_006,1650025700,30.8,48.6
SENSOR_006,1650029300,29.3,51.1
SENSOR_006,1650032900,27.7,53.5
SENSOR_006,1650036500,26.4,55.2
SENSOR_006,1650040100,25.6,56.4
SENSOR_006,1650043700,25.1,57.1
SENSOR_006,1650047300,25.8,56.0
SENSOR_006,1650050900,26.5,54.8
SENSOR_007,1650000600,23.7,60.4
SENSOR_007,1650004200,24.3,59.6
SENSOR_007,1650007800,25.6,58.1
SENSOR_007,1650011400,26.9,56.5
SENSOR_007,1650015000,28.2,54.8
SENSOR_007,1650018600,29.3,53.2
SENSOR_007,1650022200,29.8,52.5
SENSOR_007,1650025800,28.9,53.9
SENSOR_007,1650029400,27.4,56.2
SENSOR_007,1650033000,25.9,58.6
SENSOR_007,1650036600,24.6,60.3
SENSOR_007,1650040200,23.8,61.7
SENSOR_007,1650043800,23.3,62.5
SENSOR_007,1650047400,23.9,61.4
SENSOR_007,1650051000,24.6,60.1
SENSOR_008,1650000700,20.6,73.8
SENSOR_008,1650004300,21.3,72.5
SENSOR_008,1650007900,22.5,70.9
SENSOR_008,1650011500,24.0,68.7
SENSOR_008,1650015100,25.6,66.4
SENSOR_008,1650018700,27.1,64.1
SENSOR_008,1650022300,28.2,62.3
SENSOR_008,1650025900,27.5,63.8
SENSOR_008,1650029500,25.9,66.5
SENSOR_008,1650033100,24.2,69.2
SENSOR_008,1650036700,22.7,71.7
SENSOR_008,1650040300,21.5,73.9
SENSOR_008,1650043900,20.9,75.1
SENSOR_008,1650047500,21.6,73.6
SENSOR_008,1650051100,22.4,71.9
SENSOR_009,1650000800,17.3,85.2
SENSOR_009,1650004400,18.1,83.8
SENSOR_009,1650008000,19.2,82.1
SENSOR_009,1650011600,20.8,79.9
SENSOR_009,1650015200,22.5,77.4
SENSOR_009,1650018800,24.2,74.8
SENSOR_009,1650022400,25.7,72.3
SENSOR_009,1650026000,25.1,73.7
SENSOR_009,1650029600,23.6,76.4
SENSOR_009,1650033200,21.9,79.3
SENSOR_009,1650036800,20.3,82.0
SENSOR_009,1650040400,18.9,84.3
SENSOR_009,1650044000,18.0,85.9
SENSOR_009,1650047600,18.6,84.7
SENSOR_009,1650051200,19.4,83.0
SENSOR_010,1650000900,30.5,40.3
SENSOR_010,1650004500,31.4,38.9
SENSOR_010,1650008100,32.8,37.2
SENSOR_010,1650011700,34.1,35.6
SENSOR_010,1650015300,34.8,34.2
SENSOR_010,1650018900,34.5,34.8
SENSOR_010,1650022500,33.6,36.5
SENSOR_010,1650026100,32.1,38.9
SENSOR_010,1650029700,30.7,41.2
SENSOR_010,1650033300,29.8,42.8
SENSOR_010,1650036900,29.3,43.9
SENSOR_010,1650040500,29.9,42.6
SENSOR_010,1650044100,30.8,40.9
SENSOR_010,1650047700,31.6,39.5
SENSOR_010,1650051300,32.3,38.1
