feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,defect_label,grade_label,performance_score
45.23,678.45,0.67,23.12,450.23,67.89,12.34,890.12,45.67,0.78,34.56,123.45,678.90,0.45,56.78,234.56,45.67,0.56,0,0,87.5
52.34,712.34,0.72,25.67,478.90,71.23,13.45,912.34,48.90,0.82,36.78,134.56,689.12,0.52,58.90,245.67,47.89,0.61,0,0,91.2
38.45,589.23,0.54,21.34,412.45,62.34,10.23,823.45,41.23,0.65,31.23,112.34,645.67,0.38,52.34,218.90,42.12,0.48,1,2,35.8
61.23,756.78,0.81,28.90,523.45,78.12,15.67,967.89,52.34,0.89,39.45,145.67,723.45,0.61,62.34,267.89,51.23,0.69,0,0,93.6
28.67,512.34,0.43,19.23,378.90,56.78,8.90,756.23,36.45,0.56,27.89,98.23,598.34,0.31,48.67,198.45,38.56,0.42,1,2,28.4
49.56,645.67,0.69,24.56,456.78,69.45,12.89,876.54,46.78,0.76,35.67,128.90,667.89,0.49,57.23,238.45,46.34,0.58,0,1,72.3
55.78,698.90,0.74,26.78,489.23,73.56,14.23,923.67,49.56,0.84,37.89,138.23,695.34,0.56,59.67,251.23,49.12,0.64,0,0,89.7
33.45,545.23,0.48,20.12,395.67,59.23,9.56,789.34,38.90,0.61,29.45,105.67,621.45,0.35,50.12,208.67,40.23,0.45,1,2,32.1
58.90,734.56,0.78,27.89,512.34,76.45,15.12,945.23,51.23,0.87,38.56,142.34,712.56,0.59,61.45,261.34,50.45,0.67,0,0,92.3
42.12,612.45,0.62,22.45,434.56,65.67,11.45,845.67,43.56,0.71,33.12,119.56,656.78,0.42,54.89,228.90,44.12,0.53,0,1,68.9
47.89,667.89,0.68,24.23,461.23,68.90,12.67,887.90,46.12,0.75,35.23,127.78,673.45,0.48,56.78,236.78,45.89,0.57,0,1,74.5
31.23,534.56,0.46,19.67,387.45,58.12,9.23,772.45,37.67,0.59,28.67,102.45,612.34,0.33,49.45,203.45,39.56,0.44,1,2,30.6
54.56,689.34,0.73,26.34,481.56,72.34,13.89,915.67,48.67,0.83,37.34,136.90,687.23,0.54,59.12,248.56,48.45,0.62,0,0,88.9
37.67,578.90,0.52,20.89,407.23,61.45,10.01,812.34,40.56,0.64,30.67,109.78,638.90,0.37,51.67,215.34,41.45,0.47,1,2,34.2
60.45,748.23,0.80,28.45,518.67,77.23,15.45,956.78,51.89,0.88,39.12,144.45,718.90,0.60,62.01,265.67,50.89,0.68,0,0,94.1
44.56,634.56,0.65,23.56,448.90,67.12,12.01,867.23,45.12,0.73,34.23,124.67,663.45,0.44,55.89,232.34,45.23,0.55,0,1,70.8
50.12,656.78,0.70,25.12,467.34,70.23,13.12,895.45,47.23,0.77,36.12,130.45,678.67,0.50,57.89,241.23,46.78,0.59,0,1,76.2
35.89,567.34,0.51,20.56,401.45,60.34,9.78,798.56,39.23,0.62,29.89,107.23,628.67,0.36,50.89,211.56,40.89,0.46,1,2,31.5
57.34,723.45,0.77,27.56,506.78,75.67,14.89,934.56,50.67,0.86,38.23,141.23,706.78,0.58,60.89,258.90,49.89,0.66,0,0,91.8
40.23,601.23,0.60,21.89,423.67,64.56,11.12,834.45,42.89,0.69,32.45,117.34,651.23,0.41,53.67,225.67,43.56,0.52,0,1,67.4
48.67,678.90,0.69,24.67,463.45,69.67,12.78,881.23,46.45,0.76,35.45,128.34,670.56,0.49,57.01,237.89,46.12,0.58,0,1,73.6
