transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,45.00,NA,12.34
ENST00000000412,ENSG00000003056,1527,1327.00,78.50,,15.67
ENST00000000442,ENSG00000173153,2301,2101.00,123.20,NA,23.45
ENST00000001008,ENSG00000004478,1872,1672.00,56.80,8.92,NA
ENST00000001146,ENSG00000003989,1544,1344.00,,18.45,22.11
ENST00000002125,ENSG00000002587,2456,2256.00,89.30,NA,14.23
ENST00000002165,ENSG00000003402,1678,1478.00,102.40,NA,27.89
ENST00000002501,ENSG00000004399,1923,1723.00,67.10,,16.34
ENST00000002829,ENSG00000005001,2134,1934.00,94.50,NA,19.87
ENST00000003100,ENSG00000005108,1456,1256.00,78.90,NA,25.43
ENST00000003912,ENSG00000006047,1789,1589.00,112.30,,28.91
ENST00000004531,ENSG00000006194,2023,1823.00,85.60,NA,18.22
ENST00000005178,ENSG00000006432,1634,1434.00,91.20,NA,26.78
ENST00000005226,ENSG00000006534,1987,1787.00,103.50,,21.45
ENST00000005340,ENSG00000006625,2245,2045.00,76.40,NA,15.89
ENST00000006015,ENSG00000006747,1512,1312.00,,22.34,29.12
ENST00000006101,ENSG00000007047,1876,1676.00,88.70,NA,17.56
ENST00000007390,ENSG00000007168,2087,1887.00,95.80,NA,20.67
ENST00000008938,ENSG00000007372,1745,1545.00,81.90,,24.33
ENST00000009724,ENSG00000007520,1923,1723.00,107.60,NA,25.89
ENST00000010404,ENSG00000007923,2156,1956.00,72.30,NA,14.78
ENST00000011134,ENSG00000008128,1598,1398.00,99.40,,28.45
ENST00000012443,ENSG00000008710,1834,1634.00,86.20,NA,21.23
ENST00000013523,ENSG00000009335,2012,1812.00,93.50,NA,19.34
ENST00000014914,ENSG00000009780,1689,1489.00,105.80,,26.91
