transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,45.23,2.15,1.87
ENST00000000412,ENSG00000003056,1450,1250.00,12.34,0.42,0.36
ENST00000000442,ENSG00000173153,2201,2001.00,8.91,0.19,0.16
ENST00000001008,ENSG00000004478,3120,2920.00,156.78,2.31,2.01
ENST00000001146,ENSG00000003989,1876,1676.00,5.67,0.15,0.13
ENST00000002125,ENSG00000003137,2543,2343.00,23.45,0.43,0.37
ENST00000002165,ENSG00000001036,4521,4321.00,89.12,0.89,0.77
ENST00000002501,ENSG00000002587,1234,1034.00,178.90,7.45,6.47
ENST00000002596,ENSG00000002822,987,787.00,3.21,0.18,0.15
ENST00000002829,ENSG00000003400,2345,2145.00,15.67,0.31,0.27
ENST00000003084,ENSG00000004059,1567,1367.00,234.56,7.38,6.41
ENST00000003100,ENSG00000005001,2890,2690.00,6.78,0.11,0.09
ENST00000003912,ENSG00000005189,1678,1478.00,45.23,1.32,1.14
ENST00000004531,ENSG00000006007,3456,3256.00,12.89,0.17,0.15
ENST00000005178,ENSG00000006451,2109,1909.00,289.45,6.52,5.66
ENST00000005259,ENSG00000007080,1234,1034.00,8.90,0.37,0.32
ENST00000005340,ENSG00000007312,4567,4367.00,34.56,0.34,0.30
ENST00000006015,ENSG00000008128,1890,1690.00,123.45,3.14,2.73
ENST00000006101,ENSG00000008735,2234,2034.00,7.89,0.17,0.14
ENST00000006777,ENSG00000009413,1456,1256.00,456.78,15.64,13.59
ENST00000007390,ENSG00000010278,3245,3045.00,5.67,0.08,0.07
ENST00000008234,ENSG00000010671,2678,2478.00,98.76,1.71,1.49
ENST00000009007,ENSG00000011234,1987,1787.00,34.21,0.82,0.71
ENST00000009201,ENSG00000012048,2456,2256.00,167.89,3.20,2.78
ENST00000010404,ENSG00000012174,1345,1145.00,4.56,0.17,0.15
ENST00000011234,ENSG00000013364,3890,3690.00,23.45,0.27,0.24
ENST00000012048,ENSG00000014138,2234,2034.00,345.67,7.31,6.35
ENST00000013070,ENSG00000015475,1567,1367.00,6.78,0.21,0.18
ENST00000014914,ENSG00000016082,2890,2690.00,78.90,1.26,1.09
ENST00000015912,ENSG00000017260,1789,1589.00,12.34,0.33,0.29
ENST00000016171,ENSG00000018408,4123,3923.00,234.56,2.57,2.23
ENST00000017460,ENSG00000019102,2345,2145.00,5.67,0.11,0.10
ENST00000018408,ENSG00000020577,1456,1256.00,89.12,3.05,2.65
ENST00000019103,ENSG00000021645,3456,3256.00,23.45,0.31,0.27
ENST00000020578,ENSG00000022556,2109,1909.00,156.78,3.53,3.07
ENST00000021645,ENSG00000023445,1890,1690.00,8.90,0.23,0.20
ENST00000022891,ENSG00000024862,2678,2478.00,45.67,0.79,0.69
ENST00000023897,ENSG00000025708,1234,1034.00,278.90,11.60,10.08
ENST00000024862,ENSG00000026025,3245,3045.00,12.34,0.17,0.15
ENST00000025709,ENSG00000027697,1678,1478.00,67.89,1.98,1.72
ENST00000027315,ENSG00000028277,2890,2690.00,5.67,0.09,0.08
ENST00000028528,ENSG00000029639,1987,1787.00,123.45,2.97,2.58
ENST00000029640,ENSG00000030110,2456,2256.00,8.90,0.17,0.15
ENST00000030110,ENSG00000031698,1345,1145.00,189.12,7.10,6.17
ENST00000031698,ENSG00000032742,3890,3690.00,23.45,0.27,0.24
ENST00000032742,ENSG00000033050,2234,2034.00,45.67,0.97,0.84
ENST00000033050,ENSG00000034677,1567,1367.00,6.78,0.21,0.18
ENST00000034677,ENSG00000035499,4567,4367.00,234.56,2.31,2.00
ENST00000035499,ENSG00000036672,1890,1690.00,12.34,0.31,0.27
ENST00000036672,ENSG00000037965,2678,2478.00,89.12,1.55,1.34
ENST00000037965,ENSG00000038427,1456,1256.00,5.67,0.19,0.17
ENST00000038427,ENSG00000039560,3456,3256.00,167.89,2.22,1.92
ENST00000039560,ENSG00000040633,2109,1909.00,8.90,0.20,0.17
ENST00000040633,ENSG00000041988,1234,1034.00,345.67,14.38,12.50
ENST00000041988,ENSG00000042445,2345,2145.00,23.45,0.47,0.41
ENST00000042445,ENSG00000043355,1678,1478.00,78.90,2.30,2.00
ENST00000043355,ENSG00000044524,2890,2690.00,6.78,0.11,0.09
ENST00000044524,ENSG00000045382,1987,1787.00,123.45,2.97,2.58
ENST00000045382,ENSG00000046604,3245,3045.00,12.34,0.17,0.15
ENST00000046604,ENSG00000047249,1345,1145.00,234.56,8.81,7.65
ENST00000047249,ENSG00000048052,2678,2478.00,5.67,0.10,0.08
ENST00000048052,ENSG00000049130,1456,1256.00,89.12,3.05,2.65
ENST00000049130,ENSG00000050165,3890,3690.00,23.45,0.27,0.24
ENST00000050165,ENSG00000051180,2234,2034.00,156.78,3.32,2.88
ENST00000051180,ENSG00000052344,1567,1367.00,8.90,0.28,0.24
ENST00000052344,ENSG00000053108,4123,3923.00,45.67,0.50,0.43
ENST00000053108,ENSG00000054219,1890,1690.00,278.90,7.10,6.17
ENST00000054219,ENSG00000055163,2456,2256.00,12.34,0.24,0.20
ENST00000055163,ENSG00000056277,1234,1034.00,67.89,2.82,2.45
ENST00000056277,ENSG00000057252,3456,3256.00,5.67,0.07,0.06
ENST00000057252,ENSG00000058091,2109,1909.00,189.12,4.26,3.70
ENST00000058091,ENSG00000059378,1678,1478.00,8.90,0.26,0.22
ENST00000059378,ENSG00000060237,2890,2690.00,123.45,1.97,1.71
ENST00000060237,ENSG00000061273,1987,1787.00,23.45,0.56,0.49
ENST00000061273,ENSG00000062282,2345,2145.00,345.67,6.93,6.02
ENST00000062282,ENSG00000063177,1456,1256.00,6.78,0.23,0.20
ENST00000063177,ENSG00000064012,3245,3045.00,78.90,1.11,0.97
ENST00000064012,ENSG00000064961,2678,2478.00,12.34,0.21,0.18
ENST00000064961,ENSG00000065833,1234,1034.00,234.56,9.76,8.48
ENST00000065833,ENSG00000066468,1890,1690.00,5.67,0.14,0.12
ENST00000066468,ENSG00000067048,3890,3690.00,89.12,1.04,0.90
ENST00000067048,ENSG00000068323,2234,2034.00,23.45,0.50,0.43
ENST00000068323,ENSG00000069329,1567,1367.00,156.78,4.93,4.29
ENST00000069329,ENSG00000070371,4567,4367.00,8.90,0.09,0.07
ENST00000070371,ENSG00000071205,1678,1478.00,345.67,10.06,8.74
ENST00000071205,ENSG00000072135,2890,2690.00,12.34,0.20,0.17
ENST00000072135,ENSG00000073060,1987,1787.00,78.90,1.90,1.65
ENST00000073060,ENSG00000074211,3456,3256.00,6.78,0.09,0.08
ENST00000074211,ENSG00000075151,2109,1909.00,234.56,5.28,4.59
ENST00000075151,ENSG00000076108,1345,1145.00,23.45,0.88,0.76
ENST00000076108,ENSG00000077097,2678,2478.00,167.89,2.76,2.39
ENST00000077097,ENSG00000078018,1456,1256.00,5.67,0.19,0.17
ENST00000078018,ENSG00000078808,3245,3045.00,89.12,1.26,1.09
ENST00000078808,ENSG00000079689,2234,2034.00,8.90,0.19,0.16
ENST00000079689,ENSG00000080511,1567,1367.00,278.90,8.78,7.63
ENST00000080511,ENSG00000081479,1890,1690.00,12.34,0.31,0.27
ENST00000081479,ENSG00000082258,4123,3923.00,45.67,0.50,0.43
ENST00000082258,ENSG00000083168,2456,2256.00,6.78,0.13,0.11
ENST00000083168,ENSG00000084093,1234,1034.00,189.12,7.87,6.84
ENST00000084093,ENSG00000085117,3456,3256.00,23.45,0.31,0.27
ENST00000085117,ENSG00000086061,1678,1478.00,123.45,3.59,3.12
ENST00000086061,ENSG00000087074,2890,2690.00,8.90,0.13,0.12
ENST00000087074,ENSG00000088038,1987,1787.00,345.67,8.33,7.24
ENST00000088038,ENSG00000089022,2345,2145.00,5.67,0.11,0.10
ENST00000089022,ENSG00000090006,1456,1256.00,78.90,2.70,2.35
ENST00000090006,ENSG00000091001,3890,3690.00,12.34,0.14,0.12
ENST00000091001,ENSG00000092010,2678,2478.00,234.56,4.07,3.54
ENST00000092010,ENSG00000093010,1234,1034.00,8.90,0.37,0.32
ENST00000093010,ENSG00000094041,1890,1690.00,89.12,2.27,1.97
ENST00000094041,ENSG00000095015,3245,3045.00,23.45,0.33,0.29
ENST00000095015,ENSG00000096060,1567,1367.00,156.78,4.93,4.29
ENST00000096060,ENSG00000097007,2109,1909.00,6.78,0.15,0.13
ENST00000097007,ENSG00000098016,1345,1145.00,345.67,12.99,11.29
ENST00000098016,ENSG00000099991,2890,2690.00,12.34,0.20,0.17
ENST00000099991,ENSG00000100028,1987,1787.00,78.90,1.90,1.65
ENST00000100028,ENSG00000101109,3456,3256.00,5.67,0.07,0.06
ENST00000101109,ENSG00000102054,2234,2034.00,234.56,4.96,4.31
ENST00000102054,ENSG00000103034,1678,1478.00,23.45,0.68,0.59
ENST00000103034,ENSG00000104043,4567,4367.00,167.89,1.65,1.44
ENST00000104043,ENSG00000105048,1456,1256.00,8.90,0.30,0.26
ENST00000105048,ENSG00000106070,2678,2478.00,89.12,1.55,1.34
ENST00000106070,ENSG00000107104,1890,1690.00,6.78,0.16,0.14
ENST00000107104,ENSG00000108106,3245,3045.00,278.90,3.94,3.42
ENST00000108106,ENSG00000109072,2109,1909.00,12.34,0.28,0.24
ENST00000109072,ENSG00000110092,1234,1034.00,45.67,1.90,1.65
ENST00000110092,ENSG00000111057,3890,3690.00,5.67,0.06,0.05
ENST00000111057,ENSG00000112078,2456,2256.00,189.12,3.61,3.13
ENST00000112078,ENSG00000113013,1567,1367.00,8.90,0.28,0.24
ENST00000113013,ENSG00000114054,2890,2690.00,123.45,1.97,1.71
ENST00000114054,ENSG00000115008,1678,1478.00,23.45,0.68,0.59
ENST00000115008,ENSG00000116016,3456,3256.00,345.67,4.57,3.97
ENST00000116016,ENSG00000117020,2345,2145.00,6.78,0.14,0.12
ENST00000117020,ENSG00000118046,1456,1256.00,78.90,2.70,2.35
ENST00000118046,ENSG00000119013,2678,2478.00,12.34,0.21,0.18
ENST00000119013,ENSG00000120029,1987,1787.00,234.56,5.65,4.91
ENST00000120029,ENSG00000121005,3245,3045.00,5.67,0.08,0.07
ENST00000121005,ENSG00000122026,1234,1034.00,89.12,3.71,3.22
ENST00000122026,ENSG00000123066,1890,1690.00,23.45,0.53,0.46
ENST00000123066,ENSG00000124006,4123,3923.00,156.78,1.72,1.49
ENST00000124006,ENSG00000125003,2234,2034.00,8.90,0.19,0.16
ENST00000125003,ENSG00000126012,1678,1478.00,345.67,10.06,8.74
ENST00000126012,ENSG00000127022,2890,2690.00,12.34,0.20,0.17
ENST00000127022,ENSG00000128011,1567,1367.00,78.90,2.48,2.16
ENST00000128011,ENSG00000129084,3456,3256.00,6.78,0.09,0.08
ENST00000129084,ENSG00000130005,2109,1909.00,234.56,5.28,4.59
ENST00000130005,ENSG00000131018,1345,1145.00,23.45,0.88,0.76
ENST00000131018,ENSG00000132024,2678,2478.00,167.89,2.76,2.39
ENST00000132024,ENSG00000133019,1456,1256.00,5.67,0.19,0.17
ENST00000133019,ENSG00000134026,3890,3690.00,89.12,1.04,0.90
ENST00000134026,ENSG00000135018,2456,2256.00,8.90,0.17,0.15
ENST00000135018,ENSG00000136024,1234,1034.00,278.90,11.60,10.08
ENST00000136024,ENSG00000137033,1890,1690.00,12.34,0.31,0.27
ENST00000137033,ENSG00000138018,3245,3045.00,45.67,0.64,0.56
ENST00000138018,ENSG00000139083,1678,1478.00,6.78,0.20,0.17
ENST00000139083,ENSG00000140009,2890,2690.00,189.12,3.02,2.63
ENST00000140009,ENSG00000141027,1987,1787.00,23.45,0.56,0.49
ENST00000141027,ENSG00000142082,2345,2145.00,123.45,2.47,2.15
ENST00000142082,ENSG00000143001,1456,1256.00,8.90,0.30,0.26
ENST00000143001,ENSG00000144028,3456,3256.00,345.67,4.57,3.97
ENST00000144028,ENSG00000145002,2678,2478.00,5.67,0.10,0.08
ENST00000145002,ENSG00000146006,1234,1034.00,78.90,3.28,2.85
ENST00000146006,ENSG00000147013,1890,1690.00,12.34,0.31,0.27
