transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.45,245.67,42.15,38.92
ENST00000000412,ENSG00000003056,1527,1327.45,89.34,10.45,9.65
ENST00000000442,ENSG00000173153,2201,2001.45,1234.56,95.78,88.43
ENST00000001008,ENSG00000004478,3915,3715.45,456.78,19.08,17.62
ENST00000001146,ENSG00000003989,2876,2676.45,0.00,0.00,0.00
ENST00000002125,ENSG00000003402,1456,1256.45,567.89,70.23,64.86
ENST00000002165,ENSG00000002834,1823,1623.45,123.45,11.81,10.91
ENST00000002501,ENSG00000002587,2134,1934.45,2345.67,188.34,173.91
ENST00000002596,ENSG00000002746,987,787.45,78.90,15.56,14.37
ENST00000002829,ENSG00000002919,2456,2256.45,345.67,23.79,21.97
ENST00000003084,ENSG00000003147,1654,1454.45,0.00,0.00,0.00
ENST00000003100,ENSG00000003249,3421,3221.45,890.12,42.89,39.61
ENST00000003302,ENSG00000003393,1298,1098.45,156.78,22.16,20.47
ENST00000003583,ENSG00000003509,2789,2589.45,1567.89,94.03,86.85
ENST00000003912,ENSG00000003756,1876,1676.45,234.56,21.73,20.07
ENST00000004103,ENSG00000004059,2345,2145.45,678.90,49.12,45.36
ENST00000004531,ENSG00000004468,1567,1367.45,45.67,5.18,4.79
ENST00000004897,ENSG00000004779,3156,2956.45,456.78,23.98,22.15
ENST00000005123,ENSG00000004955,2012,1812.45,0.00,0.00,0.00
ENST00000005178,ENSG00000005020,1423,1223.45,789.01,100.17,92.51
ENST00000005259,ENSG00000005108,2567,2367.45,345.67,22.67,20.94
ENST00000005340,ENSG00000005187,1789,1589.45,123.45,12.06,11.14
ENST00000005845,ENSG00000005623,2234,2034.45,567.89,43.35,40.04
ENST00000006007,ENSG00000005801,3456,3256.45,1234.56,58.87,54.39
ENST00000006101,ENSG00000005884,1654,1454.45,234.56,25.04,23.13
ENST00000006750,ENSG00000006451,2876,2676.45,3456.78,200.65,185.32
ENST00000007390,ENSG00000007171,1987,1787.45,89.34,7.76,7.17
ENST00000007516,ENSG00000007314,2345,2145.45,678.90,49.12,45.36
ENST00000008311,ENSG00000008128,1456,1256.45,0.00,0.00,0.00
ENST00000008527,ENSG00000008311,3012,2812.45,456.78,25.22,23.29
ENST00000009041,ENSG00000008853,2123,1923.45,234.56,18.93,17.49
ENST00000009724,ENSG00000009413,1834,1634.45,567.89,53.96,49.84
ENST00000010165,ENSG00000009950,2456,2256.45,123.45,8.50,7.85
ENST00000010404,ENSG00000010219,1678,1478.45,789.01,82.84,76.52
ENST00000011134,ENSG00000010932,2987,2787.45,345.67,19.25,17.78
ENST00000011619,ENSG00000011405,1523,1323.45,0.00,0.00,0.00
ENST00000012101,ENSG00000011883,2234,2034.45,1567.89,119.67,110.54
ENST00000012443,ENSG00000012232,3421,3221.45,456.78,22.01,20.33
ENST00000013034,ENSG00000012822,1876,1676.45,234.56,21.73,20.07
ENST00000013375,ENSG00000013164,2789,2589.45,678.90,40.72,37.61
ENST00000014914,ENSG00000014257,1654,1454.45,89.34,9.54,8.81
ENST00000015479,ENSG00000015133,2345,2145.45,2345.67,169.73,156.78
ENST00000016171,ENSG00000016082,1298,1098.45,123.45,17.45,16.12
ENST00000016946,ENSG00000016864,3156,2956.45,567.89,29.82,27.55
ENST00000017310,ENSG00000017260,2012,1812.45,345.67,29.61,27.35
ENST00000018408,ENSG00000018280,1567,1367.45,0.00,0.00,0.00
ENST00000019103,ENSG00000018869,2567,2367.45,789.01,51.76,47.81
ENST00000020263,ENSG00000019991,1789,1589.45,456.78,44.61,41.21
ENST00000021645,ENSG00000021574,2234,2034.45,234.56,17.90,16.54
ENST00000022165,ENSG00000022556,3456,3256.45,678.90,32.36,29.89
ENST00000023064,ENSG00000022840,1423,1223.45,123.45,15.67,14.48
ENST00000024289,ENSG00000024556,2876,2676.45,567.89,32.95,30.44
ENST00000025008,ENSG00000024574,1987,1787.45,89.34,7.76,7.17
ENST00000026103,ENSG00000025770,2345,2145.45,0.00,0.00,0.00
ENST00000027036,ENSG00000026025,1456,1256.45,1234.56,152.59,140.94
ENST00000028203,ENSG00000027697,3012,2812.45,345.67,19.08,17.62
ENST00000029559,ENSG00000029363,2123,1923.45,456.78,36.88,34.06
ENST00000030110,ENSG00000029927,1834,1634.45,234.56,22.28,20.58
ENST00000031515,ENSG00000031003,2456,2256.45,567.89,39.08,36.10
ENST00000033050,ENSG00000032742,1678,1478.45,123.45,12.96,11.97
ENST00000034531,ENSG00000034194,2987,2787.45,3456.78,192.56,177.87
ENST00000036054,ENSG00000035499,1523,1323.45,789.01,92.56,85.49
ENST00000037267,ENSG00000036549,2234,2034.45,0.00,0.00,0.00
ENST00000038465,ENSG00000037280,3421,3221.45,345.67,16.66,15.39
ENST00000039007,ENSG00000038002,1876,1676.45,456.78,42.31,39.07
ENST00000040840,ENSG00000039068,2789,2589.45,234.56,14.07,13.00
ENST00000041988,ENSG00000040731,1654,1454.45,678.90,72.47,66.95
ENST00000043402,ENSG00000042317,2345,2145.45,89.34,6.46,5.97
ENST00000044485,ENSG00000043355,1298,1098.45,567.89,80.33,74.20
ENST00000045153,ENSG00000044090,3156,2956.45,0.00,0.00,0.00
ENST00000046109,ENSG00000044574,2012,1812.45,1234.56,105.78,97.71
ENST00000047315,ENSG00000045382,1567,1367.45,345.67,39.24,36.25
ENST00000048140,ENSG00000046653,2567,2367.45,456.78,29.96,27.68
ENST00000049246,ENSG00000047315,1789,1589.45,234.56,22.90,21.15
ENST00000050393,ENSG00000048028,2234,2034.45,678.90,51.80,47.85
ENST00000051180,ENSG00000048545,3456,3256.45,123.45,5.88,5.43
ENST00000052947,ENSG00000049541,1423,1223.45,0.00,0.00,0.00
ENST00000054668,ENSG00000051596,2876,2676.45,567.89,32.95,30.44
ENST00000055332,ENSG00000052344,1987,1787.45,789.01,68.57,63.34
ENST00000056558,ENSG00000053918,2345,2145.45,345.67,25.01,23.10
ENST00000057704,ENSG00000054654,1456,1256.45,456.78,56.45,52.15
ENST00000058866,ENSG00000055609,3012,2812.45,234.56,12.94,11.95
ENST00000059588,ENSG00000056736,2123,1923.45,678.90,54.81,50.63
ENST00000060237,ENSG00000057294,1834,1634.45,0.00,0.00,0.00
ENST00000061851,ENSG00000058272,2456,2256.45,1567.89,107.90,99.67
ENST00000062822,ENSG00000059122,1678,1478.45,123.45,12.96,11.97
ENST00000063844,ENSG00000060237,2987,2787.45,567.89,31.64,29.23
ENST00000064654,ENSG00000061273,1523,1323.45,345.67,40.56,37.48
ENST00000065735,ENSG00000062096,2234,2034.45,456.78,34.82,32.17
ENST00000067140,ENSG00000063177,3421,3221.45,234.56,11.30,10.44
ENST00000068078,ENSG00000064012,1876,1676.45,0.00,0.00,0.00
ENST00000069869,ENSG00000064651,2789,2589.45,789.01,47.33,43.72
ENST00000070190,ENSG00000065609,1654,1454.45,678.90,72.47,66.95
ENST00000071564,ENSG00000066336,2345,2145.45,345.67,25.01,23.10
ENST00000072644,ENSG00000067225,1298,1098.45,567.89,80.33,74.20
ENST00000073169,ENSG00000067606,3156,2956.45,123.45,6.45,5.96
ENST00000074498,ENSG00000068305,2012,1812.45,456.78,39.13,36.15
ENST00000075503,ENSG00000069188,1567,1367.45,0.00,0.00,0.00
ENST00000076685,ENSG00000070371,2567,2367.45,2345.67,153.87,142.12
ENST00000077348,ENSG00000071082,1789,1589.45,234.56,22.90,21.15
ENST00000078429,ENSG00000071859,2234,2034.45,678.90,51.80,47.85
ENST00000079134,ENSG00000072518,3456,3256.45,345.67,16.48,15.22
ENST00000080353,ENSG00000073060,1423,1223.45,567.89,72.09,66.59
ENST00000081760,ENSG00000073756,2876,2676.45,123.45,7.16,6.62
