transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,245.50,45.23,38.91
ENST00000000412,ENSG00000003056,1520,1320.00,189.30,23.87,20.54
ENST00000000442,ENSG00000003147,2156,1956.00,456.80,38.88,33.45
ENST00000001008,ENSG00000004478,1893,1693.00,0.00,0.00,0.00
ENST00000001146,ENSG00000003989,1678,1478.00,823.40,92.73,79.80
ENST00000002125,ENSG00000005001,2341,2141.00,1256.90,97.68,84.05
ENST00000002165,ENSG00000005206,987,787.00,34.20,7.23,6.22
ENST00000002501,ENSG00000005302,1456,1256.00,578.30,76.57,65.88
ENST00000002829,ENSG00000005884,2103,1903.00,0.00,0.00,0.00
ENST00000003100,ENSG00000006016,1789,1589.00,445.60,46.67,40.16
ENST00000003912,ENSG00000006194,2567,2367.00,2134.50,150.12,129.16
ENST00000004531,ENSG00000006468,1234,1034.00,89.40,14.39,12.38
ENST00000005178,ENSG00000006747,1678,1478.00,234.50,26.40,22.72
ENST00000005259,ENSG00000007047,2890,2690.00,3456.70,213.98,184.12
ENST00000005908,ENSG00000007237,1567,1367.00,0.00,0.00,0.00
ENST00000006015,ENSG00000007516,2234,2034.00,567.80,46.46,39.98
ENST00000006301,ENSG00000007933,1890,1690.00,892.30,87.86,75.61
ENST00000007234,ENSG00000008128,1456,1256.00,156.70,20.76,17.86
ENST00000007516,ENSG00000008277,2678,2478.00,1678.90,112.72,96.98
ENST00000008219,ENSG00000008735,1123,923.00,78.90,14.23,12.24
ENST00000008938,ENSG00000009335,1987,1787.00,234.60,21.85,18.80
ENST00000009780,ENSG00000009694,2456,2256.00,5678.30,418.91,360.44
ENST00000010298,ENSG00000010626,1734,1534.00,445.20,48.29,41.55
ENST00000011134,ENSG00000011405,1289,1089.00,0.00,0.00,0.00
ENST00000012367,ENSG00000012174,2145,1945.00,1234.50,105.61,90.87
ENST00000013125,ENSG00000012779,1567,1367.00,289.40,35.23,30.31
ENST00000014123,ENSG00000013364,1923,1723.00,567.80,54.85,47.19
ENST00000015001,ENSG00000014138,2567,2367.00,0.00,0.00,0.00
ENST00000016278,ENSG00000015475,1456,1256.00,334.50,44.30,38.12
ENST00000017289,ENSG00000016602,1890,1690.00,678.90,66.85,57.52
ENST00000018345,ENSG00000017427,2234,2034.00,1456.70,119.18,102.54
ENST00000019012,ENSG00000018408,1678,1478.00,234.50,26.40,22.72
ENST00000020145,ENSG00000019485,1234,1034.00,45.60,7.34,6.32
ENST00000021456,ENSG00000020256,2890,2690.00,2345.60,145.12,124.86
ENST00000022389,ENSG00000021645,1567,1367.00,178.90,21.78,18.74
