transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,1247.32,45.23,38.76
ENST00000000412,ENSG00000003056,1527,1327.00,892.41,22.01,18.86
ENST00000000442,ENSG00000173153,2201,2001.00,3421.67,55.98,47.96
ENST00000001008,ENSG00000004478,1638,1438.00,234.12,5.33,4.57
ENST00000001146,ENSG00000003989,2567,2367.00,0.00,0.00,0.00
ENST00000002165,ENSG00000139618,3456,3256.00,8934.21,89.78,76.92
ENST00000002829,ENSG00000174576,987,787.00,445.67,18.53,15.88
ENST00000003084,ENSG00000116254,2134,1934.00,1567.89,26.54,22.74
ENST00000003302,ENSG00000175063,1789,1589.00,0.00,0.00,0.00
ENST00000004531,ENSG00000187634,2876,2676.00,4523.12,55.34,47.41
ENST00000005178,ENSG00000078808,1423,1223.00,678.45,18.16,15.56
ENST00000005259,ENSG00000156508,3012,2812.00,12456.78,145.03,124.23
ENST00000005340,ENSG00000137154,1654,1454.00,234.89,5.29,4.53
ENST00000006015,ENSG00000171862,2345,2145.00,2134.56,32.58,27.91
ENST00000006101,ENSG00000142168,1098,898.00,0.00,0.00,0.00
ENST00000007390,ENSG00000198804,2987,2787.00,5678.23,66.67,57.12
ENST00000008235,ENSG00000116251,1876,1676.00,987.34,19.28,16.52
ENST00000009724,ENSG00000177954,2456,2256.00,3456.78,50.17,42.98
ENST00000010456,ENSG00000131711,1234,1034.00,567.89,17.98,15.40
ENST00000011234,ENSG00000155657,3421,3221.00,0.00,0.00,0.00
ENST00000012345,ENSG00000169174,1987,1787.00,1234.56,22.62,19.38
ENST00000013267,ENSG00000183878,2678,2478.00,4567.89,60.32,51.68
ENST00000014567,ENSG00000134253,1456,1256.00,345.67,9.01,7.72
ENST00000015678,ENSG00000147889,2134,1934.00,0.00,0.00,0.00
ENST00000016789,ENSG00000100644,1789,1589.00,876.54,18.05,15.47
ENST00000017890,ENSG00000163191,3456,3256.00,15678.90,157.58,135.03
ENST00000018901,ENSG00000174469,1567,1367.00,456.78,10.93,9.36
ENST00000019012,ENSG00000196924,2345,2145.00,2345.67,35.79,30.66
ENST00000020123,ENSG00000141510,1876,1676.00,1234.56,24.10,20.65
ENST00000021234,ENSG00000115415,2987,2787.00,0.00,0.00,0.00
ENST00000022345,ENSG00000072778,1234,1034.00,234.56,7.43,6.36
ENST00000023456,ENSG00000143632,3421,3221.00,8765.43,89.04,76.29
ENST00000024567,ENSG00000162571,1987,1787.00,1567.89,28.72,24.61
ENST00000025678,ENSG00000185989,2678,2478.00,3456.78,45.66,39.12
ENST00000026789,ENSG00000123374,1456,1256.00,0.00,0.00,0.00
ENST00000027890,ENSG00000167548,2134,1934.00,2876.54,48.68,41.70
ENST00000028901,ENSG00000198912,1789,1589.00,987.65,20.34,17.43
ENST00000029012,ENSG00000075624,3456,3256.00,23456.78,235.78,202.07
ENST00000030123,ENSG00000119969,1567,1367.00,678.90,16.25,13.92
ENST00000031234,ENSG00000134243,2345,2145.00,0.00,0.00,0.00
ENST00000032345,ENSG00000187634,1876,1676.00,1456.78,28.45,24.38
ENST00000033456,ENSG00000105976,2987,2787.00,6789.01,79.68,68.26
ENST00000034567,ENSG00000132693,1234,1034.00,345.67,10.94,9.37
ENST00000035678,ENSG00000102144,3421,3221.00,12345.67,125.45,107.48
ENST00000036789,ENSG00000182918,1987,1787.00,0.00,0.00,0.00
ENST00000037890,ENSG00000074800,2678,2478.00,4567.89,60.32,51.68
ENST00000038901,ENSG00000146648,1456,1256.00,567.89,14.80,12.68
ENST00000039012,ENSG00000159216,2134,1934.00,2345.67,39.69,34.01
ENST00000040123,ENSG00000117020,1789,1589.00,1234.56,25.40,21.76
ENST00000041234,ENSG00000089127,3456,3256.00,0.00,0.00,0.00
ENST00000042345,ENSG00000157404,1567,1367.00,876.54,20.98,17.98
ENST00000043456,ENSG00000100316,2345,2145.00,3456.78,52.75,45.20
ENST00000044567,ENSG00000178607,1876,1676.00,987.65,19.28,16.52
ENST00000045678,ENSG00000137310,2987,2787.00,8765.43,102.87,88.13
ENST00000046789,ENSG00000108639,1234,1034.00,0.00,0.00,0.00
ENST00000047890,ENSG00000196411,3421,3221.00,15678.90,159.29,136.49
ENST00000048901,ENSG00000138496,1987,1787.00,1567.89,28.72,24.61
ENST00000049012,ENSG00000177575,2678,2478.00,4567.89,60.32,51.68
ENST00000050123,ENSG00000151729,1456,1256.00,456.78,11.90,10.20
ENST00000051234,ENSG00000073282,2134,1934.00,0.00,0.00,0.00
ENST00000052345,ENSG00000140416,1789,1589.00,2876.54,59.22,50.74
ENST00000053456,ENSG00000163485,3456,3256.00,18765.43,188.57,161.59
ENST00000054567,ENSG00000134108,1567,1367.00,678.90,16.25,13.92
ENST00000055678,ENSG00000137942,2345,2145.00,2345.67,35.79,30.66
ENST00000056789,ENSG00000165029,1876,1676.00,0.00,0.00,0.00
ENST00000057890,ENSG00000154473,2987,2787.00,7890.12,92.62,79.37
ENST00000058901,ENSG00000173599,1234,1034.00,234.56,7.43,6.36
ENST00000059012,ENSG00000115884,3421,3221.00,9876.54,100.32,85.94
ENST00000060123,ENSG00000066336,1987,1787.00,1234.56,22.62,19.38
ENST00000061234,ENSG00000142676,2678,2478.00,0.00,0.00,0.00
ENST00000062345,ENSG00000100393,1456,1256.00,567.89,14.80,12.68
ENST00000063456,ENSG00000123358,2134,1934.00,3456.78,58.49,50.12
ENST00000064567,ENSG00000148773,1789,1589.00,987.65,20.34,17.43
ENST00000065678,ENSG00000134020,3456,3256.00,21234.56,213.41,182.88
ENST00000066789,ENSG00000162616,1567,1367.00,0.00,0.00,0.00
ENST00000067890,ENSG00000148400,2345,2145.00,4567.89,69.66,59.69
ENST00000068901,ENSG00000163694,1876,1676.00,1234.56,24.10,20.65
ENST00000069012,ENSG00000106993,2987,2787.00,8765.43,102.87,88.13
ENST00000070123,ENSG00000133703,1234,1034.00,345.67,10.94,9.37
ENST00000071234,ENSG00000142937,3421,3221.00,0.00,0.00,0.00
ENST00000072345,ENSG00000157764,1987,1787.00,2876.54,52.71,45.17
ENST00000073456,ENSG00000140988,2678,2478.00,5678.90,75.01,64.26
ENST00000074567,ENSG00000110092,1456,1256.00,678.90,17.69,15.16
ENST00000075678,ENSG00000143314,2134,1934.00,2345.67,39.69,34.01
ENST00000076789,ENSG00000172967,1789,1589.00,0.00,0.00,0.00
ENST00000077890,ENSG00000185885,3456,3256.00,17654.32,177.45,152.05
ENST00000078901,ENSG00000106511,1567,1367.00,876.54,20.98,17.98
ENST00000079012,ENSG00000139618,2345,2145.00,3456.78,52.75,45.20
ENST00000080123,ENSG00000162614,1876,1676.00,1234.56,24.10,20.65
ENST00000081234,ENSG00000117318,2987,2787.00,0.00,0.00,0.00
ENST00000082345,ENSG00000188290,1234,1034.00,234.56,7.43,6.36
ENST00000083456,ENSG00000134258,3421,3221.00,11234.56,114.17,97.83
ENST00000084567,ENSG00000151012,1987,1787.00,1567.89,28.72,24.61
ENST00000085678,ENSG00000118513,2678,2478.00,4567.89,60.32,51.68
ENST00000086789,ENSG00000142168,1456,1256.00,0.00,0.00,0.00
ENST00000087890,ENSG00000111640,2134,1934.00,2876.54,48.68,41.70
ENST00000088901,ENSG00000164062,1789,1589.00,987.65,20.34,17.43
ENST00000089012,ENSG00000108679,3456,3256.00,19876.54,199.76,171.17
ENST00000090123,ENSG00000141510,1567,1367.00,678.90,16.25,13.92
ENST00000091234,ENSG00000162616,2345,2145.00,0.00,0.00,0.00
ENST00000092345,ENSG00000134644,1876,1676.00,1456.78,28.45,24.38
ENST00000093456,ENSG00000185022,2987,2787.00,6789.01,79.68,68.26
ENST00000094567,ENSG00000155657,1234,1034.00,345.67,10.94,9.37
ENST00000095678,ENSG00000114374,3421,3221.00,13456.78,136.67,117.11
ENST00000096789,ENSG00000143632,1987,1787.00,0.00,0.00,0.00
ENST00000097890,ENSG00000147889,2678,2478.00,4567.89,60.32,51.68
ENST00000098901,ENSG00000171862,1456,1256.00,567.89,14.80,12.68
ENST00000099012,ENSG00000196924,2134,1934.00,2345.67,39.69,34.01
ENST00000100123,ENSG00000134253,1789,1589.00,1234.56,25.40,21.76
ENST00000101234,ENSG00000169174,3456,3256.00,0.00,0.00,0.00
ENST00000102345,ENSG00000183878,1567,1367.00,876.54,20.98,17.98
ENST00000103456,ENSG00000198804,2345,2145.00,3456.78,52.75,45.20
ENST00000104567,ENSG00000137154,1876,1676.00,987.65,19.28,16.52
ENST00000105678,ENSG00000156508,2987,2787.00,8765.43,102.87,88.13
ENST00000106789,ENSG00000078808,1234,1034.00,0.00,0.00,0.00
ENST00000107890,ENSG00000187634,3421,3221.00,16789.01,170.45,146.05
ENST00000108901,ENSG00000175063,1987,1787.00,1567.89,28.72,24.61
ENST00000109012,ENSG00000116254,2678,2478.00,4567.89,60.32,51.68
ENST00000110123,ENSG00000174576,1456,1256.00,456.78,11.90,10.20
ENST00000111234,ENSG00000139618,2134,1934.00,0.00,0.00,0.00
ENST00000112345,ENSG00000173153,1789,1589.00,2876.54,59.22,50.74
ENST00000113456,ENSG00000003056,3456,3256.00,20123.45,202.23,173.30
ENST00000114567,ENSG00000004059,1567,1367.00,678.90,16.25,13.92
ENST00000115678,ENSG00000004478,2345,2145.00,2345.67,35.79,30.66
ENST00000116789,ENSG00000003989,1876,1676.00,0.00,0.00,0.00
ENST00000117890,ENSG00000177954,2987,2787.00,7890.12,92.62,79.37
ENST00000118901,ENSG00000116251,1234,1034.00,234.56,7.43,6.36
ENST00000119012,ENSG00000198912,3421,3221.00,10123.45,102.82,88.09
ENST00000120123,ENSG00000167548,1987,1787.00,1234.56,22.62,19.38
ENST00000121234,ENSG00000123374,2678,2478.00,0.00,0.00,0.00
ENST00000122345,ENSG00000185989,1456,1256.00,567.89,14.80,12.68
ENST00000123456,ENSG00000162571,2134,1934.00,3456.78,58.49,50.12
ENST00000124567,ENSG00000143632,1789,1589.00,987.65,20.34,17.43
ENST00000125678,ENSG00000072778,3456,3256.00,22345.67,224.54,192.43
