transcript_id,gene_id,length,effective_length,expected_count,TPM,FPKM
ENST00000000233,ENSG00000004059,1103,903.00,452.00,45.23,38.91
ENST00000000412,ENSG00000003056,1430,1230.00,1205.00,88.56,76.19
ENST00000000442,ENSG00000003249,2089,1889.00,89.00,4.26,3.66
ENST00000001146,ENSG00000003509,1562,1362.00,0.00,0.00,0.00
ENST00000001208,ENSG00000004478,1845,1645.00,678.00,37.25,32.04
ENST00000002125,ENSG00000005001,2456,2256.00,2890.00,115.76,99.58
ENST00000002165,ENSG00000005020,1298,1098.00,234.00,19.26,16.57
ENST00000002501,ENSG00000005189,3421,3221.00,156.00,4.38,3.77
ENST00000002596,ENSG00000005379,1687,1487.00,892.00,54.20,46.63
ENST00000002829,ENSG00000005700,2134,1934.00,3456.00,161.48,138.89
ENST00000003100,ENSG00000006016,1089,889.00,0.00,0.00,0.00
ENST00000003302,ENSG00000006194,1923,1723.00,445.00,23.33,20.07
ENST00000003912,ENSG00000006327,2567,2367.00,1823.00,69.58,59.87
ENST00000004531,ENSG00000006453,1456,1256.00,789.00,56.76,48.83
ENST00000004982,ENSG00000006534,3789,3589.00,289.00,7.28,6.26
ENST00000005178,ENSG00000006625,1234,1034.00,1567.00,136.94,117.79
ENST00000005259,ENSG00000006747,2012,1812.00,98.00,4.89,4.21
ENST00000005340,ENSG00000006831,1678,1478.00,2340.00,143.04,123.09
ENST00000005448,ENSG00000006914,2890,2690.00,567.00,19.04,16.38
ENST00000005863,ENSG00000007038,1567,1367.00,0.00,0.00,0.00
ENST00000006015,ENSG00000007171,1890,1690.00,834.00,44.59,38.36
ENST00000006101,ENSG00000007237,2345,2145.00,4567.00,192.35,165.49
ENST00000006344,ENSG00000007372,1123,923.00,456.00,44.66,38.42
ENST00000006750,ENSG00000007516,3456,3256.00,178.00,4.94,4.25
ENST00000007016,ENSG00000007923,1789,1589.00,1234.00,70.17,60.38
ENST00000007390,ENSG00000008128,2109,1909.00,567.00,26.83,23.08
ENST00000007516,ENSG00000008226,1456,1256.00,0.00,0.00,0.00
ENST00000008209,ENSG00000008311,2678,2478.00,3289.00,119.90,103.15
ENST00000008938,ENSG00000008735,1923,1723.00,892.00,46.76,40.23
ENST00000009724,ENSG00000009307,1567,1367.00,234.00,15.47,13.31
ENST00000010270,ENSG00000009780,3012,2812.00,456.00,14.65,12.60
ENST00000010608,ENSG00000010030,1234,1034.00,1890.00,165.18,142.11
ENST00000011134,ENSG00000010292,2456,2256.00,678.00,27.16,23.36
ENST00000011619,ENSG00000010671,1890,1690.00,2456.00,131.26,112.93
ENST00000012101,ENSG00000010810,2234,2034.00,89.00,3.95,3.40
ENST00000012443,ENSG00000011021,1678,1478.00,0.00,0.00,0.00
ENST00000012779,ENSG00000011304,2901,2701.00,5678.00,189.97,163.44
ENST00000013070,ENSG00000011465,1456,1256.00,789.00,56.76,48.83
ENST00000013583,ENSG00000011600,3234,3034.00,123.00,3.66,3.15
ENST00000014914,ENSG00000011917,1789,1589.00,1456.00,82.79,71.22
ENST00000015379,ENSG00000012048,2123,1923.00,345.00,16.21,13.94
ENST00000015745,ENSG00000012174,1567,1367.00,0.00,0.00,0.00
ENST00000016171,ENSG00000012660,2890,2690.00,3890.00,130.65,112.40
ENST00000016578,ENSG00000012817,1234,1034.00,567.00,49.55,42.63
ENST00000017081,ENSG00000012963,1923,1723.00,892.00,46.76,40.23
ENST00000017729,ENSG00000013275,3456,3256.00,234.00,6.49,5.59
ENST00000018236,ENSG00000013364,1678,1478.00,1678.00,102.58,88.27
ENST00000018625,ENSG00000013523,2234,2034.00,456.00,20.25,17.42
ENST00000019103,ENSG00000013810,1890,1690.00,2901.00,155.18,133.49
ENST00000019405,ENSG00000013933,1456,1256.00,0.00,0.00,0.00
ENST00000020256,ENSG00000014123,2678,2478.00,789.00,28.76,24.74
ENST00000021645,ENSG00000014919,1567,1367.00,1234.00,81.56,70.16
ENST00000022153,ENSG00000015153,2345,2145.00,345.00,14.53,12.50
ENST00000022517,ENSG00000015285,1234,1034.00,0.00,0.00,0.00
ENST00000023064,ENSG00000015475,3012,2812.00,4567.00,146.71,126.23
ENST00000023939,ENSG00000016082,1789,1589.00,892.00,50.71,43.62
ENST00000024526,ENSG00000016402,2109,1909.00,567.00,26.83,23.08
ENST00000025008,ENSG00000016602,1923,1723.00,234.00,12.27,10.56
ENST00000025301,ENSG00000016864,1456,1256.00,1890.00,135.90,116.90
ENST00000026289,ENSG00000017260,2456,2256.00,0.00,0.00,0.00
ENST00000026850,ENSG00000017427,1890,1690.00,678.00,36.25,31.18
ENST00000027335,ENSG00000017593,3234,3034.00,2456.00,73.13,62.91
ENST00000028064,ENSG00000018236,1678,1478.00,456.00,27.88,23.99
ENST00000028707,ENSG00000018408,2234,2034.00,3289.00,146.07,125.68
ENST00000029633,ENSG00000018625,1567,1367.00,0.00,0.00,0.00
ENST00000030110,ENSG00000018869,2890,2690.00,892.00,29.96,25.77
ENST00000030893,ENSG00000019102,1234,1034.00,1567.00,136.94,117.79
ENST00000031515,ENSG00000019405,1923,1723.00,789.00,41.38,35.60
ENST00000032369,ENSG00000019991,2678,2478.00,234.00,8.53,7.34
ENST00000033178,ENSG00000020129,1456,1256.00,0.00,0.00,0.00
ENST00000033867,ENSG00000020256,3456,3256.00,5678.00,157.52,135.50
ENST00000034526,ENSG00000021645,1789,1589.00,1234.00,70.17,60.38
ENST00000035115,ENSG00000022153,2345,2145.00,456.00,18.64,16.04
ENST00000035774,ENSG00000022517,1567,1367.00,892.00,58.97,50.73
ENST00000036473,ENSG00000023064,2109,1909.00,0.00,0.00,0.00
ENST00000037074,ENSG00000023939,1890,1690.00,2340.00,125.22,107.73
ENST00000037801,ENSG00000024526,1234,1034.00,567.00,49.55,42.63
ENST00000038721,ENSG00000025008,2456,2256.00,678.00,27.16,23.36
ENST00000039007,ENSG00000025301,1678,1478.00,1678.00,102.58,88.27
ENST00000039650,ENSG00000026289,3012,2812.00,0.00,0.00,0.00
ENST00000040531,ENSG00000026850,1923,1723.00,3456.00,181.31,155.99
ENST00000041357,ENSG00000027335,1456,1256.00,789.00,56.76,48.83
ENST00000042376,ENSG00000028064,2234,2034.00,234.00,10.40,8.94
ENST00000043402,ENSG00000028707,1567,1367.00,1234.00,81.56,70.16
ENST00000044026,ENSG00000029633,2890,2690.00,456.00,15.31,13.17
ENST00000045240,ENSG00000030110,1234,1034.00,0.00,0.00,0.00
ENST00000046115,ENSG00000030893,1890,1690.00,2901.00,155.18,133.49
ENST00000046634,ENSG00000031515,2678,2478.00,892.00,32.54,27.99
ENST00000047315,ENSG00000032369,1789,1589.00,1456.00,82.79,71.22
ENST00000048140,ENSG00000033178,2345,2145.00,0.00,0.00,0.00
ENST00000049130,ENSG00000033867,1456,1256.00,1890.00,135.90,116.90
ENST00000050344,ENSG00000034526,1923,1723.00,678.00,35.59,30.61
ENST00000051270,ENSG00000035115,3456,3256.00,234.00,6.49,5.59
ENST00000052017,ENSG00000035774,1678,1478.00,4567.00,248.28,213.59
ENST00000052809,ENSG00000036473,2109,1909.00,567.00,26.83,23.08
ENST00000053747,ENSG00000037074,1567,1367.00,892.00,58.97,50.73
ENST00000054666,ENSG00000037801,2890,2690.00,0.00,0.00,0.00
ENST00000055332,ENSG00000038721,1234,1034.00,1567.00,136.94,117.79
ENST00000056534,ENSG00000039007,1890,1690.00,789.00,42.26,36.35
ENST00000057704,ENSG00000039650,2456,2256.00,2456.00,98.37,84.63
