id,value,category
1,320,B
2,8,A
3,550,E
4,1100,C
5,240,D
6,675,A
7,3,B
8,890,C
9,1250,E
10,445,D
11,125,A
12,780,B
13,5,C
14,920,E
15,1450,D
16,340,A
17,615,B
18,2,C
19,855,E
20,1300,D
21,490,A
22,725,B
23,6,C
24,980,E
25,1150,D
26,265,A
27,530,B
28,1,C
29,810,E
30,1400,D
31,395,A
32,670,B
33,9,C
34,945,E
35,1200,D
36,185,A
37,590,B
38,4,C
39,875,E
40,1350,D
41,420,A
42,710,B
43,7,C
44,965,E
45,1500,D
46,305,A
47,640,B
48,15,C
49,825,E
50,1100,D
51,450,A
52,775,B
53,3,C
54,930,E
55,1275,D
56,370,A
57,685,B
58,8,C
59,900,E
60,1425,D
61,235,A
62,560,B
63,6,C
64,995,E
65,1180,D
66,415,A
67,750,B
68,2,C
69,870,E
70,1320,D
71,290,A
72,625,B
73,10,C
74,955,E
75,1050,D
76,345,A
77,690,B
78,5,C
79,845,E
80,1460,D
81,480,A
82,735,B
83,12,C
84,910,E
85,1225,D
86,520,A
87,795,B
88,4,C
89,885,E
90,1375,D
91,255,A
92,605,B
93,9,C
94,970,E
95,1140,D
96,380,A
97,715,B
98,7,C
99,850,E
100,1290,D
101,435,A
102,760,B
103,3,C
104,925,E
105,1025,D
106,315,A
107,655,B
108,11,C
109,990,E
110,1485,D
111,465,A
112,740,B
113,6,C
114,865,E
115,1160,D
116,205,A
117,575,B
118,8,C
119,935,E
120,1340,D
121,390,A
122,700,B
123,2,C
124,880,E
125,1410,D
126,270,A
127,630,B
128,13,C
129,815,E
130,1095,D
131,505,A
132,770,B
133,5,C
134,940,E
135,1245,D
136,330,A
137,665,B
138,9,C
139,895,E
140,1390,D
141,445,A
142,780,B
143,4,C
144,960,E
145,1070,D
146,360,A
147,695,B
148,14,C
149,905,E
150,1440,D
151,225,A
152,585,B
153,7,C
154,975,E
155,1120,D
156,410,A
157,745,B
158,6,C
159,920,E
160,1310,D
161,285,A
162,640,B
163,11,C
164,860,E
165,1200,D
166,535,A
167,800,B
168,3,C
169,915,E
170,1005,D
