id,value,category
1,450,A
2,5,B
3,780,C
4,1200,A
5,95,D
6,340,E
7,8,C
8,920,B
9,1150,D
10,670,A
11,230,C
12,3,E
13,540,B
14,890,A
15,1300,C
16,45,D
17,760,E
18,2,A
19,410,B
20,980,C
21,125,D
22,7,E
23,650,A
24,1450,B
25,380,C
26,820,D
27,4,E
28,590,A
29,1100,B
30,270,C
31,940,D
32,6,E
33,480,A
34,1250,B
35,720,C
36,160,D
37,9,E
38,850,A
39,1380,B
40,420,C
41,680,D
42,1,E
43,310,A
44,970,B
45,1500,C
46,550,D
47,240,E
48,890,A
49,5,B
50,630,C
51,1050,D
52,370,E
53,780,A
54,2,B
55,920,C
56,490,D
57,8,E
58,710,A
59,1220,B
60,340,C
61,860,D
62,4,E
63,520,A
64,1400,B
65,670,C
66,190,D
67,7,E
68,800,A
69,1180,B
70,430,C
71,740,D
72,3,E
73,580,A
74,1090,B
75,290,C
76,950,D
77,6,E
78,460,A
79,1310,B
80,690,C
81,140,D
82,9,E
83,830,A
84,1420,B
85,510,C
86,760,D
87,1,E
88,390,A
89,990,B
90,2,C
91,620,D
92,1130,E
93,350,A
94,870,B
95,5,C
96,700,D
97,1260,E
98,470,A
99,810,B
100,8,C
101,330,D
102,950,E
103,4,A
104,590,B
105,1170,C
106,410,D
107,750,E
108,7,A
109,880,B
110,1350,C
111,530,D
112,660,E
113,210,A
114,6,B
115,820,C
116,1480,D
117,440,E
118,780,A
119,3,B
120,910,C
121,1020,D
122,370,E
123,720,A
124,9,B
125,560,C
126,1140,D
127,290,E
128,840,A
129,2,B
130,490,C
131,980,D
132,5,E
133,640,A
134,1280,B
135,380,C
136,770,D
137,8,E
138,510,A
139,1060,B
140,320,C
141,890,D
142,1,E
143,450,A
144,1190,B
145,690,C
146,170,D
147,7,E
148,800,A
149,1430,B
150,540,C
151,730,D
152,4,E
153,600,A
154,1110,B
155,360,C
156,940,D
157,6,E
158,480,A
159,1320,B
160,710,C
161,250,D
162,9,E
163,860,A
164,1460,B
165,520,C
166,790,D
167,3,E
168,430,A
169,1000,B
170,670,C
171,10,D
172,550,E
173,1150,A
174,390,B
175,850,C
176,2,D
177,620,E
178,1240,A
179,470,B
180,780,C
181,150,D
182,9,E
183,830,A
184,1370,B
185,500,C
186,740,D
187,5,E
188,610,A
189,1090,B
190,340,C
