id,value,category
1,145,E
2,2,B
3,920,A
4,1550,D
5,370,C
6,785,B
7,5,A
8,650,E
9,1200,C
10,490,D
11,125,A
12,875,B
13,3,E
14,1450,C
15,560,D
16,220,A
17,940,B
18,8,E
19,1100,D
20,410,C
21,680,A
22,1,B
23,830,E
24,1320,D
25,295,C
26,760,A
27,6,B
28,515,E
29,1480,C
30,380,D
31,910,A
32,4,B
33,625,E
34,1550,D
35,445,C
36,870,A
37,7,B
38,720,E
39,1210,C
40,335,D
41,580,A
42,9,B
43,965,E
44,1390,D
45,255,C
46,805,A
47,2,B
48,490,E
49,1475,C
50,615,D
51,340,A
52,745,B
53,5,E
54,1120,D
55,425,C
56,890,A
57,8,B
58,670,E
59,1340,C
60,510,D
61,280,A
62,950,B
63,3,E
64,1200,D
65,395,C
66,820,A
67,6,B
68,555,E
69,1460,C
70,440,D
71,710,A
72,1,B
73,635,E
74,1310,D
75,365,C
76,885,A
77,9,B
78,770,E
79,1180,C
80,525,D
81,240,A
82,845,B
83,4,E
84,1420,D
85,480,C
86,925,A
87,7,B
88,595,E
89,1500,C
90,315,D
91,760,A
92,2,B
93,685,E
94,1270,D
95,405,C
96,815,A
97,8,B
98,540,E
99,1350,C
100,465,D
101,735,A
102,5,B
103,990,E
104,1145,D
105,280,C
106,860,A
107,3,B
108,615,E
109,1490,C
110,390,D
111,705,A
112,9,B
113,825,E
114,1225,D
115,335,C
116,575,A
117,6,B
118,940,E
119,1385,C
120,445,D
121,670,A
122,1,B
123,795,E
124,1510,D
125,520,C
126,310,A
127,885,B
128,7,E
129,1160,D
130,425,C
131,750,A
132,4,B
133,605,E
134,1295,D
135,355,C
136,920,A
137,8,B
138,565,E
139,1440,C
140,490,D
141,715,A
142,2,B
143,840,E
144,1370,D
145,405,C
146,785,A
147,6,B
148,630,E
149,1195,C
150,510,D
151,265,A
152,905,B
153,5,E
154,1130,D
155,375,C
156,820,A
157,9,B
158,695,E
159,1455,C
160,435,D
161,770,A
162,3,B
163,855,E
164,1320,D
165,540,C
166,645,A
167,7,B
168,975,E
169,1240,C
170,380,D
171,725,A
172,1,B
173,590,E
174,1475,D
175,315,C
