id,value,category
1,680,C
2,3,E
3,420,A
4,1300,B
5,155,D
6,892,B
7,45,C
8,1450,A
9,267,E
10,8,D
11,534,B
12,789,C
13,23,A
14,912,E
15,6,D
16,445,C
17,1200,B
18,678,A
19,91,E
20,823,D
21,4,C
22,556,B
23,1100,A
24,234,E
25,890,D
26,12,C
27,745,B
28,2,A
29,467,E
30,923,D
31,189,C
32,1350,B
33,601,A
34,78,E
35,5,D
36,834,C
37,456,B
38,1500,A
39,312,E
40,723,D
41,89,C
42,967,B
43,7,A
44,445,E
45,856,D
46,234,C
47,1250,B
48,567,A
49,34,E
50,901,D
51,1,C
52,678,B
53,789,A
54,123,E
55,934,D
56,456,C
57,9,B
58,1400,A
59,345,E
60,812,D
61,67,C
62,923,B
63,1150,A
64,278,E
65,6,D
66,589,C
67,734,B
68,2,A
69,401,E
70,867,D
71,145,C
72,1300,B
73,623,A
74,89,E
75,4,D
76,756,C
77,890,B
78,1450,A
79,312,E
80,945,D
81,234,C
82,3,B
83,567,A
84,823,E
85,78,D
86,901,C
87,1200,B
88,445,A
89,5,E
90,789,D
91,156,C
92,934,B
93,1500,A
94,267,E
95,812,D
96,8,C
97,678,B
98,890,A
99,123,E
100,956,D
101,345,C
102,1350,B
103,601,A
104,7,E
105,734,D
106,189,C
107,1100,B
108,478,A
109,823,E
110,67,D
111,912,C
112,6,B
113,556,A
114,1250,E
115,289,D
116,845,C
117,401,B
118,4,A
119,723,E
120,978,D
121,134,C
122,1400,B
123,589,A
124,78,E
125,867,D
126,9,C
127,712,B
128,1150,A
129,345,E
130,890,D
131,223,C
132,3,B
133,634,A
134,956,E
135,8,D
136,778,C
137,1300,B
138,423,A
139,89,E
140,912,D
141,5,C
142,667,B
143,1500,A
144,301,E
145,834,D
146,156,C
147,7,B
148,789,A
149,923,E
150,67,D
151,845,C
152,1200,B
153,512,A
154,234,E
155,6,D
156,901,C
157,1450,B
158,378,A
159,756,E
160,89,D
161,4,C
162,823,B
163,1100,A
164,445,E
165,934,D
166,267,C
167,2,B
168,678,A
169,890,E
170,123,D
171,812,C
172,9,B
173,567,A
174,1350,E
175,401,D
176,745,C
177,8,B
178,623,A
179,956,E
180,189,D
