customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,num_support_calls,avg_session_duration,data_usage_gb,num_products,satisfaction_score,account_balance,last_interaction_days,churned
1001,34,12,65.5,786.0,Month-to-Month,Electronic Check,Fiber Optic,0,0,1,1,1,5,45.2,125.3,2,3.2,0.0,5,1
1002,45,48,89.3,4286.4,One Year,Bank Transfer,DSL,1,1,0,0,0,1,62.8,85.6,3,4.5,0.0,12,0
1003,28,6,55.2,331.2,Month-to-Month,Credit Card,Fiber Optic,0,0,0,1,1,8,38.5,156.7,1,2.8,15.5,3,1
1004,52,60,95.8,5748.0,Two Year,Bank Transfer,Fiber Optic,1,1,1,1,0,0,78.3,95.4,4,4.8,0.0,45,0
1005,23,3,45.0,135.0,Month-to-Month,Electronic Check,DSL,0,0,0,0,1,12,25.4,45.2,1,2.1,35.0,2,1
1006,67,72,102.5,7380.0,Two Year,Mailed Check,Fiber Optic,1,1,1,1,0,0,85.6,110.8,5,4.9,0.0,60,0
1007,41,24,78.4,1881.6,One Year,Credit Card,DSL,1,0,1,0,1,2,58.9,72.3,3,4.2,0.0,18,0
1008,19,2,39.5,79.0,Month-to-Month,Electronic Check,Fiber Optic,0,0,0,0,1,15,22.1,178.9,1,1.8,50.0,1,1
1009,56,54,88.7,4789.8,Two Year,Bank Transfer,DSL,1,1,0,1,0,1,71.2,68.4,4,4.6,0.0,40,0
1010,33,18,68.9,1240.2,Month-to-Month,Credit Card,Fiber Optic,0,1,1,1,1,4,52.3,142.6,2,3.7,0.0,8,0
1011,29,8,52.3,418.4,Month-to-Month,Electronic Check,DSL,0,0,0,0,1,9,35.7,92.1,1,2.5,22.0,4,1
1012,48,36,82.1,2955.6,One Year,Bank Transfer,Fiber Optic,1,1,1,0,0,1,65.4,88.9,3,4.4,0.0,25,0
1013,38,42,91.6,3847.2,Two Year,Credit Card,Fiber Optic,1,1,1,1,1,0,68.7,102.3,4,4.7,0.0,35,0
1014,25,5,48.2,241.0,Month-to-Month,Electronic Check,DSL,0,0,0,1,1,10,28.9,67.5,1,2.3,18.5,2,1
1015,61,66,98.4,6494.4,Two Year,Mailed Check,Fiber Optic,1,1,1,1,0,0,82.1,98.7,5,4.8,0.0,50,0
1016,44,30,75.6,2268.0,One Year,Bank Transfer,DSL,1,0,0,1,1,2,59.8,75.8,3,4.1,0.0,20,0
1017,31,14,62.8,879.2,Month-to-Month,Credit Card,Fiber Optic,0,0,1,0,1,6,44.6,138.4,2,3.4,0.0,7,1
1018,70,68,105.3,7160.4,Two Year,Bank Transfer,Fiber Optic,1,1,1,1,0,0,89.2,105.6,5,5.0,0.0,55,0
1019,26,4,42.7,170.8,Month-to-Month,Electronic Check,DSL,0,0,0,0,1,11,26.3,52.4,1,2.0,28.0,3,1
1020,53,46,86.9,3997.4,Two Year,Credit Card,DSL,1,1,1,0,0,1,73.5,82.1,4,4.5,0.0,38,0
