id,value,category
1,245.67,A
2,89.34,B
3,567.12,C
4,123.45,D
5,890.23,A
6,456.78,B
7,234.56,C
8,678.90,D
9,345.67,A
10,789.12,B
11,123.98,C
12,456.23,D
13,678.45,A
14,234.89,B
15,567.34,C
16,890.56,D
17,345.12,A
18,678.67,B
19,234.23,C
20,567.89,D
21,890.45,A
22,123.67,B
23,456.89,C
24,789.23,D
25,345.56,A
26,678.12,B
27,234.67,C
28,567.45,D
29,890.78,A
30,123.34,B
31,456.56,C
32,789.89,D
33,345.23,A
34,678.45,B
35,234.12,C
36,567.78,D
37,890.34,A
38,123.56,B
39,456.12,C
40,789.67,D
41,345.89,A
42,678.23,B
43,234.45,C
44,567.56,D
45,890.12,A
46,123.78,B
47,456.34,C
48,789.45,D
49,345.67,A
50,678.89,B
51,234.23,C
52,567.67,D
53,890.45,A
54,123.12,B
55,456.78,C
56,789.34,D
57,345.56,A
58,678.12,B
59,234.89,C
60,567.23,D
61,890.67,A
62,123.45,B
63,456.89,C
64,789.12,D
65,345.34,A
66,678.56,B
67,234.78,C
68,567.45,D
69,890.23,A
70,123.89,B
71,456.67,C
72,789.34,D
73,345.12,A
74,678.45,B
75,234.56,C
76,567.89,D
77,890.12,A
78,123.67,B
79,456.23,C
80,789.78,D
81,345.45,A
82,678.89,B
83,234.34,C
84,567.12,D
85,890.56,A
86,123.23,B
87,456.45,C
88,789.67,D
89,345.78,A
90,678.34,B
91,234.12,C
92,567.56,D
93,890.89,A
94,123.45,B
95,456.12,C
96,789.23,D
97,345.67,A
98,678.78,B
99,234.45,C
100,567.34,D
101,890.67,A
102,123.12,B
103,456.56,C
104,789.89,D
105,345.23,A
106,678.45,B
107,234.67,C
108,567.78,D
109,890.34,A
110,123.56,B
111,456.89,C
112,789.12,D
113,345.45,A
114,678.23,B
115,234.78,C
116,567.45,D
117,890.12,A
118,123.67,B
119,456.34,C
120,789.56,D
121,345.89,A
122,678.12,B
123,234.23,C
124,567.67,D
125,890.45,A
126,123.78,B
127,456.23,C
128,789.34,D
129,345.56,A
130,678.67,B
131,234.89,C
132,567.12,D
133,890.23,A
134,123.45,B
135,456.78,C
136,789.89,D
137,345.12,A
138,678.34,B
139,234.56,C
140,567.89,D
141,890.67,A
142,123.23,B
143,456.45,C
144,789.78,D
145,345.34,A
146,678.56,B
147,234.12,C
148,567.45,D
149,890.78,A
150,123.89,B
