entry_number,filename,parent_entry,is_deleted,modified_time,file_size,file_type
5,system32,0,false,2023-12-01T08:15:32Z,0,directory
12,explorer.exe,5,false,2023-12-05T10:22:18Z,4218880,file
18,notepad.exe,5,false,2023-12-10T14:35:42Z,217088,file
23,Users,0,false,2023-12-01T08:15:32Z,0,directory
29,admin,23,false,2023-12-02T09:18:45Z,0,directory
34,Documents,29,false,2023-12-03T11:22:33Z,0,directory
41,Downloads,29,false,2023-12-03T11:22:35Z,0,directory
47,Desktop,29,false,2023-12-03T11:22:37Z,0,directory
52,report_q4.pdf,34,false,2023-12-15T13:45:22Z,2458624,file
58,presentation.pptx,34,false,2023-12-20T09:15:38Z,8756432,file
63,budget_2024.xlsx,34,false,2024-01-05T10:30:15Z,156789,file
69,meeting_notes.docx,34,false,2024-01-08T14:22:48Z,45632,file
74,confidential.pdf,34,true,2024-01-16T08:15:22Z,3245678,file
80,passwords.txt,34,true,2024-01-16T09:22:45Z,2048,file
85,employee_data.xlsx,34,true,2024-01-16T10:45:18Z,5678234,file
91,financial_report.docx,34,true,2024-01-17T11:30:25Z,876543,file
97,backup.zip,41,true,2024-01-17T13:15:42Z,15678945,file
103,credentials.txt,47,true,2024-01-17T14:22:18Z,4096,file
108,secret_project.pdf,34,true,2024-01-17T15:48:33Z,7234567,file
114,audit_log.txt,34,true,2024-01-18T09:12:45Z,123456,file
120,company_secrets.docx,34,true,2024-01-18T10:35:22Z,234567,file
125,sensitive_data.xlsx,34,true,2024-01-18T11:48:15Z,9876543,file
131,client_list.csv,34,true,2024-01-18T13:22:38Z,567890,file
137,private_keys.pem,47,true,2024-01-18T14:55:12Z,8192,file
142,contract_draft.docx,34,true,2024-01-18T16:15:45Z,445678,file
148,bank_statements.pdf,34,true,2024-01-18T18:22:33Z,3456789,file
154,payroll.xlsx,34,true,2024-01-18T20:45:18Z,1234567,file
159,vacation_photo.jpg,41,false,2024-01-12T16:22:45Z,3456789,file
165,invoice_jan.pdf,34,false,2024-01-19T09:15:22Z,234567,file
171,schedule.xlsx,34,false,2024-01-20T10:30:18Z,67890,file
176,readme.txt,47,false,2024-01-21T11:45:33Z,1024,file
182,installer.exe,41,false,2024-01-22T13:22:45Z,12345678,file
188,Program Files,0,false,2023-12-01T08:15:32Z,0,directory
193,Microsoft,188,false,2023-12-01T08:15:33Z,0,directory
199,Office,193,false,2023-12-05T09:22:18Z,0,directory
204,winword.exe,199,false,2023-12-05T09:22:20Z,23456789,file
210,excel.exe,199,false,2023-12-05T09:22:22Z,21234567,file
216,powerpnt.exe,199,false,2023-12-05T09:22:24Z,19876543,file
221,config.xml,199,false,2024-01-10T14:35:22Z,8192,file
227,temp_data.tmp,34,true,2024-01-14T23:45:18Z,456789,file
232,screenshot.png,47,true,2024-01-15T00:15:22Z,1234567,file
238,notes.txt,34,true,2024-01-15T08:30:45Z,16384,file
244,temp_cache.dat,41,true,2024-01-15T09:45:33Z,8765432,file
250,image001.jpg,41,false,2024-01-13T10:22:18Z,2345678,file
15,calc.exe,5,false,2023-12-08T15:42:28Z,987654,file
26,cmd.exe,5,false,2023-12-09T11:18:45Z,567890,file
32,regedit.exe,5,false,2023-12-11T09:35:22Z,876543,file
38,Windows,0,false,2023-12-01T08:15:32Z,0,directory
44,System32,38,false,2023-12-01T08:15:33Z,0,directory
50,drivers,44,false,2023-12-01T08:15:34Z,0,directory
56,ntoskrnl.exe,44,false,2023-12-02T10:22:45Z,10234567,file
62,hal.dll,44,false,2023-12-02T10:22:47Z,876543,file
68,kernel32.dll,44,false,2023-12-02T10:22:49Z,1234567,file
73,user32.dll,44,false,2023-12-02T10:22:51Z,2345678,file
79,gdi32.dll,44,false,2023-12-02T10:22:53Z,987654,file
84,ntdll.dll,44,false,2023-12-02T10:22:55Z,1876543,file
90,advapi32.dll,44,false,2023-12-02T10:22:57Z,765432,file
96,ole32.dll,44,false,2023-12-02T10:22:59Z,1456789,file
102,shell32.dll,44,false,2023-12-02T10:23:01Z,2987654,file
107,comctl32.dll,44,false,2023-12-02T10:23:03Z,1654321,file
113,ws2_32.dll,44,false,2023-12-02T10:23:05Z,345678,file
119,AppData,29,false,2023-12-03T11:22:39Z,0,directory
124,Local,119,false,2023-12-03T11:22:41Z,0,directory
130,Temp,124,false,2023-12-03T11:22:43Z,0,directory
136,cache.db,130,false,2024-01-11T15:30:22Z,9876543,file
141,log_20240115.txt,130,true,2024-01-15T12:45:18Z,234567,file
147,temp_extract.zip,130,true,2024-01-15T14:22:45Z,23456789,file
153,session_data.dat,130,true,2024-01-16T15:35:22Z,6789012,file
158,user_prefs.xml,130,false,2024-01-09T09:18:45Z,12345,file
164,cookies.txt,130,false,2024-01-12T10:22:33Z,45678,file
170,history.db,130,false,2024-01-14T11:35:18Z,3456789,file
175,favicon.ico,130,false,2024-01-19T08:45:22Z,4096,file
181,profile.json,130,false,2024-01-20T09:15:38Z,8192,file
187,settings.ini,130,false,2024-01-21T10:30:45Z,2048,file
192,bookmarks.html,130,false,2024-01-22T11:45:18Z,16384,file
198,extensions.dat,130,false,2024-01-23T12:22:33Z,123456,file
203,Public,23,false,2023-12-02T09:18:47Z,0,directory
209,Documents,203,false,2023-12-03T11:22:45Z,0,directory
215,sample.txt,209,false,2024-01-08T14:35:22Z,1024,file
220,readme.md,209,false,2024-01-10T15:18:45Z,2048,file
226,info.pdf,209,false,2024-01-11T16:22:18Z,567890,file
231,guest,23,false,2023-12-02T09:18:49Z,0,directory
237,Downloads,231,false,2023-12-03T11:22:47Z,0,directory
243,setup.exe,237,false,2024-01-07T13:45:22Z,8765432,file
