2024-01-15 13:45:00 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2B3C4D | replay_lsn: 0/4A2B3C40 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.2
2024-01-15 13:45:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2B4D2E | replay_lsn: 0/4A2B4D20 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.8
2024-01-15 13:46:00 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2B5F1A | replay_lsn: 0/4A2B5F00 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.1
2024-01-15 13:46:30 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2B7C8B | replay_lsn: 0/4A2B7C82 | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.5
2024-01-15 13:47:00 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2B9A4C | replay_lsn: 0/4A2B9A48 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.9
2024-01-15 13:47:30 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2BB5D7 | replay_lsn: 0/4A2BB5D0 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.4
2024-01-15 13:48:00 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2BD1E8 | replay_lsn: 0/4A2BD1DC | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.8
2024-01-15 13:48:30 | replay_lag_seconds: 2 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2BEF23 | replay_lsn: 0/4A2BEF1E | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.1
2024-01-15 13:49:00 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2C0A45 | replay_lsn: 0/4A2C0A40 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.2
2024-01-15 13:49:30 | replay_lag_seconds: 2 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2C2567 | replay_lsn: 0/4A2C2560 | state: streaming | sync_priority: 0 | network_throughput_mbps: 5.6
2024-01-15 13:50:00 | replay_lag_seconds: 3 | write_lag_seconds: 2 | flush_lag_seconds: 2 | sent_lsn: 0/4A2C4189 | replay_lsn: 0/4A2C417C | state: streaming | sync_priority: 0 | network_throughput_mbps: 6.9
2024-01-15 13:50:30 | replay_lag_seconds: 1 | write_lag_seconds: 1 | flush_lag_seconds: 1 | sent_lsn: 0/4A2C5CAB | replay_lsn: 0/4A2C5CA8 | state: streaming | sync_priority: 0 | network_throughput_mbps: 7.5
