chain,iteration,mu,sigma,tau
1,1,5.123,2.045,1.523
1,2,5.234,2.123,1.487
1,3,5.198,2.089,1.512
1,4,5.176,2.156,1.534
1,5,5.211,2.134,1.498
1,6,5.189,2.178,1.521
1,7,5.223,2.145,1.509
1,8,5.201,2.167,1.543
1,9,5.187,2.198,1.518
1,10,5.245,2.156,1.502
1,11,5.213,2.189,1.536
1,12,5.198,2.145,1.514
1,13,5.234,2.167,1.498
1,14,5.209,2.134,1.527
1,15,5.187,2.178,1.511
1,16,5.223,2.156,1.489
1,17,5.198,2.189,1.534
1,18,5.245,2.145,1.506
1,19,5.211,2.167,1.521
1,20,5.189,2.198,1.498
1,21,5.234,2.134,1.543
1,22,5.201,2.178,1.515
1,23,5.223,2.156,1.502
1,24,5.187,2.189,1.536
1,25,5.209,2.145,1.509
1,26,5.245,2.167,1.521
1,27,5.198,2.134,1.498
1,28,5.223,2.178,1.534
1,29,5.211,2.156,1.512
1,30,5.187,2.189,1.498
1,31,5.234,2.145,1.527
1,32,5.201,2.167,1.506
1,33,5.223,2.134,1.521
1,34,5.189,2.178,1.498
1,35,5.245,2.156,1.543
1,36,5.209,2.189,1.515
1,37,5.198,2.145,1.502
1,38,5.234,2.167,1.536
1,39,5.211,2.134,1.509
1,40,5.187,2.178,1.521
1,41,5.223,2.156,1.498
1,42,5.201,2.189,1.534
1,43,5.245,2.145,1.512
1,44,5.209,2.167,1.498
1,45,5.198,2.134,1.527
1,46,5.234,2.178,1.506
1,47,5.187,2.156,1.521
1,48,5.223,2.189,1.498
1,49,5.211,2.145,1.543
1,50,5.189,2.167,1.515
1,51,5.245,2.134,1.502
1,52,5.201,2.178,1.536
1,53,5.223,2.156,1.509
1,54,5.198,2.189,1.521
1,55,5.234,2.145,1.498
1,56,5.209,2.167,1.534
1,57,5.187,2.134,1.512
1,58,5.245,2.178,1.498
1,59,5.211,2.156,1.527
1,60,5.198,2.189,1.506
1,61,5.223,2.145,1.521
1,62,5.201,2.167,1.498
1,63,5.234,2.134,1.543
1,64,5.189,2.178,1.515
1,65,5.245,2.156,1.502
1,66,5.209,2.189,1.536
1,67,5.198,2.145,1.509
1,68,5.223,2.167,1.521
1,69,5.211,2.134,1.498
1,70,5.187,2.178,1.534
1,71,5.234,2.156,1.512
1,72,5.201,2.189,1.498
1,73,5.245,2.145,1.527
1,74,5.209,2.167,1.506
1,75,5.198,2.134,1.521
1,76,5.223,2.178,1.498
1,77,5.187,2.156,1.543
1,78,5.234,2.189,1.515
1,79,5.211,2.145,1.502
1,80,5.189,2.167,1.536
1,81,5.245,2.134,1.509
