study_name,effect_size,variance
Study_2015_Anderson,0.92,0.035
Study_2015_Williams,1.15,0.028
Study_2016_Chen,0.78,0.045
Study_2016_Martinez,1.34,0.025
Study_2017_Johnson,0.85,0.038
Study_2017_Brown,1.28,0.031
Study_2017_Davis,0.95,0.042
Study_2018_Wilson,1.45,0.022
Study_2018_Moore,0.68,0.055
Study_2018_Taylor,1.12,0.033
Study_2019_Thomas,0.88,0.048
Study_2019_Jackson,1.38,0.027
Study_2019_White,0.75,0.062
Study_2020_Harris,1.25,0.029
Study_2020_Martin,0.52,0.088
Study_2020_Thompson,1.05,0.036
Study_2021_Garcia,0.98,0.041
Study_2021_Martinez,1.42,0.024
Study_2021_Robinson,0.65,0.072
Study_2022_Clark,1.18,0.032
Study_2022_Rodriguez,0.42,0.105
Study_2022_Lewis,1.08,0.039
Study_2023_Lee,0.88,0.051
Study_2023_Walker,1.32,0.026
