customer_tier,contract_type,support_level,geographic_region,account_age_days,monthly_charges,total_purchases,support_tickets,will_renew
bronze,monthly,basic,north,45,25.50,3,5,0
silver,quarterly,premium,south,180,75.25,12,3,1
bronze,monthly,basic,east,60,30.00,2,8,0
gold,annual,premium,west,730,150.75,45,2,1
platinum,annual,enterprise,central,1200,450.00,120,1,1
bronze,monthly,basic,south,90,20.00,5,12,0
silver,quarterly,premium,north,365,85.50,25,4,1
gold,annual,premium,east,900,175.00,60,1,1
bronze,monthly,basic,west,120,35.00,8,10,0
platinum,annual,enterprise,north,1500,480.00,150,0,1
silver,monthly,basic,central,200,65.00,15,6,0
gold,quarterly,premium,south,550,140.00,35,3,1
bronze,monthly,basic,east,75,28.00,4,9,0
platinum,annual,enterprise,west,1800,495.00,180,1,1
silver,quarterly,premium,north,300,80.00,20,5,1
bronze,monthly,basic,south,50,22.50,1,15,0
gold,annual,premium,central,1000,160.00,70,2,1
silver,monthly,basic,east,150,70.00,10,7,0
platinum,quarterly,enterprise,west,950,420.00,95,2,1
bronze,monthly,basic,north,100,32.00,6,11,0
gold,annual,premium,south,820,155.00,55,1,1
silver,quarterly,premium,central,400,88.00,28,4,1
bronze,monthly,basic,east,65,26.00,3,13,0
platinum,annual,enterprise,north,2100,500.00,190,0,1
gold,quarterly,premium,west,600,145.00,40,3,1
silver,monthly,basic,south,180,72.00,14,8,0
bronze,monthly,basic,central,80,29.00,5,10,0
platinum,annual,enterprise,east,1650,475.00,165,1,1
gold,annual,premium,north,880,158.00,62,2,1
silver,quarterly,premium,west,350,82.00,22,5,1
bronze,monthly,basic,south,55,24.00,2,14,0
gold,annual,premium,central,950,162.00,68,1,1
platinum,quarterly,enterprise,east,1100,435.00,110,2,1
silver,monthly,basic,north,190,68.00,13,6,0
bronze,monthly,basic,west,70,27.50,4,12,0
gold,annual,premium,south,780,152.00,52,2,1
silver,quarterly,premium,central,320,84.00,24,4,1
platinum,annual,enterprise,north,1900,490.00,175,1,1
bronze,monthly,basic,east,95,31.00,7,9,0
gold,quarterly,premium,west,650,148.00,42,3,1
silver,monthly,basic,south,170,69.00,11,7,0
bronze,monthly,basic,north,85,30.50,6,11,0
platinum,annual,enterprise,central,2000,485.00,185,0,1
gold,annual,premium,east,850,157.00,58,2,1
silver,quarterly,premium,west,380,86.00,26,5,1
bronze,monthly,basic,south,60,25.00,3,13,0
gold,annual,premium,north,920,161.00,65,1,1
platinum,quarterly,enterprise,east,1050,440.00,105,2,1
silver,monthly,basic,central,200,71.00,15,6,0
bronze,monthly,basic,west,75,28.50,5,10,0
gold,annual,premium,south,800,154.00,54,2,1
