id,value1,value2,value3
1,45.2,67.8,23.4
2,12.5,89.1,56.7
3,78.9,34.2,91.3
4,56.3,45.7,78.2
5,23.1,92.4,34.8
6,67.8,21.3,89.5
7,91.4,56.9,12.6
8,34.7,78.5,67.1
9,82.3,43.6,95.4
10,15.9,67.2,41.8
11,48.6,29.8,73.9
12,73.2,84.1,28.3
13,29.5,51.7,64.2
14,95.1,38.4,19.7
15,41.8,72.9,85.6
16,64.3,16.5,52.4
17,87.6,93.2,37.1
18,19.4,58.6,74.8
19,52.7,25.3,96.2
20,76.9,81.7,43.5
21,33.2,47.8,69.1
22,98.5,62.4,15.3
23,44.1,34.9,81.7
24,69.8,88.3,26.9
25,26.4,53.1,92.8
26,81.7,19.6,48.4
27,37.9,76.2,63.7
28,92.3,41.5,29.6
29,58.6,97.8,84.2
30,14.2,64.7,51.9
31,71.5,28.9,76.3
32,49.8,85.4,32.1
33,83.1,52.3,68.5
34,38.4,71.6,94.7
35,65.9,23.8,47.2
36,22.7,89.5,73.6
37,88.2,46.1,18.4
38,53.4,79.7,61.8
39,79.6,31.2,86.9
40,46.3,68.9,24.5
41,97.1,54.6,79.3
42,31.8,92.7,42.1
43,74.5,37.4,98.6
44,18.9,83.2,55.7
45,61.2,49.8,71.4
46,85.7,74.3,36.8
47,42.6,18.7,83.9
48,96.4,61.5,28.2
49,27.3,95.1,64.6
50,68.1,42.9,91.7
51,54.8,76.4,19.8
52,89.2,33.7,57.3
53,35.6,87.9,72.5
54,77.4,51.2,38.9
55,43.9,69.8,85.1
56,99.7,24.6,49.4
57,28.1,81.3,93.2
58,62.5,46.7,27.6
59,86.8,94.5,61.9
60,39.7,57.1,78.4
61,72.3,22.4,96.8
62,51.6,88.7,43.2
63,94.9,35.9,69.7
64,25.8,73.6,52.1
65,67.4,48.2,87.5
66,47.1,91.8,31.4
67,84.6,59.3,74.9
68,36.2,26.7,98.3
69,93.8,82.4,45.6
70,55.3,63.9,21.2
71,21.6,97.3,66.8
72,76.2,44.1,92.4
73,49.5,78.6,37.7
74,91.9,53.8,82.1
75,32.4,69.2,58.6
