x,y,z,intensity
0,0,0,127
0,0,1,89
0,0,2,156
0,0,3,78
0,0,4,234
0,0,5,145
0,0,6,67
0,0,7,198
0,0,8,123
0,0,9,89
0,0,10,167
0,0,11,234
0,0,12,98
0,0,13,176
0,0,14,145
0,0,15,67
0,0,16,209
0,0,17,134
0,0,18,89
0,0,19,178
0,0,20,123
0,0,21,201
0,0,22,156
0,0,23,89
0,0,24,167
0,0,25,134
0,0,26,98
0,0,27,189
0,0,28,145
0,0,29,112
0,0,30,178
0,0,31,156
0,0,32,123
0,0,33,201
0,0,34,167
0,0,35,134
0,0,36,98
0,0,37,189
0,0,38,156
0,0,39,123
0,0,40,201
0,0,41,178
0,0,42,145
0,0,43,112
0,0,44,189
0,0,45,167
0,0,46,134
0,0,47,201
0,0,48,178
0,0,49,156
0,0,50,123
0,0,51,201
0,0,52,189
0,0,53,167
0,0,54,145
0,0,55,123
0,0,56,201
0,0,57,189
0,0,58,178
0,0,59,167
0,0,60,156
0,0,61,145
0,0,62,134
0,0,63,123
0,1,0,145
0,1,1,167
0,1,2,189
0,1,3,123
0,1,4,201
0,1,5,178
0,1,6,156
0,1,7,134
0,1,8,112
0,1,9,189
0,1,10,167
0,1,11,145
0,1,12,223
0,1,13,201
0,1,14,178
0,1,15,156
0,1,16,134
0,1,17,212
0,1,18,189
0,1,19,167
0,1,20,145
0,1,21,123
0,1,22,201
0,1,23,189
0,1,24,178
0,1,25,167
0,1,26,156
0,1,27,145
0,1,28,134
0,1,29,123
0,1,30,212
0,1,31,201
0,1,32,189
0,1,33,178
0,1,34,167
0,1,35,156
0,1,36,145
0,1,37,134
0,1,38,123
0,1,39,212
0,1,40,201
0,1,41,189
0,1,42,178
0,1,43,167
0,1,44,156
0,1,45,145
0,1,46,134
0,1,47,223
0,1,48,212
0,1,49,201
0,1,50,189
0,1,51,178
0,1,52,167
0,1,53,156
0,1,54,145
0,1,55,134
0,1,56,223
0,1,57,212
0,1,58,201
0,1,59,189
0,1,60,178
0,1,61,167
0,1,62,156
0,1,63,145
0,2,0,134
0,2,1,156
0,2,2,178
0,2,3,112
0,2,4,189
0,2,5,167
0,2,6,145
0,2,7,223
0,2,8,201
0,2,9,178
0,2,10,156
0,2,11,134
0,2,12,212
0,2,13,189
0,2,14,167
0,2,15,145
0,2,16,123
0,2,17,201
0,2,18,178
0,2,19,156
0,2,20,134
0,2,21,212
0,2,22,189
0,2,23,167
0,2,24,145
0,2,25,123
0,2,26,201
0,2,27,189
0,2,28,178
0,2,29,167
0,2,30,156
0,2,31,145
0,2,32,134
0,2,33,223
0,2,34,212
0,2,35,201
0,2,36,189
0,2,37,178
0,2,38,167
0,2,39,156
0,2,40,145
0,2,41,134
0,2,42,223
0,2,43,212
0,2,44,201
0,2,45,189
0,2,46,178
0,2,47,167
0,2,48,156
0,2,49,145
0,2,50,134
0,2,51,223
0,2,52,212
0,2,53,201
0,2,54,189
0,2,55,178
0,2,56,167
0,2,57,156
0,2,58,145
0,2,59,134
0,2,60,223
0,2,61,212
0,2,62,201
0,2,63,189
0,3,0,123
0,3,1,145
0,3,2,167
0,3,3,189
0,3,4,112
0,3,5,134
0,3,6,156
0,3,7,178
0,3,8,201
0,3,9,223
0,3,10,145
0,3,11,167
0,3,12,189
0,3,13,112
0,3,14,134
0,3,15,156
0,3,16,178
0,3,17,201
0,3,18,223
