procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  220000  480000  85000  520000     0     0   120   180  1200  2400 15  8 68  9  0
 2  0  225000  475000  84500  518000    45     0   135   195  1350  2650 18  9 65  8  0
 1  1  230000  465000  84000  515000   180    85   160   210  1480  2890 22 11 58 10  1
 2  1  245000  445000  83000  510000   520   340   245   285  1820  3250 28 14 48 11  0
 3  1  268000  410000  81500  505000  1240   880   380   350  2150  3680 35 17 38 12  0
 4  2  295000  375000  79000  495000  2340  1890   450   420  2500  4500 42 22 28 15  0
 5  2  335000  320000  76000  485000  3420  2650   580   510  3100  5400 48 26 18 18  0
 6  3  385000  265000  72000  475000  4580  3340   720   650  3650  6200 52 30 12 22  1
 5  3  445000  210000  68000  460000  5640  4120   890   780  4100  7100 55 32  8 26  0
 6  3  510000  165000  64000  445000  6850  4980  1020   920  4450  7650 58 35  5 28  1
 7  4  580000  125000  59000  430000  7420  5580  1180  1050  4850  8200 60 38  2 30  0
 6  4  620000  95000  55000  415000  6980  5240  1140   980  4620  7890 58 36  3 29  0
 5  3  640000  88000  52000  405000  5320  4150   920   850  4200  7200 54 32  6 27  1
 5  3  655000  82000  49000  395000  4680  3580   780   720  3850  6650 50 28  9 25  0
 4  2  665000  78000  47000  388000  3890  2940   650   610  3400  5900 45 24 14 22  0
 4  2  670000  75000  45500  382000  2760  2180   520   480  2950  5100 40 20 20 18  1
 3  2  675000  73000  44000  378000  1980  1650   420   380  2600  4450 36 17 28 15  0
 3  1  678000  71500  43200  375000  1340  1120   340   310  2250  3900 32 14 36 13  0
 2  1  680000  70000  42500  372000   850   720   280   260  1950  3400 28 12 45 11  1
 2  1  681000  69200  42000  370000   420   310   220   210  1700  3050 24 10 54  9  0
 1  0  682000  68500  41800  368000   180   140   180   180  1450  2700 20  8 62  8  0
 1  0  682500  68000  41500  367000    65    45   150   165  1280  2450 17  7 68  7  1
 2  0  683000  67800  41200  366000    25    15   135   155  1180  2300 15  7 70  7  0
 1  0  683200  67500  41000  365500     0     0   125   145  1150  2250 14  6 72  6  0
 1  0  683200  67200  40900  365200     0     0   120   140  1120  2200 13  6 73  6  1
 2  1  684000  66500  40700  364500   285   180   165   195  1380  2580 19  9 63  8  0
 3  1  690000  62000  40200  362000   980   720   280   310  1850  3200 26 13 52 10  0
 4  2  705000  54000  39200  358000  1850  1420   420   450  2400  4100 34 17 40 13  1
 5  2  728000  43000  37800  352000  3120  2380   580   620  3050  5300 42 22 28 16  0
 6  3  760000  32000  35500  345000  4680  3640   780   820  3750  6450 49 27 18 20  0
 7  3  802000  22000  32800  335000  6240  4850  1020  1080  4350  7500 55 32 10 25  1
 6  4  845000  15000  29500  325000  7120  5680  1180  1240  4750  8100 58 35  6 28  0
 7  4  780000  18500  31000  330000  5980  5120  1080  1150  4480  7720 56 33  8 27  1
 6  3  745000  25000  33200  338000  4520  3980   880   950  3950  6850 51 29 12 24  0
 5  3  720000  32000  35000  344000  3340  2840   720   780  3400  5900 46 25 18 20  1
 4  2  705000  38500  36500  348000  2480  1980   580   640  2950  5100 40 21 25 16  0
 4  2  695000  44000  37800  352000  1820  1420   460   510  2550  4450 35 18 32 13  0
 3  1  688000  48500  38800  355000  1240   980   360   410  2200  3850 30 15 40 11  1
 2  1  683000  52000  39500  358000   780   640   290   330  1900  3350 26 12 48  9  0
 2  1  679000  55000  40200  360500   520   420   240   280  1650  2950 22 10 56  8  1
 1  0  676000  57500  40800  362500   320   240   200   240  1450  2600 19  8 63  7  0
 1  0  674000  59500  41200  364000   180   140   170   210  1280  2350 16  7 68  6  1
 2  0  672500  61000  41600  365500    85    65   145   185  1180  2200 14  6 72  6  0
 1  0  671500  62200  41900  366500    45    25   130   165  1120  2100 13  6 74  5  0
