transaction_id,customer_id,transaction_date,amount,category,payment_method,status
TXN2024Q2-00001,CUST-10234,2024-04-01,156.78,Electronics,credit_card,completed
TXN2024Q2-00002,CUST-10567,2024-04-01,45.23,Groceries,debit_card,completed
TXN2024Q2-00003,CUST-10891,2024-04-02,289.99,Clothing,paypal,completed
TXN2024Q2-00004,CUST-11023,2024-04-02,1245.50,Electronics,credit_card,completed
TXN2024Q2-00005,CUST-10345,2024-04-03,78.90,Groceries,debit_card,completed
TXN2024Q2-00006,CUST-10678,2024-04-03,2340.00,Home,bank_transfer,pending
TXN2024Q2-00007,CUST-10234,2024-04-04,567.89,Services,credit_card,completed
TXN2024Q2-00008,CUST-11234,2024-04-04,34.56,Groceries,debit_card,completed
TXN2024Q2-00009,CUST-10456,2024-04-05,899.99,Electronics,paypal,completed
TXN2024Q2-00010,CUST-10789,2024-04-05,123.45,Clothing,credit_card,completed
TXN2024Q2-00011,CUST-11456,2024-04-06,456.78,Home,bank_transfer,completed
TXN2024Q2-00012,CUST-10234,2024-04-06,67.89,Groceries,debit_card,completed
TXN2024Q2-00013,CUST-10890,2024-04-07,3456.00,Electronics,credit_card,pending
TXN2024Q2-00014,CUST-11567,2024-04-07,234.56,Services,paypal,completed
TXN2024Q2-00015,CUST-10345,2024-04-08,189.99,Clothing,debit_card,completed
TXN2024Q2-00016,CUST-10678,2024-04-08,45.67,Groceries,credit_card,completed
TXN2024Q2-00017,CUST-11789,2024-04-09,1890.50,Home,bank_transfer,completed
TXN2024Q2-00018,CUST-10456,2024-04-09,678.90,Electronics,paypal,completed
TXN2024Q2-00019,CUST-10234,2024-04-10,89.45,Groceries,debit_card,completed
TXN2024Q2-00020,CUST-11234,2024-04-10,345.67,Services,credit_card,completed
TXN2024Q2-00021,CUST-10567,2024-04-11,2567.89,Electronics,bank_transfer,pending
TXN2024Q2-00022,CUST-10789,2024-04-11,123.78,Clothing,paypal,completed
TXN2024Q2-00023,CUST-11456,2024-04-12,56.90,Groceries,debit_card,completed
TXN2024Q2-00024,CUST-10345,2024-04-12,789.99,Home,credit_card,completed
TXN2024Q2-00025,CUST-10890,2024-04-13,234.50,Services,paypal,completed
TXN2024Q2-00026,CUST-11567,2024-04-13,1456.78,Electronics,credit_card,completed
TXN2024Q2-00027,CUST-10678,2024-04-14,89.90,Groceries,debit_card,completed
TXN2024Q2-00028,CUST-10234,2024-04-14,456.45,Clothing,bank_transfer,completed
TXN2024Q2-00029,CUST-11789,2024-04-15,3789.00,Home,credit_card,pending
TXN2024Q2-00030,CUST-10456,2024-04-15,167.89,Services,paypal,completed
TXN2024Q2-00031,CUST-10567,2024-04-16,678.50,Electronics,debit_card,completed
TXN2024Q2-00032,CUST-11234,2024-04-16,45.67,Groceries,credit_card,completed
TXN2024Q2-00033,CUST-10789,2024-04-17,890.99,Clothing,paypal,completed
TXN2024Q2-00034,CUST-10345,2024-04-17,2345.67,Home,bank_transfer,completed
TXN2024Q2-00035,CUST-11456,2024-04-18,123.45,Services,credit_card,completed
TXN2024Q2-00036,CUST-10890,2024-04-18,567.89,Electronics,debit_card,completed
TXN2024Q2-00037,CUST-10678,2024-04-19,78.90,Groceries,paypal,completed
TXN2024Q2-00038,CUST-11567,2024-04-19,1234.56,Clothing,credit_card,completed
TXN2024Q2-00039,CUST-10234,2024-04-20,4567.89,Home,bank_transfer,pending
TXN2024Q2-00040,CUST-11789,2024-04-20,234.67,Services,debit_card,completed
TXN2024Q2-00041,CUST-10456,2024-04-21,789.90,Electronics,credit_card,completed
TXN2024Q2-00042,CUST-10567,2024-04-21,56.78,Groceries,paypal,completed
TXN2024Q2-00043,CUST-11234,2024-04-22,345.99,Clothing,debit_card,completed
TXN2024Q2-00044,CUST-10789,2024-04-22,1890.00,Home,bank_transfer,completed
TXN2024Q2-00045,CUST-10345,2024-04-23,456.78,Services,credit_card,completed
TXN2024Q2-00046,CUST-11456,2024-04-23,2678.50,Electronics,paypal,completed
TXN2024Q2-00047,CUST-10890,2024-04-24,89.45,Groceries,debit_card,completed
TXN2024Q2-00048,CUST-10678,2024-04-24,567.89,Clothing,credit_card,completed
TXN2024Q2-00049,CUST-11567,2024-04-25,3456.78,Home,bank_transfer,pending
TXN2024Q2-00050,CUST-10234,2024-04-25,178.90,Services,paypal,completed
TXN2024Q2-00051,CUST-11789,2024-04-26,890.99,Electronics,credit_card,completed
TXN2024Q2-00052,CUST-10456,2024-04-26,45.67,Groceries,debit_card,completed
TXN2024Q2-00053,CUST-10567,2024-04-27,234.56,Clothing,paypal,completed
TXN2024Q2-00054,CUST-11234,2024-04-27,1567.89,Home,bank_transfer,completed
TXN2024Q2-00055,CUST-10789,2024-04-28,345.67,Services,credit_card,completed
TXN2024Q2-00056,CUST-10345,2024-04-28,4789.00,Electronics,debit_card,pending
TXN2024Q2-00057,CUST-11456,2024-04-29,67.89,Groceries,paypal,completed
TXN2024Q2-00058,CUST-10890,2024-04-29,456.78,Clothing,credit_card,completed
TXN2024Q2-00059,CUST-10678,2024-04-30,2890.50,Home,bank_transfer,completed
TXN2024Q2-00060,CUST-11567,2024-04-30,234.56,Services,debit_card,completed
TXN2024Q2-00061,CUST-10234,2024-05-01,678.99,Electronics,paypal,completed
TXN2024Q2-00062,CUST-11789,2024-05-01,89.45,Groceries,credit_card,completed
TXN2024Q2-00063,CUST-10456,2024-05-02,345.67,Clothing,debit_card,completed
TXN2024Q2-00064,CUST-10567,2024-05-02,1234.50,Home,bank_transfer,completed
TXN2024Q2-00065,CUST-11234,2024-05-03,456.89,Services,paypal,completed
TXN2024Q2-00066,CUST-10789,2024-05-03,3567.00,Electronics,credit_card,pending
TXN2024Q2-00067,CUST-10345,2024-05-04,78.90,Groceries,debit_card,completed
TXN2024Q2-00068,CUST-11456,2024-05-04,567.89,Clothing,paypal,completed
TXN2024Q2-00069,CUST-10890,2024-05-05,2345.67,Home,bank_transfer,completed
TXN2024Q2-00070,CUST-10678,2024-05-05,189.45,Services,credit_card,completed
TXN2024Q2-00071,CUST-11567,2024-05-06,890.99,Electronics,debit_card,completed
