cell_id,batch
CELL_001,batch1
CELL_002,batch2
CELL_003,batch1
CELL_004,batch2
CELL_005,batch1
CELL_006,batch1
CELL_007,batch2
CELL_008,batch1
CELL_009,batch2
CELL_010,batch2
CELL_011,batch1
CELL_012,batch2
CELL_013,batch1
CELL_014,batch2
CELL_015,batch1
CELL_016,batch2
CELL_017,batch1
CELL_018,batch2
CELL_019,batch1
CELL_020,batch2
CELL_021,batch2
CELL_022,batch1
CELL_023,batch2
CELL_024,batch1
CELL_025,batch2
CELL_026,batch1
CELL_027,batch2
CELL_028,batch1
CELL_029,batch2
CELL_030,batch1
CELL_031,batch2
CELL_032,batch1
CELL_033,batch2
CELL_034,batch1
CELL_035,batch2
CELL_036,batch1
CELL_037,batch2
CELL_038,batch1
CELL_039,batch2
CELL_040,batch1
CELL_041,batch2
CELL_042,batch1
CELL_043,batch2
CELL_044,batch1
CELL_045,batch2
CELL_046,batch1
CELL_047,batch2
CELL_048,batch1
CELL_049,batch2
CELL_050,batch1
CELL_051,batch2
CELL_052,batch1
CELL_053,batch2
CELL_054,batch1
CELL_055,batch2
CELL_056,batch1
CELL_057,batch2
CELL_058,batch1
CELL_059,batch2
CELL_060,batch1
CELL_061,batch2
CELL_062,batch1
CELL_063,batch2
CELL_064,batch1
CELL_065,batch2
CELL_066,batch1
CELL_067,batch2
CELL_068,batch1
CELL_069,batch2
CELL_070,batch1
CELL_071,batch2
CELL_072,batch1
CELL_073,batch2
CELL_074,batch1
CELL_075,batch2
CELL_076,batch1
CELL_077,batch2
CELL_078,batch1
CELL_079,batch2
CELL_080,batch1
CELL_081,batch2
CELL_082,batch1
CELL_083,batch2
CELL_084,batch1
CELL_085,batch2
CELL_086,batch1
CELL_087,batch2
CELL_088,batch1
CELL_089,batch2
CELL_090,batch1
CELL_091,batch2
CELL_092,batch1
CELL_093,batch2
CELL_094,batch1
CELL_095,batch2
CELL_096,batch1
CELL_097,batch2
CELL_098,batch1
CELL_099,batch2
CELL_100,batch1
CELL_101,batch2
CELL_102,batch1
CELL_103,batch2
CELL_104,batch1
CELL_105,batch2
CELL_106,batch1
CELL_107,batch2
CELL_108,batch1
CELL_109,batch2
CELL_110,batch1
CELL_111,batch2
CELL_112,batch1
CELL_113,batch2
CELL_114,batch1
CELL_115,batch2
CELL_116,batch1
CELL_117,batch2
CELL_118,batch1
CELL_119,batch2
CELL_120,batch1
CELL_121,batch2
CELL_122,batch1
CELL_123,batch2
CELL_124,batch1
CELL_125,batch2
CELL_126,batch1
CELL_127,batch2
CELL_128,batch1
CELL_129,batch2
CELL_130,batch1
CELL_131,batch2
CELL_132,batch1
CELL_133,batch2
CELL_134,batch1
CELL_135,batch2
CELL_136,batch1
CELL_137,batch2
CELL_138,batch1
CELL_139,batch2
CELL_140,batch1
CELL_141,batch2
CELL_142,batch1
CELL_143,batch2
CELL_144,batch1
CELL_145,batch2
CELL_146,batch1
CELL_147,batch2
CELL_148,batch1
CELL_149,batch2
CELL_150,batch1
CELL_151,batch2
CELL_152,batch1
CELL_153,batch2
CELL_154,batch1
CELL_155,batch2
CELL_156,batch1
CELL_157,batch2
CELL_158,batch1
CELL_159,batch2
CELL_160,batch1
CELL_161,batch2
CELL_162,batch1
CELL_163,batch2
CELL_164,batch1
CELL_165,batch2
CELL_166,batch1
CELL_167,batch2
CELL_168,batch1
CELL_169,batch2
CELL_170,batch1
CELL_171,batch2
CELL_172,batch1
CELL_173,batch2
CELL_174,batch1
CELL_175,batch2
CELL_176,batch1
CELL_177,batch2
CELL_178,batch1
CELL_179,batch2
CELL_180,batch1
CELL_181,batch2
CELL_182,batch1
CELL_183,batch2
CELL_184,batch1
CELL_185,batch2
CELL_186,batch1
CELL_187,batch2
CELL_188,batch1
CELL_189,batch2
CELL_190,batch1
CELL_191,batch2
CELL_192,batch1
CELL_193,batch2
CELL_194,batch1
CELL_195,batch2
CELL_196,batch1
CELL_197,batch2
CELL_198,batch1
CELL_199,batch2
CELL_200,batch1
