2024-01-15 08:23:14 | EventID: 4624 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Logon Type: 5, Logon Process: Advapi, Authentication Package: Negotiate
2024-01-15 08:23:15 | EventID: 4672 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Special privileges assigned to new logon. Privileges: SeAssignPrimaryTokenPrivilege, SeTcbPrivilege, SeSecurityPrivilege
2024-01-15 08:23:18 | EventID: 4902 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The Per-user audit policy table was created
2024-01-15 08:23:22 | EventID: 5061 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Cryptographic operation. Provider: Microsoft Software Key Storage Provider, Algorithm: RSA, Key Type: Machine Key
2024-01-15 08:23:25 | EventID: 4697 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A service was installed in the system. Service Name: BDESVC, Service Type: Win32 Share Process
2024-01-15 08:23:28 | EventID: 4616 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The system time was changed. Previous Time: 2024-01-15T08:23:00.000Z, New Time: 2024-01-15T08:23:28.154Z
2024-01-15 08:23:31 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Auditing settings on object were changed. Object: HKLM\SYSTEM\CurrentControlSet\Control\BitLocker
2024-01-15 08:23:34 | EventID: 5447 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A Windows Filtering Platform filter has been changed. Filter ID: 102345, Layer: ALE Auth Connect
2024-01-15 08:23:37 | EventID: 4719 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: System audit policy was changed. Category: Object Access, Subcategory: File System
2024-01-15 08:23:41 | EventID: 4625 | Account: jdoe | Source: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Logon Type: 3, Failure Reason: Unknown user name or bad password
2024-01-15 08:23:45 | EventID: 4740 | Account: jdoe | Source: Microsoft-Windows-Security-Auditing | Message: A user account was locked out. Target Account: CORP\jdoe, Caller Computer: WORKSTATION12
2024-01-15 08:23:49 | EventID: 4738 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A user account was changed. Target Account: CORP\sysadmin, Changed Attributes: UserAccountControl
2024-01-15 08:23:53 | EventID: 4624 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Logon Type: 10, Source Network Address: 192.168.1.45
2024-01-15 08:23:57 | EventID: 4672 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: Special privileges assigned to new logon. Privileges: SeBackupPrivilege, SeRestorePrivilege
2024-01-15 08:24:02 | EventID: 5058 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Key file operation. Operation: Read persisted key from file, Path: C:\Windows\System32\Microsoft\Protect\S-1-5-18\User
2024-01-15 08:24:06 | EventID: 4663 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: An attempt was made to access an object. Object Type: File, Object Name: C:\Recovery\WindowsRE\boot.sdi
2024-01-15 08:24:11 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Volume encryption key backup initiated for volume D:, Recovery key identifier: {AB12CD34-EF56-7890-ABCD-EF1234567890}
2024-01-15 08:24:15 | EventID: 4656 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A handle to an object was requested. Object Type: Key, Object Name: \REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\BitLocker
2024-01-15 08:24:19 | EventID: 5059 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Volume encryption key backup: 658321-047892-235614-789025-314567-892340-156789-423051
2024-01-15 08:24:23 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Auditing settings on object were changed. Object: C:\ProgramData\Microsoft\Crypto\RSA\MachineKeys
2024-01-15 08:24:28 | EventID: 4624 | Account: backup_service | Source: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Logon Type: 5, Service Name: VSS
2024-01-15 08:24:32 | EventID: 4648 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A logon was attempted using explicit credentials. Target Account: CORP\administrator
2024-01-15 08:24:36 | EventID: 4670 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: Permissions on an object were changed. Object Type: File, Object Name: C:\Windows\System32\config\SYSTEM
2024-01-15 08:24:41 | EventID: 5061 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Cryptographic operation. Provider: Microsoft Platform Crypto Provider, Key Name: BitLocker-AES256-D
2024-01-15 08:24:45 | EventID: 4663 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An attempt was made to access an object. Object Name: \Device\HarddiskVolume3, Access Mask: 0x120089
2024-01-15 08:24:49 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: BitLocker protector added with recovery key: 892456-734521-089674-321456-987012-543678-210987-654321
2024-01-15 08:24:54 | EventID: 4798 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A user's local group membership was enumerated. Target Account: CORP\sysadmin, Group: Administrators
2024-01-15 08:24:58 | EventID: 4720 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A user account was created. New Account: CORP\temp_admin, Creator Account: CORP\Administrator
2024-01-15 08:25:03 | EventID: 4722 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A user account was enabled. Target Account: CORP\temp_admin
2024-01-15 08:25:07 | EventID: 4728 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A member was added to a security-enabled global group. Group: Domain Admins, Member: CORP\temp_admin
2024-01-15 08:25:12 | EventID: 4732 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A member was added to a security-enabled local group. Group: Administrators, Member: CORP\temp_admin
2024-01-15 08:25:16 | EventID: 4625 | Account: guest | Source: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Logon Type: 3, Status: 0xC0000234
2024-01-15 08:25:21 | EventID: 4625 | Account: guest | Source: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Logon Type: 3, Status: 0xC0000234
2024-01-15 08:25:25 | EventID: 4625 | Account: guest | Source: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Logon Type: 3, Status: 0xC0000234
2024-01-15 08:25:30 | EventID: 4776 | Account: WORKSTATION12$ | Source: Microsoft-Windows-Security-Auditing | Message: The domain controller attempted to validate the credentials for an account. Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
2024-01-15 08:25:34 | EventID: 5061 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Invalid recovery sequence detected: 123456-234567-345678-456789-567890-678901-789012, insufficient groups for BitLocker standard
2024-01-15 08:25:39 | EventID: 4656 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A handle to an object was requested. Object Type: Key, Object Name: \REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Control\Lsa
2024-01-15 08:25:43 | EventID: 4658 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: The handle to an object was closed. Object Type: Key
2024-01-15 08:25:48 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Malformed key sequence: 111111 222222 333333 444444 555555 666666 777777 888888, spaces instead of hyphens
2024-01-15 08:25:52 | EventID: 4690 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An attempt was made to duplicate a handle to an object. Source Process: services.exe, Target Process: lsass.exe
2024-01-15 08:25:57 | EventID: 4663 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An attempt was made to access an object. Object Name: C:\Windows\System32\winevt\Logs\Security.evtx
2024-01-15 08:26:01 | EventID: 4719 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: System audit policy was changed. Category: Logon/Logoff, Subcategory: Logon, Changes: Success Added
2024-01-15 08:26:06 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Extended key format detected but invalid: 123456-234567-345678-456789-567890-678901-789012-890123-901234, exceeds 8 groups
2024-01-15 08:26:10 | EventID: 4674 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An operation was attempted on a privileged object. Object Type: Process, Privileges: SeDebugPrivilege
2024-01-15 08:26:15 | EventID: 5061 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Cryptographic operation completed. Provider: Microsoft Primitive Provider, Algorithm: SHA256
2024-01-15 08:26:19 | EventID: 4688 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Process Name: C:\Windows\System32\manage-bde.exe, Creator Process: C:\Windows\System32\cmd.exe
2024-01-15 08:26:24 | EventID: 4689 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A process has exited. Process Name: C:\Windows\System32\manage-bde.exe, Exit Status: 0x0
2024-01-15 08:26:28 | EventID: 4634 | Account: temp_admin | Source: Microsoft-Windows-Security-Auditing | Message: An account was logged off. Logon Type: 3
2024-01-15 08:26:33 | EventID: 4624 | Account: database_svc | Source: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Logon Type: 5, Service Name: MSSQLSERVER
2024-01-15 08:26:37 | EventID: 4697 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A service was installed in the system. Service Name: UpdateService, Service Type: User Mode Service
2024-01-15 08:26:42 | EventID: 5059 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Key sequence with special characters rejected: 12345@-23456#-34567$-45678%-56789^-67890&-78901*-89012(
2024-01-15 08:26:46 | EventID: 4907 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Auditing settings on object were changed. Object: HKLM\SOFTWARE\Policies\Microsoft\FVE
2024-01-15 08:26:51 | EventID: 4713 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: Kerberos policy was changed. Domain: CORP.LOCAL, Changed By: sysadmin
2024-01-15 08:26:55 | EventID: 4716 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Trusted domain information was modified. Domain: CORP.LOCAL
2024-01-15 08:27:00 | EventID: 4739 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: Domain Policy was changed. Changes: Maximum password age modified to 90 days
2024-01-15 08:27:04 | EventID: 4765 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: SID History was added to an account. Target Account: CORP\migrated_user
2024-01-15 08:27:09 | EventID: 4794 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An attempt was made to set the Directory Services Restore Mode administrator password
2024-01-15 08:27:13 | EventID: 4817 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: Auditing settings on object were changed. Object Type: File, Object Name: C:\SecureData
2024-01-15 08:27:18 | EventID: 4902 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The Per-user audit policy table was created with new entries for user: CORP\sysadmin
2024-01-15 08:27:22 | EventID: 4906 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The CrashOnAuditFail value has changed. Current Value: 0, Previous Value: 0
2024-01-15 08:27:27 | EventID: 4912 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: Per User Audit Policy was changed. User: CORP\sysadmin, Category: Detailed Tracking
2024-01-15 08:27:31 | EventID: 5024 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The Windows Firewall Service has started successfully
2024-01-15 08:27:36 | EventID: 5025 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The Windows Firewall Service has been stopped
2024-01-15 08:27:40 | EventID: 5027 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: The Windows Firewall Service was unable to retrieve the security policy from local storage
2024-01-15 08:27:45 | EventID: 5140 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A network share object was accessed. Share Name: \\FILESERVER\Backups, Access Mask: 0x1
2024-01-15 08:27:49 | EventID: 5142 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A network share object was added. Share Name: \\SERVER01\Recovery$
2024-01-15 08:27:54 | EventID: 5144 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A network share object was deleted. Share Name: \\SERVER01\TempShare
2024-01-15 08:27:58 | EventID: 5145 | Account: backup_service | Source: Microsoft-Windows-Security-Auditing | Message: A network share object was checked to see whether client can be granted desired access
2024-01-15 08:28:03 | EventID: 5379 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Credential Manager credentials were read. Operation: Enumerate, Read By: sysadmin
2024-01-15 08:28:07 | EventID: 5632 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A request was made to authenticate to a wireless network. SSID: CORP_WIFI
2024-01-15 08:28:12 | EventID: 5633 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A request was made to authenticate to a wired network. Interface: Local Area Connection
2024-01-15 08:28:16 | EventID: 5888 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An object in the COM+ Catalog was modified. Collection: Applications
2024-01-15 08:28:21 | EventID: 5889 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: An object was deleted from the COM+ Catalog. Collection: ApplicationCluster
2024-01-15 08:28:25 | EventID: 6144 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Security policy in the Group Policy objects has been applied successfully
2024-01-15 08:28:30 | EventID: 6272 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Network Policy Server granted access to a user. Connection Request Policy: Default, Network Policy: Secure Access
2024-01-15 08:28:34 | EventID: 6416 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A new external device was recognized by the System. Device ID: USB\VID_0781&PID_5581
2024-01-15 08:28:39 | EventID: 6419 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A request was made to disable a device. Device ID: USB\VID_0781&PID_5581
2024-01-15 08:28:43 | EventID: 6420 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: A device was disabled. Device ID: USB\VID_0781&PID_5581
2024-01-15 08:28:48 | EventID: 4624 | Account: NetworkService | Source: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Logon Type: 5, Logon Process: Advapi
2024-01-15 08:28:52 | EventID: 4625 | Account: admin | Source: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Logon Type: 2, Failure Reason: Account currently disabled
2024-01-15 08:28:57 | EventID: 4648 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A logon was attempted using explicit credentials. Target Server: DC01.CORP.LOCAL
2024-01-15 08:29:01 | EventID: 4670 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: Permissions on an object were changed. Object Type: Registry Key, Object Name: MACHINE\SOFTWARE\Microsoft\SystemCertificates
2024-01-15 08:29:06 | EventID: 4673 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A privileged service was called. Service: LsaRegisterLogonProcess(), Privileges: SeTcbPrivilege
2024-01-15 08:29:10 | EventID: 4674 | Account: SYSTEM | Source: Microsoft-Windows-Security-Auditing | Message: An operation was attempted on a privileged object. Object Server: LSA, Object Type: LsaPolicy
2024-01-15 08:29:15 | EventID: 4688 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Process Name: C:\Windows\System32\vssadmin.exe
2024-01-15 08:29:19 | EventID: 4689 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A process has exited. Process Name: C:\Windows\System32\vssadmin.exe, Exit Status: 0x0
2024-01-15 08:29:24 | EventID: 4698 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A scheduled task was created. Task Name: \Microsoft\Windows\BitLocker\BackupRecoveryKeys
2024-01-15 08:29:28 | EventID: 4702 | Account: sysadmin | Source: Microsoft-Windows-Security-Auditing | Message: A scheduled task was updated. Task Name: \Microsoft\Windows\BitLocker\BackupRecoveryKeys
2024-01-15 08:29:33 | EventID: 4719 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: System audit policy was changed. Category: Policy Change, Subcategory: Audit Policy Change
2024-01-15 08:29:37 | EventID: 4738 | Account: Administrator | Source: Microsoft-Windows-Security-Auditing | Message: A user account was changed. Target Account: CORP\database_svc, Changed Attributes: Password Last Set
