sensor_id,timestamp,temperature,humidity,pressure
SENSOR_001,2024-01-15T08:30:00,22.3,48.5,1013.2
SENSOR_001,2024-01-15T14:20:00,22.1,49.2,1014.1
SENSOR_001,2024-01-16T09:15:00,22.5,48.8,1013.5
SENSOR_001,2024-01-16T16:45:00,22.2,49.5,1013.8
SENSOR_001,2024-01-17T10:30:00,22.4,48.3,1014.2
SENSOR_001,2024-01-18T12:00:00,22.6,49.1,1013.6
SENSOR_001,2024-01-19T08:15:00,22.3,48.9,1014.0
SENSOR_001,2024-01-20T15:30:00,22.5,49.3,1013.4
SENSOR_001,2024-01-21T11:45:00,22.2,48.7,1013.9
SENSOR_002,2024-01-15T08:35:00,21.8,47.2,1012.8
SENSOR_002,2024-01-15T15:10:00,22.0,47.8,1013.1
SENSOR_002,2024-01-16T09:25:00,21.9,47.5,1012.9
SENSOR_002,2024-01-16T17:00:00,22.1,48.0,1013.3
SENSOR_002,2024-01-17T10:45:00,21.7,47.4,1012.7
SENSOR_002,2024-01-18T13:20:00,22.2,47.9,1013.2
SENSOR_002,2024-01-19T08:30:00,21.8,47.6,1012.8
SENSOR_002,2024-01-20T16:15:00,22.0,48.1,1013.0
SENSOR_002,2024-01-21T12:00:00,21.9,47.7,1013.1
SENSOR_003,2024-01-15T08:40:00,23.1,50.5,1015.3
SENSOR_003,2024-01-15T14:50:00,23.3,51.2,1015.7
SENSOR_003,2024-01-16T09:35:00,23.0,50.8,1015.4
SENSOR_003,2024-01-16T16:20:00,23.2,51.0,1015.6
SENSOR_003,2024-01-17T11:00:00,23.4,50.6,1015.8
SENSOR_003,2024-01-18T12:30:00,23.1,51.1,1015.5
SENSOR_003,2024-01-19T08:45:00,23.3,50.9,1015.7
SENSOR_003,2024-01-20T15:50:00,23.0,51.3,1015.4
SENSOR_003,2024-01-21T11:30:00,23.2,50.7,1015.6
SENSOR_004,2024-01-15T08:45:00,22.7,49.8,1014.5
SENSOR_004,2024-01-15T15:30:00,22.9,50.2,1014.8
SENSOR_004,2024-01-16T09:50:00,22.6,49.6,1014.3
SENSOR_004,2024-01-16T17:15:00,22.8,50.0,1014.7
SENSOR_004,2024-01-17T11:20:00,22.5,49.9,1014.4
SENSOR_004,2024-01-18T13:00:00,22.7,50.1,1014.6
SENSOR_004,2024-01-19T09:00:00,22.9,49.7,1014.9
SENSOR_004,2024-01-20T16:30:00,22.6,50.3,1014.5
SENSOR_004,2024-01-21T12:15:00,22.8,49.8,1014.7
SENSOR_005,2024-01-15T08:50:00,21.5,46.8,1012.3
SENSOR_005,2024-01-15T14:30:00,21.7,47.1,1012.6
SENSOR_005,2024-01-16T10:00:00,21.6,46.9,1012.4
SENSOR_005,2024-01-16T16:40:00,21.8,47.3,1012.7
SENSOR_005,2024-01-17T11:30:00,21.4,46.7,1012.2
SENSOR_005,2024-01-18T13:15:00,21.6,47.0,1012.5
SENSOR_005,2024-01-19T09:10:00,21.7,47.2,1012.6
SENSOR_005,2024-01-20T16:00:00,21.5,46.8,1012.3
SENSOR_005,2024-01-21T12:30:00,21.8,47.4,1012.8
SENSOR_006,2024-01-15T09:00:00,23.5,51.5,1016.1
SENSOR_006,2024-01-15T15:45:00,23.7,52.0,1016.4
SENSOR_006,2024-01-16T10:15:00,23.4,51.8,1016.0
SENSOR_006,2024-01-16T17:30:00,23.6,51.6,1016.3
SENSOR_006,2024-01-17T11:45:00,23.8,52.1,1016.5
SENSOR_006,2024-01-18T13:30:00,23.5,51.7,1016.2
SENSOR_006,2024-01-19T09:20:00,23.7,51.9,1016.4
SENSOR_006,2024-01-20T16:45:00,23.4,52.2,1016.1
SENSOR_006,2024-01-21T12:45:00,23.6,51.5,1016.3
