timestamp,vibration
2024-01-15T10:00:00.321098Z,0.48
2024-01-15T10:00:02.210987Z,0.55
2024-01-15T10:00:04.109876Z,0.62
2024-01-15T10:00:06.198765Z,0.58
2024-01-15T10:00:08.087654Z,0.51
2024-01-15T10:00:10.276543Z,0.47
2024-01-15T10:00:12.165432Z,0.53
2024-01-15T10:00:14.254321Z,0.49
2024-01-15T10:00:16.143210Z,0.56
2024-01-15T10:00:18.232109Z,0.61
2024-01-15T10:00:20.120998Z,0.58
2024-01-15T10:00:22.209887Z,0.54
2024-01-15T10:00:24.298776Z,0.51
2024-01-15T10:00:26.187665Z,0.47
2024-01-15T10:00:28.076554Z,0.52
2024-01-15T10:00:30.165443Z,0.49
2024-01-15T10:00:32.254332Z,0.55
2024-01-15T10:00:34.143221Z,0.59
2024-01-15T10:00:36.232110Z,0.63
2024-01-15T10:00:38.120999Z,0.67
2024-01-15T10:00:40.209888Z,0.71
2024-01-15T10:00:42.098777Z,0.76
2024-01-15T10:00:44.187666Z,0.82
2024-01-15T10:00:46.276555Z,0.87
2024-01-15T10:00:48.165444Z,0.91
2024-01-15T10:00:50.254333Z,0.94
2024-01-15T10:00:52.143222Z,0.89
2024-01-15T10:00:54.232111Z,0.93
2024-01-15T10:00:56.121000Z,0.88
2024-01-15T10:00:58.209889Z,0.85
2024-01-15T10:01:00.298778Z,0.91
2024-01-15T10:01:02.187667Z,0.96
2024-01-15T10:01:04.076556Z,0.99
2024-01-15T10:01:06.165445Z,1.02
2024-01-15T10:01:08.254334Z,0.97
2024-01-15T10:01:10.143223Z,0.93
2024-01-15T10:01:12.232112Z,0.89
2024-01-15T10:01:14.121001Z,0.84
2024-01-15T10:01:16.209890Z,0.79
2024-01-15T10:01:18.098779Z,0.74
2024-01-15T10:01:20.187668Z,0.68
2024-01-15T10:01:22.276557Z,0.63
2024-01-15T10:01:24.165446Z,0.58
2024-01-15T10:01:26.254335Z,0.54
2024-01-15T10:01:28.143224Z,0.51
2024-01-15T10:01:30.232113Z,0.48
2024-01-15T10:01:32.121002Z,0.46
2024-01-15T10:01:34.209891Z,0.44
2024-01-15T10:01:36.298780Z,0.42
2024-01-15T10:01:38.187669Z,0.41
2024-01-15T10:01:40.076558Z,0.39
2024-01-15T10:01:42.165447Z,0.38
2024-01-15T10:01:44.254336Z,0.37
2024-01-15T10:01:46.143225Z,0.36
2024-01-15T10:01:48.232114Z,0.35
2024-01-15T10:01:50.121003Z,0.37
2024-01-15T10:01:52.209892Z,0.39
2024-01-15T10:01:54.098781Z,0.42
2024-01-15T10:01:56.187670Z,0.45
2024-01-15T10:01:58.276559Z,0.48
2024-01-15T10:02:00.165448Z,0.51
2024-01-15T10:02:02.254337Z,0.54
2024-01-15T10:02:04.143226Z,0.57
2024-01-15T10:02:06.232115Z,0.61
2024-01-15T10:02:08.121004Z,0.64
2024-01-15T10:02:10.209893Z,0.67
2024-01-15T10:02:12.298782Z,0.71
2024-01-15T10:02:14.187671Z,0.75
2024-01-15T10:02:16.076560Z,0.78
2024-01-15T10:02:18.165449Z,0.72
2024-01-15T10:02:20.254338Z,0.68
2024-01-15T10:02:22.143227Z,0.64
2024-01-15T10:02:24.232116Z,0.59
2024-01-15T10:02:26.121005Z,0.55
2024-01-15T10:02:28.209894Z,0.52
2024-01-15T10:02:30.098783Z,0.49
2024-01-15T10:02:32.187672Z,0.46
2024-01-15T10:02:34.276561Z,0.44
2024-01-15T10:02:36.165450Z,0.42
2024-01-15T10:02:38.254339Z,0.41
2024-01-15T10:02:40.143228Z,0.40
2024-01-15T10:02:42.232117Z,0.39
2024-01-15T10:02:44.121006Z,0.38
2024-01-15T10:02:46.209895Z,0.37
2024-01-15T10:02:48.298784Z,0.38
2024-01-15T10:02:50.187673Z,0.40
2024-01-15T10:02:52.076562Z,0.43
2024-01-15T10:02:54.165451Z,0.46
2024-01-15T10:02:56.254340Z,0.49
2024-01-15T10:02:58.143229Z,0.52
2024-01-15T10:03:00.232118Z,0.56
2024-01-15T10:03:02.121007Z,0.59
2024-01-15T10:03:04.209896Z,0.62
2024-01-15T10:03:06.098785Z,0.66
2024-01-15T10:03:08.187674Z,0.69
2024-01-15T10:03:10.276563Z,0.73
2024-01-15T10:03:12.165452Z,0.76
2024-01-15T10:03:14.254341Z,0.71
2024-01-15T10:03:16.143230Z,0.67
2024-01-15T10:03:18.232119Z,0.63
2024-01-15T10:03:20.121008Z,0.58
2024-01-15T10:03:22.209897Z,0.54
2024-01-15T10:03:24.298786Z,0.51
2024-01-15T10:03:26.187675Z,0.48
2024-01-15T10:03:28.076564Z,0.45
2024-01-15T10:03:30.165453Z,0.43
2024-01-15T10:03:32.254342Z,0.41
2024-01-15T10:03:34.143231Z,0.40
2024-01-15T10:03:36.232120Z,0.39
2024-01-15T10:03:38.121009Z,0.38
2024-01-15T10:03:40.209898Z,0.37
2024-01-15T10:03:42.098787Z,0.36
2024-01-15T10:03:44.187676Z,0.36
2024-01-15T10:03:46.276565Z,0.37
2024-01-15T10:03:48.165454Z,0.38
2024-01-15T10:03:50.254343Z,0.40
2024-01-15T10:03:52.143232Z,0.42
2024-01-15T10:03:54.232121Z,0.45
2024-01-15T10:03:56.121010Z,0.48
2024-01-15T10:03:58.209899Z,0.51
2024-01-15T10:04:00.298788Z,0.54
