timestamp,vibration
2024-01-15T10:00:00.123456Z,0.45
2024-01-15T10:00:02.234567Z,0.52
2024-01-15T10:00:04.145678Z,0.48
2024-01-15T10:00:06.256789Z,0.55
2024-01-15T10:00:08.167890Z,0.51
2024-01-15T10:00:10.278901Z,0.49
2024-01-15T10:00:12.189012Z,0.53
2024-01-15T10:00:14.290123Z,0.47
2024-01-15T10:00:16.201234Z,0.50
2024-01-15T10:00:18.312345Z,0.54
2024-01-15T10:00:20.223456Z,0.58
2024-01-15T10:00:22.134567Z,0.62
2024-01-15T10:00:24.245678Z,0.65
2024-01-15T10:00:26.156789Z,0.68
2024-01-15T10:00:28.267890Z,0.72
2024-01-15T10:00:30.178901Z,0.75
2024-01-15T10:00:32.289012Z,0.78
2024-01-15T10:00:34.190123Z,0.82
2024-01-15T10:00:36.301234Z,0.85
2024-01-15T10:00:38.212345Z,0.88
2024-01-15T10:00:40.123456Z,0.92
2024-01-15T10:00:42.234567Z,0.95
2024-01-15T10:00:44.145678Z,0.98
2024-01-15T10:00:46.256789Z,1.02
2024-01-15T10:00:48.167890Z,1.05
2024-01-15T10:00:50.278901Z,1.08
2024-01-15T10:00:52.189012Z,1.12
2024-01-15T10:00:54.290123Z,1.15
2024-01-15T10:00:56.201234Z,1.10
2024-01-15T10:00:58.312345Z,1.08
2024-01-15T10:01:00.223456Z,1.05
2024-01-15T10:01:02.134567Z,1.02
2024-01-15T10:01:04.245678Z,0.98
2024-01-15T10:01:06.156789Z,0.95
2024-01-15T10:01:08.267890Z,0.92
2024-01-15T10:01:10.178901Z,0.88
2024-01-15T10:01:12.289012Z,0.85
2024-01-15T10:01:14.190123Z,0.82
2024-01-15T10:01:16.301234Z,0.78
2024-01-15T10:01:18.212345Z,0.75
2024-01-15T10:01:20.123456Z,0.72
2024-01-15T10:01:22.234567Z,0.68
2024-01-15T10:01:24.145678Z,0.65
2024-01-15T10:01:26.256789Z,0.62
2024-01-15T10:01:28.167890Z,0.58
2024-01-15T10:01:30.278901Z,0.55
2024-01-15T10:01:32.189012Z,0.52
2024-01-15T10:01:34.290123Z,0.49
2024-01-15T10:01:36.201234Z,0.46
2024-01-15T10:01:38.312345Z,0.43
2024-01-15T10:01:40.223456Z,0.40
2024-01-15T10:01:42.134567Z,0.38
2024-01-15T10:01:44.245678Z,0.36
2024-01-15T10:01:46.156789Z,0.34
2024-01-15T10:01:48.267890Z,0.32
2024-01-15T10:01:50.178901Z,0.35
2024-01-15T10:01:52.289012Z,0.38
2024-01-15T10:01:54.190123Z,0.41
2024-01-15T10:01:56.301234Z,0.44
2024-01-15T10:01:58.212345Z,0.47
2024-01-15T10:02:00.123456Z,0.50
2024-01-15T10:02:02.234567Z,0.53
2024-01-15T10:02:04.145678Z,0.56
2024-01-15T10:02:06.256789Z,0.59
2024-01-15T10:02:08.167890Z,0.62
2024-01-15T10:02:10.278901Z,0.65
2024-01-15T10:02:12.189012Z,0.68
2024-01-15T10:02:14.290123Z,0.71
2024-01-15T10:02:16.201234Z,0.74
2024-01-15T10:02:18.312345Z,0.77
2024-01-15T10:02:20.223456Z,0.80
2024-01-15T10:02:22.134567Z,0.83
2024-01-15T10:02:24.245678Z,0.86
2024-01-15T10:02:26.156789Z,0.89
2024-01-15T10:02:28.267890Z,0.92
2024-01-15T10:02:30.178901Z,0.95
2024-01-15T10:02:32.289012Z,0.98
2024-01-15T10:02:34.190123Z,1.01
2024-01-15T10:02:36.301234Z,0.98
2024-01-15T10:02:38.212345Z,0.95
2024-01-15T10:02:40.123456Z,0.92
2024-01-15T10:02:42.234567Z,0.89
2024-01-15T10:02:44.145678Z,0.86
2024-01-15T10:02:46.256789Z,0.83
2024-01-15T10:02:48.167890Z,0.80
2024-01-15T10:02:50.278901Z,0.77
2024-01-15T10:02:52.189012Z,0.74
2024-01-15T10:02:54.290123Z,0.71
2024-01-15T10:02:56.201234Z,0.68
2024-01-15T10:02:58.312345Z,0.65
2024-01-15T10:03:00.223456Z,0.62
2024-01-15T10:03:02.134567Z,0.59
2024-01-15T10:03:04.245678Z,0.56
2024-01-15T10:03:06.156789Z,0.53
2024-01-15T10:03:08.267890Z,0.50
2024-01-15T10:03:10.178901Z,0.47
2024-01-15T10:03:12.289012Z,0.44
2024-01-15T10:03:14.190123Z,0.41
2024-01-15T10:03:16.301234Z,0.38
2024-01-15T10:03:18.212345Z,0.35
2024-01-15T10:03:20.123456Z,0.33
2024-01-15T10:03:22.234567Z,0.31
2024-01-15T10:03:24.145678Z,0.34
2024-01-15T10:03:26.256789Z,0.37
2024-01-15T10:03:28.167890Z,0.40
2024-01-15T10:03:30.278901Z,0.43
2024-01-15T10:03:32.189012Z,0.46
2024-01-15T10:03:34.290123Z,0.49
2024-01-15T10:03:36.201234Z,0.52
