timestamp,pressure
2024-01-15T10:00:00.654321Z,3.3
2024-01-15T10:00:03.543210Z,3.2
2024-01-15T10:00:06.432109Z,3.1
2024-01-15T10:00:09.765432Z,3.0
2024-01-15T10:00:12.876543Z,2.9
2024-01-15T10:00:15.987654Z,2.8
2024-01-15T10:00:19.098765Z,2.7
2024-01-15T10:00:22.209876Z,3.1
2024-01-15T10:00:25.320987Z,3.2
2024-01-15T10:00:28.432098Z,3.3
2024-01-15T10:00:31.543209Z,3.4
2024-01-15T10:00:34.654320Z,3.3
2024-01-15T10:00:37.765431Z,3.2
2024-01-15T10:00:40.876542Z,3.1
2024-01-15T10:00:44.087653Z,2.9
2024-01-15T10:00:47.198764Z,2.8
2024-01-15T10:00:50.309875Z,2.7
2024-01-15T10:00:53.420986Z,2.6
2024-01-15T10:00:56.532097Z,2.5
2024-01-15T10:00:59.643208Z,2.4
2024-01-15T10:01:02.754319Z,2.3
2024-01-15T10:01:05.865430Z,2.2
2024-01-15T10:01:08.976541Z,2.1
2024-01-15T10:01:12.187652Z,2.2
2024-01-15T10:01:15.298763Z,2.3
2024-01-15T10:01:18.409874Z,2.4
2024-01-15T10:01:21.520985Z,2.3
2024-01-15T10:01:24.632096Z,2.2
2024-01-15T10:01:27.743207Z,2.1
2024-01-15T10:01:30.854318Z,2.2
2024-01-15T10:01:34.065429Z,2.4
2024-01-15T10:01:37.176540Z,2.6
2024-01-15T10:01:40.287651Z,2.8
2024-01-15T10:01:43.398762Z,3.0
2024-01-15T10:01:46.509873Z,3.1
2024-01-15T10:01:49.620984Z,3.2
2024-01-15T10:01:52.732095Z,3.3
2024-01-15T10:01:55.843206Z,3.4
2024-01-15T10:01:59.054317Z,3.5
2024-01-15T10:02:02.165428Z,3.4
2024-01-15T10:02:05.276539Z,3.3
2024-01-15T10:02:08.387650Z,3.2
2024-01-15T10:02:11.498761Z,3.1
2024-01-15T10:02:14.609872Z,3.0
2024-01-15T10:02:17.720983Z,2.9
2024-01-15T10:02:20.932094Z,2.8
2024-01-15T10:02:24.043205Z,2.7
2024-01-15T10:02:27.154316Z,2.6
2024-01-15T10:02:30.265427Z,2.5
2024-01-15T10:02:33.376538Z,2.4
2024-01-15T10:02:36.487649Z,2.3
2024-01-15T10:02:39.598760Z,2.2
2024-01-15T10:02:42.709871Z,2.1
2024-01-15T10:02:45.820982Z,2.3
2024-01-15T10:02:49.032093Z,2.5
2024-01-15T10:02:52.143204Z,2.7
2024-01-15T10:02:55.254315Z,2.9
2024-01-15T10:02:58.365426Z,3.1
2024-01-15T10:03:01.476537Z,3.2
2024-01-15T10:03:04.587648Z,3.3
2024-01-15T10:03:07.698759Z,3.4
2024-01-15T10:03:10.909870Z,3.5
2024-01-15T10:03:14.020981Z,3.6
2024-01-15T10:03:17.132092Z,3.5
2024-01-15T10:03:20.243203Z,3.4
2024-01-15T10:03:23.354314Z,3.3
2024-01-15T10:03:26.465425Z,3.2
2024-01-15T10:03:29.576536Z,3.1
2024-01-15T10:03:32.787647Z,3.0
2024-01-15T10:03:35.898758Z,2.9
2024-01-15T10:03:39.009869Z,2.8
2024-01-15T10:03:42.120980Z,2.7
2024-01-15T10:03:45.232091Z,2.6
2024-01-15T10:03:48.343202Z,2.5
2024-01-15T10:03:51.454313Z,2.4
2024-01-15T10:03:54.665424Z,2.3
