timestamp,temperature
2024-01-15T10:00:00.123456Z,78.5
2024-01-15T10:00:05.234567Z,79.2
2024-01-15T10:00:10.345678Z,80.1
2024-01-15T10:00:15.156789Z,81.3
2024-01-15T10:00:20.267890Z,82.5
2024-01-15T10:00:25.378901Z,83.7
2024-01-15T10:00:30.489012Z,84.2
2024-01-15T10:00:35.590123Z,85.8
2024-01-15T10:00:40.601234Z,87.3
2024-01-15T10:00:45.712345Z,88.5
2024-01-15T10:00:50.823456Z,89.1
2024-01-15T10:00:55.934567Z,90.2
2024-01-15T10:01:00.045678Z,91.5
2024-01-15T10:01:05.156789Z,90.8
2024-01-15T10:01:10.267890Z,89.7
2024-01-15T10:01:15.378901Z,88.9
2024-01-15T10:01:20.489012Z,87.4
2024-01-15T10:01:25.590123Z,86.2
2024-01-15T10:01:30.701234Z,84.5
2024-01-15T10:01:35.812345Z,83.1
2024-01-15T10:01:40.923456Z,81.7
2024-01-15T10:01:46.034567Z,80.3
2024-01-15T10:01:51.145678Z,79.5
2024-01-15T10:01:56.256789Z,78.9
2024-01-15T10:02:01.367890Z,78.2
2024-01-15T10:02:06.478901Z,77.8
2024-01-15T10:02:11.589012Z,77.3
2024-01-15T10:02:16.690123Z,76.9
2024-01-15T10:02:21.801234Z,76.5
2024-01-15T10:02:26.912345Z,76.2
2024-01-15T10:02:32.023456Z,75.8
2024-01-15T10:02:37.134567Z,75.5
2024-01-15T10:02:42.245678Z,75.9
2024-01-15T10:02:47.356789Z,76.3
2024-01-15T10:02:52.467890Z,76.8
2024-01-15T10:02:57.578901Z,77.4
2024-01-15T10:03:02.689012Z,78.1
2024-01-15T10:03:07.790123Z,78.9
2024-01-15T10:03:12.901234Z,79.7
2024-01-15T10:03:18.012345Z,80.6
2024-01-15T10:03:23.123456Z,81.5
2024-01-15T10:03:28.234567Z,82.4
2024-01-15T10:03:33.345678Z,83.3
2024-01-15T10:03:38.456789Z,84.1
2024-01-15T10:03:43.567890Z,84.8
2024-01-15T10:03:48.678901Z,85.5
2024-01-15T10:03:53.789012Z,86.3
2024-01-15T10:03:58.890123Z,87.1
2024-01-15T10:04:04.001234Z,87.9
2024-01-15T10:04:09.112345Z,88.6
2024-01-15T10:04:14.223456Z,89.3
2024-01-15T10:04:19.334567Z,90.1
2024-01-15T10:04:24.445678Z,90.8
2024-01-15T10:04:29.556789Z,91.4
2024-01-15T10:04:34.667890Z,91.9
2024-01-15T10:04:39.778901Z,92.3
2024-01-15T10:04:44.889012Z,91.7
2024-01-15T10:04:49.990123Z,91.1
2024-01-15T10:04:55.101234Z,90.4
2024-01-15T10:05:00.212345Z,89.6
2024-01-15T10:05:05.323456Z,88.8
2024-01-15T10:05:10.434567Z,87.9
2024-01-15T10:05:15.545678Z,86.9
2024-01-15T10:05:20.656789Z,85.8
2024-01-15T10:05:25.767890Z,84.6
2024-01-15T10:05:30.878901Z,83.4
2024-01-15T10:05:35.989012Z,82.1
2024-01-15T10:05:41.090123Z,80.8
2024-01-15T10:05:46.201234Z,79.6
2024-01-15T10:05:51.312345Z,78.5
2024-01-15T10:05:56.423456Z,77.5
2024-01-15T10:06:01.534567Z,76.7
2024-01-15T10:06:06.645678Z,76.1
2024-01-15T10:06:11.756789Z,75.6
2024-01-15T10:06:16.867890Z,75.3
2024-01-15T10:06:21.978901Z,75.1
2024-01-15T10:06:27.089012Z,75.0
2024-01-15T10:06:32.190123Z,75.2
2024-01-15T10:06:37.301234Z,75.5
2024-01-15T10:06:42.412345Z,75.9
2024-01-15T10:06:47.523456Z,76.4
2024-01-15T10:06:52.634567Z,77.0
2024-01-15T10:06:57.745678Z,77.7
2024-01-15T10:07:02.856789Z,78.5
2024-01-15T10:07:07.967890Z,79.3
2024-01-15T10:07:13.078901Z,80.2
2024-01-15T10:07:18.189012Z,81.1
2024-01-15T10:07:23.290123Z,82.0
2024-01-15T10:07:28.401234Z,82.9
2024-01-15T10:07:33.512345Z,83.8
2024-01-15T10:07:38.623456Z,84.6
2024-01-15T10:07:43.734567Z,85.4
