transaction_id,date,amount,currency
TXN001,2023-01-15,1250.50,EUR
TXN002,2023-01-20,850.75,GBP
TXN003,2023-02-10,125000.00,JPY
TXN004,2023-03-05,3500.25,CAD
TXN005,2023-04-12,2100.00,AUD
TXN006,2023-01-08,5000.00,EUR
TXN007,2023-01-25,1200.50,GBP
TXN008,2023-02-14,98000.00,JPY
TXN009,2023-03-18,4200.75,CAD
TXN010,2023-04-22,3100.25,AUD
TXN011,2023-05-05,2800.00,EUR
TXN012,2023-05-15,1750.50,GBP
TXN013,2023-06-02,150000.00,JPY
TXN014,2023-06-20,2900.00,CAD
TXN015,2023-07-08,4500.75,AUD
TXN016,2023-01-12,3200.25,EUR
TXN017,2023-02-03,2100.00,GBP
TXN018,2023-03-11,175000.00,JPY
TXN019,2023-04-07,3800.50,CAD
TXN020,2023-05-19,2700.00,AUD
TXN021,2023-07-15,4100.50,EUR
TXN022,2023-07-28,1900.75,GBP
TXN023,2023-08-10,135000.00,JPY
TXN024,2023-08-25,5100.25,CAD
TXN025,2023-09-05,3600.00,AUD
TXN026,2023-06-12,2400.50,EUR
TXN027,2023-06-28,1650.25,GBP
TXN028,2023-07-22,110000.00,JPY
TXN029,2023-08-15,4700.75,CAD
TXN030,2023-09-18,2950.50,AUD
TXN031,2023-09-22,3700.00,EUR
TXN032,2023-10-05,2250.50,GBP
TXN033,2023-10-18,165000.00,JPY
TXN034,2023-11-02,3300.25,CAD
TXN035,2023-11-15,4200.00,AUD
TXN036,2023-01-30,1800.75,EUR
TXN037,2023-02-20,950.50,GBP
TXN038,2023-03-25,142000.00,JPY
TXN039,2023-04-28,2800.00,CAD
TXN040,2023-05-30,3400.25,AUD
TXN041,2023-12-01,5200.50,EUR
TXN042,2023-12-10,2800.75,GBP
TXN043,2023-12-20,195000.00,JPY
TXN044,2023-12-28,4900.00,CAD
TXN045,2023-11-28,3850.50,AUD
TXN046,2023-02-05,2600.00,EUR
TXN047,2023-03-15,1450.25,GBP
TXN048,2023-04-18,118000.00,JPY
TXN049,2023-05-22,3950.50,CAD
TXN050,2023-06-25,2850.75,AUD
TXN051,2023-07-05,4800.25,EUR
TXN052,2023-08-08,2150.00,GBP
TXN053,2023-09-12,158000.00,JPY
TXN054,2023-10-15,5300.75,CAD
TXN055,2023-11-20,4100.50,AUD
TXN056,2023-01-18,3100.50,EUR
TXN057,2023-02-22,1750.75,GBP
TXN058,2023-03-28,132000.00,JPY
TXN059,2023-04-30,4400.25,CAD
TXN060,2023-05-25,3250.00,AUD
TXN061,2023-06-08,2950.75,EUR
TXN062,2023-07-12,1850.50,GBP
TXN063,2023-08-20,145000.00,JPY
TXN064,2023-09-25,3700.00,CAD
TXN065,2023-10-28,4600.25,AUD
TXN066,2023-11-08,5100.00,EUR
TXN067,2023-12-05,2450.50,GBP
TXN068,2023-01-22,128000.00,JPY
TXN069,2023-02-28,3600.75,CAD
TXN070,2023-03-30,2750.25,AUD
TXN071,2023-04-15,4200.50,EUR
TXN072,2023-05-12,1950.00,GBP
TXN073,2023-06-18,172000.00,JPY
TXN074,2023-07-25,4850.25,CAD
TXN075,2023-08-28,3500.75,AUD
TXN076,2023-09-08,2850.00,EUR
TXN077,2023-10-12,1600.50,GBP
TXN078,2023-11-18,138000.00,JPY
TXN079,2023-12-15,5500.00,CAD
TXN080,2023-10-22,3950.25,AUD
TXN081,2023-01-05,3850.75,EUR
TXN082,2023-02-12,2050.25,GBP
TXN083,2023-03-20,155000.00,JPY
TXN084,2023-04-25,4100.50,CAD
TXN085,2023-05-28,3300.00,AUD
TXN086,2023-06-15,4950.25,EUR
TXN087,2023-07-18,2350.75,GBP
TXN088,2023-08-22,162000.00,JPY
TXN089,2023-09-28,3450.00,CAD
TXN090,2023-10-30,4250.50,AUD
TXN091,2023-11-12,2700.75,EUR
TXN092,2023-12-18,1800.25,GBP
TXN093,2023-01-28,148000.00,JPY
TXN094,2023-03-08,5200.50,CAD
TXN095,2023-04-20,2950.00,AUD
TXN096,2023-05-08,3600.25,EUR
TXN097,2023-06-22,2100.50,GBP
TXN098,2023-07-30,122000.00,JPY
TXN099,2023-08-18,4650.75,CAD
TXN100,2023-09-15,3150.25,AUD
TXN101,2023-10-08,5400.00,EUR
TXN102,2023-11-22,2500.50,GBP
TXN103,2023-12-12,178000.00,JPY
TXN104,2023-02-18,4300.25,CAD
TXN105,2023-04-05,3800.75,AUD
TXN106,2023-05-18,2200.50,EUR
TXN107,2023-07-02,1550.00,GBP
TXN108,2023-08-12,115000.00,JPY
TXN109,2023-09-20,3900.25,CAD
TXN110,2023-11-05,4450.50,AUD
TXN111,2023-12-22,4700.75,EUR
TXN112,2023-01-10,2650.25,GBP
TXN113,2023-03-12,168000.00,JPY
TXN114,2023-06-05,5000.00,CAD
TXN115,2023-08-05,3550.50,AUD
TXN116,2023-10-18,3250.75,EUR
TXN117,2023-12-08,1900.00,GBP
TXN118,2023-02-25,130000.00,JPY
TXN119,2023-05-10,4550.25,CAD
TXN120,2023-07-20,2850.00,AUD
