feature1,feature2,feature3,feature4,feature5,target
45.2,-23.1,67.8,12.4,-89.3,1
-12.7,56.3,-34.9,78.2,23.6,0
89.1,-45.6,12.3,-67.8,34.5,1
-23.4,67.9,-12.5,45.8,-56.7,0
34.6,-78.2,23.7,-45.1,67.9,1
-56.8,12.4,89.3,-23.7,45.2,0
67.3,-34.5,56.8,12.9,-78.4,1
12.8,45.7,-67.3,89.1,-23.6,0
-45.9,78.4,34.2,-12.8,56.7,1
78.5,-12.3,45.9,-67.2,23.8,0
-34.2,67.8,12.6,45.3,-89.1,1
56.7,-23.9,78.4,-34.6,12.5,0
23.9,-67.5,34.8,56.2,-12.7,1
-67.4,34.6,-23.8,78.9,45.3,0
45.8,12.7,-56.9,23.4,67.5,1
-89.2,45.3,67.6,-12.9,34.8,0
34.7,-56.4,12.8,67.9,-45.2,1
67.9,-34.8,45.6,12.3,-23.7,0
-12.5,89.3,-45.7,34.2,56.8,1
56.4,-67.8,23.5,45.9,-34.3,0
12.3,34.9,-78.6,56.7,23.4,1
-45.6,23.8,67.4,-89.2,45.7,0
78.6,-23.4,34.5,-56.8,12.9,1
-23.7,56.9,12.4,-34.7,78.3,0
89.4,-45.2,67.8,23.6,-12.8,1
34.5,67.3,-23.9,45.7,-56.4,0
-56.9,12.7,45.8,-67.5,34.6,1
45.3,-78.7,56.2,34.9,-23.5,0
67.8,23.6,-34.4,12.8,56.9,1
-34.6,45.9,78.5,-23.8,67.2,0
23.7,-56.3,34.7,67.8,-45.9,1
-78.9,34.2,12.5,-45.6,23.9,0
56.8,-12.6,67.4,34.3,-78.5,1
12.4,78.9,-45.3,56.7,34.8,0
-67.5,23.4,45.9,-12.7,89.6,1
45.9,-34.7,23.8,78.4,-56.2,0
34.8,56.5,-67.9,12.6,45.3,1
-23.5,67.7,34.6,-78.3,12.9,0
78.7,-56.8,45.2,23.9,-34.5,1
-45.3,12.8,56.9,-23.6,67.4,0
67.2,34.7,-12.9,45.8,-78.6,1
23.8,-67.4,78.5,34.2,-45.7,0
-56.7,45.6,12.3,67.9,23.5,1
89.3,-23.8,34.9,-56.5,78.2,0
12.6,67.8,-45.4,23.7,34.9,1
-34.9,23.5,67.3,-12.8,56.4,0
56.9,-78.4,34.6,45.2,-23.9,1
-12.8,45.7,23.4,-67.6,89.5,0
45.6,34.9,-56.7,78.3,12.7,1
67.4,-45.8,12.9,34.5,-23.6,0
-78.6,56.7,45.3,-34.8,67.9,0
34.3,12.5,-23.7,56.8,45.9,1
23.6,-34.9,67.5,12.8,-78.7,0
-45.7,78.6,34.4,-56.9,23.8,1
78.9,-12.7,56.3,45.6,-67.8,0
-23.9,34.8,12.6,-45.5,78.4,1
56.5,67.9,-34.7,23.5,12.8,0
12.9,-56.6,45.8,67.3,-34.6,1
-67.8,23.7,34.9,-12.5,56.7,0
45.7,56.8,-78.9,34.2,23.6,1
34.6,-23.8,67.6,45.9,-56.8,0
-56.4,12.9,23.7,78.5,34.7,1
67.5,-34.6,45.3,12.7,-23.8,0
23.5,45.8,-12.9,56.6,67.9,1
-34.7,67.4,56.8,-78.6,45.2,0
78.8,23.9,-45.6,34.5,12.6,1
-12.6,56.7,34.8,-23.7,78.3,0
56.6,-67.9,12.8,45.4,34.9,1
45.4,34.7,-56.5,23.8,67.6,0
-78.7,45.9,67.8,-34.9,12.7,1
34.9,12.8,-34.6,78.7,56.5,0
67.7,-23.6,45.7,34.8,-67.9,1
-45.8,78.5,23.9,-56.7,34.6,0
23.4,34.6,-67.8,45.5,12.9,1
-56.8,67.9,12.7,-45.3,78.6,0
12.7,45.6,-23.8,67.5,34.7,1
89.7,-34.9,56.7,23.6,-78.8,0
-34.8,23.6,45.9,-67.7,56.8,1
78.4,56.9,-12.8,34.7,23.5,0
45.5,-67.6,34.8,12.9,-45.9,1
-23.6,12.7,78.9,56.8,-34.7,0
67.6,34.8,-45.7,23.9,56.7,1
34.4,-56.9,67.7,45.8,-12.6,0
-67.9,45.5,23.8,-34.5,12.8,1
56.7,23.7,-78.5,67.8,45.6,0
12.5,-34.8,56.9,78.6,23.7,1
-45.9,67.5,34.7,-23.9,56.6,0
78.3,-56.7,45.4,12.8,34.9,1
23.8,34.5,-12.7,45.7,-67.5,0
-78.5,56.8,67.9,-45.6,34.8,1
45.9,12.6,-34.7,78.8,56.7,0
34.7,-45.8,23.6,67.4,12.5,1
-56.5,78.7,45.9,-23.8,67.8,0
67.9,-12.8,34.6,56.5,-78.9,1
-34.5,45.7,12.9,-56.8,78.4,0
56.8,-23.7,67.6,34.9,45.3,1
