feature1,feature2,feature3,feature4,feature5,target
-45.3,12.8,67.2,-33.1,89.4,1
23.7,-56.9,14.5,78.3,-9.2,0
-67.8,45.2,-12.3,34.6,56.1,1
88.9,-23.4,56.7,-45.8,12.3,0
-12.5,67.3,-89.1,23.4,-45.6,1
56.2,-34.7,12.9,67.8,-23.1,0
-78.4,23.6,45.1,-12.7,89.5,1
34.1,-67.2,78.9,12.4,-56.3,0
-23.8,89.4,-34.5,56.7,12.6,1
67.5,-12.3,23.8,-78.9,45.2,0
-89.2,34.7,56.3,-23.6,78.1,1
12.4,-45.8,67.9,34.2,-89.3,0
-56.7,78.2,-12.4,45.9,23.5,1
45.9,-23.1,89.6,-56.4,34.7,0
-34.2,56.8,12.7,-67.5,89.1,1
78.3,-89.4,34.6,12.8,-45.2,0
-12.9,45.7,-67.3,89.2,23.4,1
89.6,-34.5,12.1,56.9,-78.7,0
-45.8,67.4,23.9,-12.6,56.3,1
23.2,-78.5,45.3,67.1,-34.9,0
-67.1,12.5,89.7,-45.3,23.8,1
56.8,-23.7,34.2,78.6,-12.4,0
-89.5,45.1,12.8,-34.7,67.9,1
34.6,-56.2,78.4,23.1,-89.8,0
-23.4,89.3,-45.6,12.9,56.7,1
67.9,-12.8,56.2,-78.3,34.5,0
-78.6,34.9,23.5,-56.8,89.4,1
12.7,-67.4,89.1,45.6,-23.2,0
-56.3,23.8,67.5,-89.7,12.9,1
45.4,-34.1,12.6,89.8,-67.2,0
-34.8,78.7,-23.9,56.4,45.1,1
89.2,-45.6,34.3,12.5,-78.9,0
-12.3,56.9,78.8,-34.2,23.6,1
78.5,-23.5,45.7,67.3,-56.1,0
-45.2,12.4,34.9,-78.6,89.7,1
23.9,-89.1,67.8,45.2,-12.7,0
-67.4,45.8,12.2,-23.8,78.9,1
56.1,-78.2,89.5,34.7,-45.9,0
-89.8,23.3,45.4,-67.9,56.6,1
34.5,-12.1,78.7,89.3,-34.6,0
-23.7,67.6,-56.5,12.8,45.9,1
67.2,-45.3,23.1,78.4,-89.6,0
-78.9,56.4,34.8,-12.5,67.1,1
12.6,-34.9,89.2,56.7,-78.5,0
-56.8,89.6,-23.2,45.3,34.1,1
45.7,-67.7,12.9,23.4,-56.9,0
-34.4,78.1,56.5,-89.4,12.3,1
89.9,-56.6,45.2,34.8,-23.5,0
-12.8,34.2,67.9,-45.7,78.6,1
78.2,-23.9,56.8,12.7,-67.5,0
-45.6,67.3,23.4,-78.1,89.8,1
23.5,-89.7,45.9,67.6,-34.3,0
-67.9,12.1,78.5,-56.2,45.4,1
56.7,-45.1,34.6,89.4,-78.8,0
-89.3,78.9,12.4,-34.8,56.9,1
34.9,-23.6,67.2,45.8,-12.9,0
-23.1,45.5,89.9,-67.4,78.3,1
67.8,-78.7,23.7,56.1,-45.5,0
-78.3,34.4,56.6,-23.3,89.2,1
12.9,-56.4,78.1,67.9,-34.7,0
-56.1,89.8,-45.9,23.8,67.4,1
45.3,-34.6,67.7,78.2,-89.5,0
-34.7,56.2,12.5,-89.9,45.6,1
89.4,-12.6,78.6,34.1,-67.8,0
-12.2,67.1,45.8,-56.7,23.9,1
78.9,-89.2,34.5,12.3,-45.4,0
-45.9,23.2,89.3,-78.4,56.5,1
23.6,-67.6,56.9,45.7,-23.8,0
-67.5,45.9,34.7,-12.2,78.7,1
56.4,-78.9,12.8,89.6,-56.3,0
-89.6,34.8,67.4,-45.2,23.1,1
34.2,-56.8,89.7,78.5,-34.9,0
-23.5,78.4,23.3,-67.2,45.8,1
67.6,-34.3,45.1,56.8,-89.1,0
-78.7,89.5,56.3,-23.7,34.4,1
12.5,-45.7,34.9,67.5,-78.2,0
-56.9,23.4,78.8,-89.8,45.2,1
45.8,-67.3,89.4,23.6,-56.6,0
-34.1,56.7,12.3,-78.8,67.9,1
89.7,-23.8,67.2,45.4,-12.5,0
-12.7,45.6,56.1,-34.5,89.9,1
78.6,-56.9,23.5,12.2,-67.7,0
-45.4,67.8,34.3,-89.6,78.4,1
23.8,-78.3,89.1,56.2,-45.8,0
-67.2,34.6,45.5,-56.1,12.4,1
56.9,-89.9,78.3,34.9,-23.4,0
-89.4,12.6,23.7,-67.8,56.8,1
34.3,-45.2,67.6,89.8,-78.6,0
-23.9,89.2,56.4,-12.3,45.7,1
67.3,-34.8,12.7,78.1,-56.5,0
-78.1,56.5,89.6,-45.9,34.2,1
12.8,-67.9,45.3,23.9,-89.7,0
-56.2,78.5,34.1,-78.7,67.6,1
45.1,-12.4,67.9,56.3,-34.2,0
-34.9,89.3,78.2,-23.1,12.1,1
89.1,-78.4,56.7,45.9,-67.1,0
-12.1,34.7,23.6,-56.4,78.8,1
78.4,-45.5,89.8,67.2,-23.7,0
