transaction_id,date,amount,merchant,currency,exchange_rate,fee_percentage,fixed_fee,tax_rate
MC10001,2024-01-15,125.50,Restaurant Plaza,USD,1.0,0.029,0.30,0.0825
MC10002,2024-01-15,2340.7890,International Hotel,EUR,0.85,0.031,0.30,0.0975
MC10003,2024-01-15,89.99,Coffee Shop,USD,1.0,0.028,0.30,0.065
MC10004,2024-01-15,456.2345,Online Store UK,GBP,1.35,0.029,0.31,0.0
MC10005,2024-01-16,1250.00,Electronics Depot,USD,1.0,0.032,0.32,0.0825
MC10006,2024-01-16,78.45,Gas Station,USD,1.0,0.027,0.28,0.065
MC10007,2024-01-16,3421.5678,Luxury Boutique,EUR,0.85,0.031,0.31,0.0975
MC10008,2024-01-16,234.99,Bookstore,USD,1.0,0.029,0.30,0.0825
MC10009,2024-01-17,567.8901,Travel Agency,GBP,1.35,0.030,0.30,0.0
MC10010,2024-01-17,45.67,Pharmacy,USD,1.0,0.028,0.29,0.065
MC10011,2024-01-17,1890.25,Furniture Store,USD,1.0,0.031,0.31,0.0825
MC10012,2024-01-17,12500.0000,Car Rental,JPY,110.5,0.032,0.32,0.0975
MC10013,2024-01-18,678.90,Sporting Goods,USD,1.0,0.029,0.30,0.065
MC10014,2024-01-18,234.5678,Cafe Paris,EUR,0.85,0.028,0.29,0.0
MC10015,2024-01-18,5670.00,Jewelry Store,USD,1.0,0.032,0.32,0.0825
MC10016,2024-01-18,123.45,Pet Store,USD,1.0,0.027,0.28,0.065
MC10017,2024-01-19,890.1234,London Shop,GBP,1.35,0.029,0.30,0.0975
MC10018,2024-01-19,3456.78,Department Store,USD,1.0,0.031,0.31,0.0825
MC10019,2024-01-19,567.89,Hardware Store,USD,1.0,0.029,0.30,0.065
MC10020,2024-01-19,8000.0000,Home Appliances,USD,1.0,0.032,0.32,0.0
MC10021,2024-01-20,234.56,Grocery Store,USD,1.0,0.028,0.29,0.0825
MC10022,2024-01-20,1234.5678,Berlin Restaurant,EUR,0.85,0.030,0.30,0.0975
MC10023,2024-01-20,456.78,Movie Theater,USD,1.0,0.027,0.28,0.065
MC10024,2024-01-20,2345.67,Clothing Store,USD,1.0,0.029,0.30,0.0825
MC10025,2024-01-21,789.0123,Edinburgh Hotel,GBP,1.35,0.031,0.31,0.0
MC10026,2024-01-21,123.99,Fast Food,USD,1.0,0.028,0.29,0.065
MC10027,2024-01-21,4567.89,Laptop Store,USD,1.0,0.032,0.32,0.0825
MC10028,2024-01-21,678.45,Florist,USD,1.0,0.029,0.30,0.0975
MC10029,2024-01-22,9876.5432,Tokyo Electronics,JPY,110.5,0.031,0.31,0.0
MC10030,2024-01-22,234.67,Bakery,USD,1.0,0.027,0.28,0.065
MC10031,2024-01-22,1567.89,Shoe Store,USD,1.0,0.029,0.30,0.0825
MC10032,2024-01-22,345.6789,Paris Gallery,EUR,0.85,0.028,0.29,0.0975
MC10033,2024-01-23,4567.12,Furniture Outlet,USD,1.0,0.031,0.31,0.0825
MC10034,2024-01-23,89.50,Ice Cream Shop,USD,1.0,0.027,0.28,0.065
MC10035,2024-01-23,2345.6789,Manchester Store,GBP,1.35,0.030,0.30,0.0
MC10036,2024-01-23,678.90,Garden Center,USD,1.0,0.029,0.30,0.0825
MC10037,2024-01-24,1234.56,Music Store,USD,1.0,0.028,0.29,0.065
MC10038,2024-01-24,5678.9012,Munich Hotel,EUR,0.85,0.032,0.32,0.0975
MC10039,2024-01-24,345.78,Toy Store,USD,1.0,0.027,0.28,0.0825
MC10040,2024-01-24,6789.01,Electronics Mall,USD,1.0,0.031,0.31,0.0
MC10041,2024-01-25,456.89,Deli,USD,1.0,0.028,0.29,0.065
MC10042,2024-01-25,3456.7890,Liverpool Shop,GBP,1.35,0.029,0.30,0.0825
MC10043,2024-01-25,789.12,Office Supplies,USD,1.0,0.029,0.30,0.0975
MC10044,2024-01-25,2345.00,Home Decor,USD,1.0,0.030,0.30,0.065
MC10045,2024-01-26,1234.5678,Vienna Cafe,EUR,0.85,0.028,0.29,0.0
MC10046,2024-01-26,567.89,Drugstore,USD,1.0,0.027,0.28,0.0825
MC10047,2024-01-26,4567.90,Mattress Store,USD,1.0,0.031,0.31,0.065
MC10048,2024-01-26,234.56,Pizza Place,USD,1.0,0.028,0.29,0.0975
MC10049,2024-01-27,7890.1234,Osaka Market,JPY,110.5,0.032,0.32,0.0825
MC10050,2024-01-27,345.67,Convenience Store,USD,1.0,0.027,0.28,0.065
MC10051,2024-01-27,2345.78,Sporting Equipment,USD,1.0,0.029,0.30,0.0
MC10052,2024-01-27,678.9012,Cambridge Bookshop,GBP,1.35,0.028,0.29,0.0825
MC10053,2024-01-28,1567.89,Video Game Store,USD,1.0,0.029,0.30,0.0975
MC10054,2024-01-28,456.78,Sandwich Shop,USD,1.0,0.027,0.28,0.065
MC10055,2024-01-28,3456.7890,Brussels Restaurant,EUR,0.85,0.031,0.31,0.0825
MC10056,2024-01-28,789.01,Cosmetics Store,USD,1.0,0.028,0.29,0.0
MC10057,2024-01-29,5678.90,Appliance Center,USD,1.0,0.032,0.32,0.065
MC10058,2024-01-29,234.56,Juice Bar,USD,1.0,0.027,0.28,0.0825
