adjustment_id,date,amount,type,original_transaction_id,reason,tax_rate
ADJ001,2024-01-15,-125.50,refund,TXN10234,customer_return,0.065
ADJ002,2024-01-15,-89.99,refund,TXN10451,customer_return,0.0825
ADJ003,2024-01-16,15.00,fee_adjustment,TXN10567,processing_correction,0.0
ADJ004,2024-01-16,-234.75,chargeback,TXN10789,fraud,0.0975
ADJ005,2024-01-17,-45.25,refund,TXN11023,customer_return,0.065
ADJ006,2024-01-17,25.50,correction,TXN11234,billing_error,0.0
ADJ007,2024-01-18,-156.80,refund,TXN11456,customer_return,0.0825
ADJ008,2024-01-18,-78.95,refund,TXN11678,customer_return,0.065
ADJ009,2024-01-19,10.00,fee_adjustment,TXN11890,processing_correction,0.0
ADJ010,2024-01-19,-345.00,chargeback,TXN12001,fraud,0.0975
ADJ011,2024-01-20,-67.45,refund,TXN12234,customer_return,0.065
ADJ012,2024-01-20,18.75,correction,TXN12456,billing_error,0.0
ADJ013,2024-01-21,-199.99,refund,TXN12678,customer_return,0.0825
ADJ014,2024-01-21,-123.45,refund,TXN12890,customer_return,0.065
ADJ015,2024-01-22,30.00,fee_adjustment,TXN13001,processing_correction,0.0
ADJ016,2024-01-22,-456.80,chargeback,TXN13234,fraud,0.0975
ADJ017,2024-01-23,-89.50,refund,TXN13456,customer_return,0.065
ADJ018,2024-01-23,22.50,correction,TXN13678,billing_error,0.0
ADJ019,2024-01-24,-178.25,refund,TXN13890,customer_return,0.0825
ADJ020,2024-01-24,-95.75,refund,TXN14001,customer_return,0.065
ADJ021,2024-01-25,12.00,fee_adjustment,TXN14234,processing_correction,0.0
ADJ022,2024-01-25,-267.50,chargeback,TXN14456,fraud,0.0975
ADJ023,2024-01-26,-54.99,refund,TXN14678,customer_return,0.065
ADJ024,2024-01-26,28.25,correction,TXN14890,billing_error,0.0
ADJ025,2024-01-27,-145.80,refund,TXN15001,customer_return,0.0825
ADJ026,2024-01-27,-112.35,refund,TXN15234,customer_return,0.065
ADJ027,2024-01-28,20.00,fee_adjustment,TXN15456,processing_correction,0.0
ADJ028,2024-01-28,-389.99,chargeback,TXN15678,fraud,0.0975
ADJ029,2024-01-29,-76.50,refund,TXN15890,customer_return,0.065
ADJ030,2024-01-29,16.50,correction,TXN16001,billing_error,0.0
ADJ031,2024-01-30,-198.75,refund,TXN16234,customer_return,0.0825
ADJ032,2024-01-30,-134.20,refund,TXN16456,customer_return,0.065
ADJ033,2024-01-31,35.00,fee_adjustment,TXN16678,processing_correction,0.0
ADJ034,2024-01-31,-423.50,chargeback,TXN16890,fraud,0.0975
ADJ035,2024-02-01,-98.99,refund,TXN17001,customer_return,0.065
ADJ036,2024-02-01,24.75,correction,TXN17234,billing_error,0.0
ADJ037,2024-02-02,-167.45,refund,TXN17456,customer_return,0.0825
ADJ038,2024-02-02,-87.60,refund,TXN17678,customer_return,0.065
ADJ039,2024-02-03,14.00,fee_adjustment,TXN17890,processing_correction,0.0
ADJ040,2024-02-03,-312.75,chargeback,TXN18001,fraud,0.0975
ADJ041,2024-02-04,-65.25,refund,TXN18234,customer_return,0.065
ADJ042,2024-02-04,19.50,correction,TXN18456,billing_error,0.0
ADJ043,2024-02-05,-189.99,refund,TXN18678,customer_return,0.0825
ADJ044,2024-02-05,-105.80,refund,TXN18890,customer_return,0.065
ADJ045,2024-02-06,27.00,fee_adjustment,TXN19001,processing_correction,0.0
ADJ046,2024-02-06,-378.25,chargeback,TXN19234,fraud,0.0975
ADJ047,2024-02-07,-72.50,refund,TXN19456,customer_return,0.065
ADJ048,2024-02-07,21.25,correction,TXN19678,billing_error,0.0
ADJ049,2024-02-08,-156.75,refund,TXN19890,customer_return,0.0825
ADJ050,2024-02-08,-118.45,refund,TXN20001,customer_return,0.065
ADJ051,2024-02-09,32.00,fee_adjustment,TXN20234,processing_correction,0.0
ADJ052,2024-02-09,-445.60,chargeback,TXN20456,fraud,0.0975
ADJ053,2024-02-10,-83.99,refund,TXN20678,customer_return,0.065
ADJ054,2024-02-10,26.50,correction,TXN20890,billing_error,0.0
ADJ055,2024-02-11,-175.25,refund,TXN21001,customer_return,0.0825
ADJ056,2024-02-11,-96.70,refund,TXN21234,customer_return,0.065
ADJ057,2024-02-12,17.00,fee_adjustment,TXN21456,processing_correction,0.0
ADJ058,2024-02-12,-356.80,chargeback,TXN21678,fraud,0.0975
ADJ059,2024-02-13,-69.50,refund,TXN21890,customer_return,0.065
ADJ060,2024-02-13,23.75,correction,TXN22001,billing_error,0.0
ADJ061,2024-02-14,-187.99,refund,TXN22234,customer_return,0.0825
ADJ062,2024-02-14,-127.35,refund,TXN22456,customer_return,0.065
