EnsemblID	EntrezID	GeneSymbol	Status
ENSG00000139618	7157	TP53	current
ENSG00000141510	675	BRCA2	current
ENSG00000169047	1029	CDKN2A	current
ENSG00000278234	8943	AP3D1	current
ENSG00000278234	9201	DYRK1A	current
ENSG00000157764	1956	EGFR	current
ENSG00000136997	4609	MYC	current
ENSG00000198763	5460	POU5F1	deprecated
ENSG00000012048	672	BRCA1	current
ENSG00000171862	7428	VHL	current
ENSG00000134086	2064	ERBB2	current
ENSG00000183914	5979	RET	current
ENSG00000146648	2335	FN1	current
ENSG00000117399	3845	KRAS	current
ENSG00000133703	4851	NOTCH1	current
ENSG00000157764	1956	EGFR	deprecated
ENSG00000196712	5290	PIK3CA	current
ENSG00000101445	6774	STAT3	current
ENSG00000115414	9232	PTEN	current
ENSG00000185386	5594	MAPK1	current
ENSG00000162231	8030	CCDC6	current
ENSG00000134480	5728	PTEN	deprecated
ENSG00000138083	2064	HER2	deprecated
ENSG00000108946	7040	TGFB1	current
ENSG00000142192	8493	APP	current
ENSG00000160789	5925	RB1	current
ENSG00000089685	5604	MAP2K1	current
ENSG00000178568	3265	HRAS	current
ENSG00000141736	6387	CXCL12	current
ENSG00000168036	5594	MAPK1	deprecated
ENSG00000087116	5295	PIK3R1	current
ENSG00000123374	1385	CREB1	current
ENSG00000165731	8440	NCK1	current
ENSG00000187642	5290	PIK3CA	deprecated
ENSG00000077809	5335	PLCG1	current
ENSG00000118513	1387	CREBBP	current
ENSG00000105810	207	AKT1	current
ENSG00000166508	5424	POLD1	current
ENSG00000091831	3791	KDR	current
ENSG00000102882	5170	PDPK1	current
ENSG00000154803	7849	PAX8	current
ENSG00000171791	5879	RAC1	current
ENSG00000092969	7849	PAX8	deprecated
ENSG00000198793	5371	PML	current
ENSG00000065361	7015	TERT	current
ENSG00000166851	5371	PML	current
ENSG00000166851	7515	XRCC1	current
ENSG00000107485	2475	MTOR	current
ENSG00000116478	4790	NFKB1	current
ENSG00000100906	3725	JUN	current
ENSG00000129757	8379	MAD1L1	current
ENSG00000141338	23411	SIRT1	current
ENSG00000185885	3725	JUN	deprecated
ENSG00000166710	6472	SHMT2	current
ENSG00000135679	3952	LEP	current
ENSG00000158828	2475	MTOR	deprecated
ENSG00000175063	5594	MAPK1	current
ENSG00000099194	5747	PTK2	current
ENSG00000107104	2876	GPX1	current
ENSG00000073756	7431	VIM	current
ENSG00000154473	998	CDC42	current
ENSG00000163132	6654	SOS1	current
ENSG00000081059	9232	PTEN	deprecated
ENSG00000163930	3716	JAK1	current
ENSG00000096696	3717	JAK2	current
ENSG00000105976	51072	MEMO1	current
ENSG00000111640	5594	MAPK1	current
ENSG00000111640	5595	MAPK3	current
ENSG00000183914	5979	RET	deprecated
ENSG00000076242	5879	RAC1	deprecated
ENSG00000132155	1445	CSK	current
ENSG00000166913	1445	CSK	current
ENSG00000166913	7852	CXCR4	current
ENSG00000172216	8518	IKBKAP	current
ENSG00000115524	3930	LBR	current
ENSG00000172216	8518	IKBKAP	deprecated
ENSG00000188895	9475	ROCK2	current
ENSG00000067900	6464	SHC1	current
ENSG00000204463	3105	HLA-A	current
ENSG00000182718	5062	PAK2	current
ENSG00000077312	5923	RASGRF1	current
ENSG00000120738	3551	IKBKB	current
ENSG00000150907	2002	ELK1	current
ENSG00000120738	3551	IKBKB	deprecated
ENSG00000090006	2002	ELK1	current
ENSG00000090006	8503	PIK3R3	current
ENSG00000105810	207	AKT1	deprecated
ENSG00000174775	51343	FZR1	current
ENSG00000167193	5663	PSEN1	current
ENSG00000140968	5594	MAPK1	current
ENSG00000140968	5601	MAPK9	current
ENSG00000131018	5605	MAP2K2	current
ENSG00000085840	6777	STAT5B	current
ENSG00000173039	5468	PPARG	current
ENSG00000128272	5594	MAPK1	current
ENSG00000128272	5603	MAPK13	current
ENSG00000169245	4067	LYN	current
ENSG00000101266	5909	RAP1GAP	current
ENSG00000169245	4067	LYN	deprecated
ENSG00000157554	7428	VHL	deprecated
ENSG00000204531	3106	HLA-B	current
ENSG00000168090	5062	PAK2	current
ENSG00000168090	5063	PAK3	current
ENSG00000143384	2475	MTOR	current
ENSG00000143384	6195	RPS6KA1	current
ENSG00000110092	1445	CSK	current
ENSG00000110092	6714	SRC	current
ENSG00000146648	2335	FN1	deprecated
ENSG00000136997	4609	MYC	deprecated
ENSG00000186591	4089	SMAD4	current
ENSG00000137154	8313	AXIN2	current
ENSG00000198793	5371	PML	deprecated
ENSG00000080815	5604	MAP2K1	current
ENSG00000091127	5594	MAPK1	current
ENSG00000091127	5600	MAPK11	current
ENSG00000213281	6464	SHC1	current
ENSG00000213281	6532	SLC6A4	current
ENSG00000103126	1017	CDK2	current
ENSG00000108947	596	BCL2	current
ENSG00000242372	7157	TP53	deprecated
ENSG00000125968	339451	KLHL17	current
ENSG00000174748	7422	VEGFA	current
ENSG00000133703	4851	NOTCH1	deprecated
ENSG00000102879	5159	PDGFRB	current
ENSG00000092820	5156	PDGFRA	current
ENSG00000161791	3717	JAK2	current
ENSG00000161791	3718	JAK3	current
ENSG00000165304	7157	TP53	current
ENSG00000165304	8202	NCOA3	current
ENSG00000177885	1029	CDKN2A	deprecated
ENSG00000134057	1432	MAPK14	current
ENSG00000055130	596	BCL2	current
ENSG00000055130	598	BCL2L1	current
