event_id,user_id,event_type,timestamp,value
1,1,click,2024-01-15T10:30:45,234.56
2,2,view,2024-01-15T10:31:12,567.89
3,3,purchase,2024-01-15T10:32:00,123.45
4,4,signup,2024-01-15T10:32:45,789.12
5,5,logout,2024-01-15T10:33:30,456.78
6,6,click,2024-01-15T10:34:15,901.23
7,7,view,2024-01-15T10:35:00,345.67
8,8,purchase,2024-01-15T10:35:45,678.90
9,9,signup,2024-01-15T10:36:30,012.34
10,10,logout,2024-01-15T10:37:15,890.12
11,11,click,2024-01-15T10:38:00,234.56
12,12,view,2024-01-15T10:38:45,567.89
13,13,purchase,2024-01-15T10:39:30,890.12
14,14,signup,2024-01-15T10:40:15,123.45
15,15,logout,2024-01-15T10:41:00,456.78
16,16,click,2024-01-15T10:41:45,789.01
17,17,view,2024-01-15T10:42:30,012.34
18,18,purchase,2024-01-15T10:43:15,345.67
19,19,signup,2024-01-15T10:44:00,678.90
20,20,logout,2024-01-15T10:44:45,901.23
21,21,click,2024-01-15T10:45:30,234.56
22,22,view,2024-01-15T10:46:15,567.89
23,23,purchase,2024-01-15T10:47:00,890.12
24,24,signup,2024-01-15T10:47:45,123.45
25,25,logout,2024-01-15T10:48:30,456.78
26,26,click,2024-01-15T10:49:15,789.01
27,27,view,2024-01-15T10:50:00,012.34
28,28,purchase,2024-01-15T10:50:45,345.67
29,29,signup,2024-01-15T10:51:30,678.90
30,30,logout,2024-01-15T10:52:15,901.23
31,31,click,2024-01-15T10:53:00,145.67
32,32,view,2024-01-15T10:53:45,478.90
33,33,purchase,2024-01-15T10:54:30,712.34
34,34,signup,2024-01-15T10:55:15,234.56
35,35,logout,2024-01-15T10:56:00,567.89
36,36,click,2024-01-15T10:56:45,890.12
37,37,view,2024-01-15T10:57:30,123.45
38,38,purchase,2024-01-15T10:58:15,456.78
39,39,signup,2024-01-15T10:59:00,789.01
40,40,logout,2024-01-15T10:59:45,012.34
41,41,click,2024-01-15T11:00:30,345.67
42,42,view,2024-01-15T11:01:15,678.90
43,43,purchase,2024-01-15T11:02:00,901.23
44,44,signup,2024-01-15T11:02:45,234.56
45,45,logout,2024-01-15T11:03:30,567.89
46,46,click,2024-01-15T11:04:15,890.12
47,47,view,2024-01-15T11:05:00,123.45
48,48,purchase,2024-01-15T11:05:45,456.78
49,49,signup,2024-01-15T11:06:30,789.01
50,50,logout,2024-01-15T11:07:15,012.34
51,51,click,2024-01-15T11:08:00,345.67
52,52,view,2024-01-15T11:08:45,678.90
53,53,purchase,2024-01-15T11:09:30,901.23
54,54,signup,2024-01-15T11:10:15,234.56
55,55,logout,2024-01-15T11:11:00,567.89
56,56,click,2024-01-15T11:11:45,890.12
57,57,view,2024-01-15T11:12:30,123.45
58,58,purchase,2024-01-15T11:13:15,456.78
59,59,signup,2024-01-15T11:14:00,789.01
60,60,logout,2024-01-15T11:14:45,012.34
61,61,click,2024-01-15T11:15:30,345.67
62,62,view,2024-01-15T11:16:15,678.90
63,63,purchase,2024-01-15T11:17:00,901.23
64,64,signup,2024-01-15T11:17:45,234.56
65,65,logout,2024-01-15T11:18:30,567.89
66,66,click,2024-01-15T11:19:15,890.12
67,67,view,2024-01-15T11:20:00,123.45
68,68,purchase,2024-01-15T11:20:45,456.78
69,69,signup,2024-01-15T11:21:30,789.01
70,70,logout,2024-01-15T11:22:15,012.34
71,71,click,2024-01-15T11:23:00,345.67
72,72,view,2024-01-15T11:23:45,678.90
73,73,purchase,2024-01-15T11:24:30,901.23
74,74,signup,2024-01-15T11:25:15,234.56
75,75,logout,2024-01-15T11:26:00,567.89
76,76,click,2024-01-15T11:26:45,890.12
77,77,view,2024-01-15T11:27:30,123.45
78,78,purchase,2024-01-15T11:28:15,456.78
79,79,signup,2024-01-15T11:29:00,789.01
80,80,logout,2024-01-15T11:29:45,012.34
81,81,click,2024-01-15T11:30:30,345.67
82,82,view,2024-01-15T11:31:15,678.90
83,83,purchase,2024-01-15T11:32:00,901.23
84,84,signup,2024-01-15T11:32:45,234.56
85,85,logout,2024-01-15T11:33:30,567.89
86,86,click,2024-01-15T11:34:15,890.12
87,87,view,2024-01-15T11:35:00,123.45
88,88,purchase,2024-01-15T11:35:45,456.78
89,89,signup,2024-01-15T11:36:30,789.01
90,90,logout,2024-01-15T11:37:15,012.34
91,91,click,2024-01-15T11:38:00,345.67
92,92,view,2024-01-15T11:38:45,678.90
93,93,purchase,2024-01-15T11:39:30,901.23
94,94,signup,2024-01-15T11:40:15,234.56
95,95,logout,2024-01-15T11:41:00,567.89
96,96,click,2024-01-15T11:41:45,890.12
97,97,view,2024-01-15T11:42:30,123.45
98,98,purchase,2024-01-15T11:43:15,456.78
99,99,signup,2024-01-15T11:44:00,789.01
100,100,logout,2024-01-15T11:44:45,012.34
