ProductID,ProductName,Description,Category,Supplier,Cost,RetailPrice,StockQuantity,Warehouse,LastRestocked
P1001,Wireless Bluetooth Headphones Premium Edition,High-quality over-ear headphones with noise cancellation and 30-hour battery life,Electronics,TechSupply Inc,45.50,89.99,245,Warehouse A,2024-01-15
P1002,Ergonomic Office Chair Executive,Premium mesh back chair with lumbar support and adjustable armrests for comfort,Home,ComfortSeating LLC,125.00,249.99,87,Warehouse B,2024-02-10
P1003,Stainless Steel Water Bottle Insulated,Double-wall vacuum insulated bottle keeps drinks cold for 24 hours or hot for 12,Sports,HydroGear Co,12.50,29.99,456,Warehouse C,2024-03-05
P1004,Organic Cotton T-Shirt Classic Fit,Soft breathable 100% organic cotton tee in multiple colors available for everyday wear,Clothing,EcoThreads Ltd,8.00,24.99,678,Warehouse A,2024-01-20
P1005,Smart LED Desk Lamp Adjustable,Touch control dimmable lamp with USB charging port and multiple brightness levels,Electronics,BrightLight Industries,22.00,49.99,334,Warehouse D,2024-02-28
P1006,Yoga Mat Extra Thick Premium,Non-slip 6mm thick exercise mat with carrying strap perfect for all yoga styles,Sports,FitLife Products,15.00,39.99,512,Warehouse E,2024-03-12
P1007,Hardcover Mystery Novel Bestseller,Gripping psychological thriller with unexpected twists from award-winning author,Books,PageTurner Publishing,9.50,19.99,234,Warehouse B,2024-01-08
P1008,Stainless Steel Cookware Set 12-Piece,Professional grade pots and pans with heat-resistant handles and glass lids included,Home,ChefMaster Supply,180.00,399.99,45,Warehouse C,2024-02-15
P1009,Kids Building Blocks Set 500 Pieces,Colorful interlocking blocks for creative play compatible with major brands toys,Toys,PlayTime Manufacturing,25.00,59.99,289,Warehouse A,2024-03-01
P1010,Wireless Gaming Mouse RGB,High-precision optical sensor with programmable buttons and customizable lighting effects,Electronics,GameTech Solutions,35.00,79.99,198,Warehouse D,2024-01-25
P1011,Garden Pruning Shears Professional,Sharp stainless steel blades with ergonomic grip for precise cutting and trimming,Garden,GreenThumb Tools,18.00,34.99,412,Warehouse E,2024-02-20
P1012,Memory Foam Pillow Contoured,Orthopedic design provides optimal neck support and pressure relief for side sleepers,Home,SleepWell Products,28.00,64.99,167,Warehouse B,2024-03-08
P1013,Running Shoes Lightweight Breathable,Advanced cushioning system with mesh upper for marathon training and daily runs,Clothing,SportStep Footwear,55.00,129.99,223,Warehouse C,2024-01-30
P1014,Portable Bluetooth Speaker Waterproof,360-degree sound with 20-hour battery life perfect for outdoor adventures and parties,Electronics,SoundWave Audio,42.00,89.99,345,Warehouse A,2024-02-12
P1015,Science Fiction Novel Epic Trilogy,Expansive space opera spanning galaxies with complex characters and world-building,Books,Cosmos Press,12.00,27.99,456,Warehouse D,2024-03-15
P1016,Ceramic Plant Pot Set Decorative,Three-piece set with drainage holes and saucers in modern minimalist design styles,Garden,TerraCotta Designs,16.00,39.99,278,Warehouse E,2024-01-18
P1017,Electric Coffee Grinder Burr,Adjustable grind settings for espresso to French press with consistent particle size,Home,BrewMaster Appliances,65.00,149.99,134,Warehouse B,2024-02-25
P1018,Denim Jeans Slim Fit Stretch,Comfortable stretch denim with classic five-pocket styling in multiple washes available,Clothing,UrbanWear Fashion,32.00,79.99,567,Warehouse C,2024-03-10
P1019,Educational Puzzle Set Ages 3-6,Colorful wooden puzzles developing problem-solving skills and hand-eye coordination,Toys,BrainyKids Inc,14.00,29.99,423,Warehouse A,2024-01-22
P1020,Wireless Charging Pad Fast Charge,Qi-compatible 15W fast charging with LED indicator and non-slip surface design,Electronics,PowerUp Technology,20.00,44.99,389,Warehouse D,2024-02-18
P1021,Garden Hose Expandable 100ft,Lightweight flexible hose expands to triple length with 9-pattern spray nozzle included,Garden,AquaFlow Systems,28.00,59.99,234,Warehouse E,2024-03-06
P1022,Luxury Bath Towel Set Egyptian Cotton,Ultra-soft 800 GSM towels in set of six with superior absorbency and durability,Home,LinenLux Collections,48.00,99.99,156,Warehouse B,2024-01-12
P1023,Trail Running Backpack Hydration,Lightweight 15L pack with 2L water reservoir and multiple pockets for gear storage,Sports,TrailBlazer Gear,45.00,99.99,189,Warehouse C,2024-02-22
P1024,Mechanical Keyboard Gaming RGB,Tactile switches with customizable per-key lighting and programmable macro keys,Electronics,KeyTech Peripherals,78.00,159.99,212,Warehouse A,2024-03-14
P1025,Romance Novel Contemporary Bestseller,Heartwarming love story with strong characters and emotional depth from debut author,Books,LoveStory Publishing,8.50,16.99,534,Warehouse D,2024-01-28
P1026,Raised Garden Bed Kit Cedar,Natural rot-resistant cedar wood planter box easy assembly for vegetables and herbs,Garden,GardenPro Outdoor,85.00,179.99,67,Warehouse E,2024-02-16
P1027,Stainless Steel Mixing Bowl Set,Nested bowls in five sizes with non-slip bases and measurement markings inside,Home,KitchenEssentials Co,22.00,44.99,298,Warehouse B,2024-03-11
P1028,Winter Jacket Insulated Waterproof,Heavy-duty parka with down insulation and detachable hood for extreme cold weather,Clothing,MountainGear Outfitters,95.00,219.99,143,Warehouse C,2024-01-16
P1029,Remote Control Car High Speed,4WD off-road vehicle reaches 30mph with rechargeable battery and durable construction,Toys,SpeedRacer Toys,38.00,79.99,267,Warehouse A,2024-02-10
P1030,USB-C Hub Multiport Adapter,7-in-1 hub with HDMI 4K display USB 3.0 ports SD card reader and power delivery,Electronics,ConnectTech Solutions,32.00,69.99,421,Warehouse D,2024-03-07
P1031,Pruning Saw Folding Professional,Sharp curved blade folds safely into handle for cutting branches up to 4 inches,Garden,CutRight Tools,24.00,49.99,345,Warehouse E,2024-01-24
P1032,Bamboo Cutting Board Extra Large,Durable eco-friendly board with juice groove and built-in handles for easy lifting,Home,EcoKitchen Supplies,26.00,54.99,234,Warehouse B,2024-02-20
P1033,Tennis Racket Graphite Composite,Lightweight frame with large sweet spot perfect for intermediate to advanced players,Sports,CourtAce Equipment,68.00,149.99,178,Warehouse C,2024-03-13
P1034,Noise Cancelling Earbuds Wireless,Active noise cancellation with transparency mode and 8-hour battery life per charge,Electronics,AudioElite Brands,58.00,129.99,312,Warehouse A,2024-01-19
P1035,Historical Fiction Novel Award Winner,Meticulously researched epic set during World War II with unforgettable characters,Books,TimeLine Publishers,11.00,24.99,423,Warehouse D,2024-02-14
P1036,Garden Kneeler Seat Foldable,Converts from kneeling pad to garden seat with tool pouches and sturdy steel frame,Garden,ComfortGarden Products,32.00,64.99,189,Warehouse E,2024-03-09
P1037,Cast Iron Skillet Pre-Seasoned,12-inch pan with even heat distribution perfect for stovetop and oven cooking,Home,IronChef Cookware,35.00,69.99,267,Warehouse B,2024-01-26
P1038,Activewear Leggings High Waist,Moisture-wicking fabric with four-way stretch and hidden pocket for workout essentials,Clothing,ActiveLife Apparel,28.00,64.99,489,Warehouse C,2024-02-11
