TransactionID,CustomerID,Product,Quantity,Price,Date,Region,Category
T1001,C245,Laptop Computer Model XYZ Professional Edition,2,899.99,2023-03-15,North,Electronics
T1002,C156,Wireless Bluetooth Headphones Premium Quality,5,149.99,2023-03-16,South,Electronics
T1003,C389,Designer Leather Jacket Men's Large,1,459.99,2023-03-17,East,Clothing
T1004,C422,Ergonomic Office Chair Executive Series,3,329.99,2023-03-18,West,Home
T1005,C078,Smart Watch Fitness Tracker Gold Edition,4,299.99,2023-03-19,North,Electronics
T1006,C234,Cotton Dress Shirt Blue Striped Pattern,8,79.99,2023-03-20,South,Clothing
T1007,C467,Mountain Bike Professional 21-Speed Aluminum,1,699.99,2023-03-21,East,Sports
T1008,C145,Hardcover Science Fiction Novel Bestseller,12,24.99,2023-03-22,West,Books
T1009,C301,Stainless Steel Cookware Set 12-Piece,2,249.99,2023-03-23,North,Home
T1010,C489,Running Shoes Athletic Performance Men's,6,119.99,2023-03-24,South,Sports
T1011,C125,Smartphone Android Latest Model 256GB,3,799.99,2023-03-25,East,Electronics
T1012,C356,Women's Winter Coat Waterproof Insulated,4,189.99,2023-03-26,West,Clothing
T1013,C278,Coffee Table Modern Glass Top Design,1,349.99,2023-03-27,North,Home
T1014,C445,Tennis Racket Carbon Fiber Professional,2,229.99,2023-03-28,South,Sports
T1015,C167,Mystery Thriller Paperback Collection Set,15,19.99,2023-03-29,East,Books
T1016,C392,Tablet Computer Android 11-Inch Display,5,449.99,2023-03-30,West,Electronics
T1017,C089,Jeans Denim Blue Slim Fit Men's 32x34,10,69.99,2023-03-31,North,Clothing
T1018,C456,Queen Size Bed Frame Solid Wood Platform,1,549.99,2023-04-01,South,Home
T1019,C234,Yoga Mat Extra Thick Non-Slip Premium,8,39.99,2023-04-02,East,Sports
T1020,C378,Educational Children's Book Illustrated Hardback,20,14.99,2023-04-03,West,Books
T1021,C123,Desktop Computer Gaming RGB LED Tower,2,1299.99,2023-04-04,North,Electronics
T1022,C467,Sweater Wool Blend Crew Neck Pullover,7,89.99,2023-04-05,South,Clothing
T1023,C290,Dining Table Set Oak Wood Six Chairs,1,899.99,2023-04-06,East,Home
T1024,C412,Basketball Official Size Leather Composite,4,59.99,2023-04-07,West,Sports
T1025,C189,Biography Historical Figure Premium Edition,9,29.99,2023-04-08,North,Books
T1026,C345,Wireless Mouse Ergonomic Design Rechargeable,12,45.99,2023-04-09,South,Electronics
T1027,C478,Polo Shirt Cotton Pique Short Sleeve,15,49.99,2023-04-10,East,Clothing
T1028,C256,Floor Lamp Modern LED Adjustable Brightness,3,129.99,2023-04-11,West,Home
T1029,C401,Golf Club Set Complete Bag Included,1,799.99,2023-04-12,North,Sports
T1030,C167,Cookbook Gourmet Recipes International Cuisine,11,34.99,2023-04-13,South,Books
T1031,C334,Mechanical Keyboard Gaming RGB Backlit Switches,4,159.99,2023-04-14,East,Electronics
T1032,C489,Sneakers Casual Canvas Low-Top Unisex,9,64.99,2023-04-15,West,Clothing
T1033,C223,Bookshelf Tall Five-Tier Cherry Wood Finish,2,279.99,2023-04-16,North,Home
T1034,C456,Dumbbells Adjustable Weight Set Compact Design,3,189.99,2023-04-17,South,Sports
T1035,C178,Romance Novel Paperback Bestselling Author,18,12.99,2023-04-18,East,Books
T1036,C367,External Hard Drive Portable 2TB USB 3.0,6,109.99,2023-04-19,West,Electronics
T1037,C445,Blazer Formal Suit Jacket Navy Blue Wool,2,259.99,2023-04-20,North,Clothing
T1038,C289,Area Rug Persian Style Large Living Room,1,449.99,2023-04-21,South,Home
T1039,C412,Swimming Goggles Anti-Fog UV Protection,10,29.99,2023-04-22,East,Sports
T1040,C134,Reference Dictionary Comprehensive Unabridged Edition,5,49.99,2023-04-23,West,Books
T1041,C378,Printer All-in-One Wireless Color Inkjet,3,249.99,2023-04-24,North,Electronics
T1042,C490,Skirt Pleated Midi Length Floral Print,8,54.99,2023-04-25,South,Clothing
T1043,C267,Nightstand Bedside Table Drawer Storage Modern,4,119.99,2023-04-26,East,Home
T1044,C423,Baseball Glove Leather Professional Adult Size,2,139.99,2023-04-27,West,Sports
T1045,C156,Self-Help Motivational Book Hardcover Inspirational,13,26.99,2023-04-28,North,Books
T1046,C345,Webcam HD 1080p Streaming Microphone Built-in,7,89.99,2023-04-29,South,Electronics
T1047,C478,Shorts Athletic Performance Moisture-Wicking Fabric,11,39.99,2023-04-30,East,Clothing
T1048,C234,Ottoman Storage Bench Upholstered Tufted Design,2,169.99,2023-05-01,West,Home
T1049,C401,Soccer Ball Official Size Synthetic Leather,6,44.99,2023-05-02,North,Sports
T1050,C189,Fantasy Epic Trilogy Boxed Set Collector's Edition,4,79.99,2023-05-03,South,Books
T1051,C312,Monitor LED 27-Inch 4K Ultra HD Display,2,499.99,2023-05-04,East,Electronics
T1052,C467,Cardigan Button-Up Soft Knit Long Sleeve,9,74.99,2023-05-05,West,Clothing
T1053,C290,Sofa Sectional L-Shaped Contemporary Fabric Gray,1,1099.99,2023-05-06,North,Home
T1054,C445,Treadmill Folding Electric Incline Home Fitness,1,799.99,2023-05-07,South,Sports
T1055,C178,Travel Guide Europe Cities Photography Illustrated,8,32.99,2023-05-08,East,Books
T1056,C389,Speaker Bluetooth Portable Waterproof Bass Enhanced,10,79.99,2023-05-09,West,Electronics
T1057,C423,Hoodie Pullover Fleece Lined Kangaroo Pocket,12,59.99,2023-05-10,North,Clothing
T1058,C256,Curtains Blackout Thermal Insulated Grommet Panel,5,89.99,2023-05-11,South,Home
T1059,C412,Camping Tent Four-Person Waterproof Easy Setup,2,199.99,2023-05-12,East,Sports
T1060,C167,Art History Coffee Table Book Oversized Hardcover,3,69.99,2023-05-13,West,Books
T1061,C334,Router Wireless Dual-Band Gigabit Gaming Optimized,4,149.99,2023-05-14,North,Electronics
T1062,C489,Dress Evening Cocktail Elegant Black Sleeveless,5,139.99,2023-05-15,South,Clothing
T1063,C223,Mirror Wall-Mounted Large Rectangular Frame Gold,2,199.99,2023-05-16,East,Home
T1064,C456,Fishing Rod Spinning Combo Reel Carbon Fiber,3,159.99,2023-05-17,West,Sports
T1065,C134,Poetry Anthology Classic Collection Leather-Bound,7,44.99,2023-05-18,North,Books
T1066,C378,Earbuds True Wireless Charging Case Noise Canceling,8,129.99,2023-05-19,South,Electronics
T1067,C490,Pants Chino Khaki Straight Leg Casual Men's,14,64.99,2023-05-20,East,Clothing
T1068,C267,Desk Computer Workstation Drawers Hutch Executive,1,649.99,2023-05-21,West,Home
T1069,C401,Backpack Hiking Large Capacity Waterproof Daypack,4,89.99,2023-05-22,North,Sports
T1070,C156,Graphic Novel Superhero Series Complete Volume,6,39.99,2023-05-23,South,Books
T1071,C345,Power Bank Portable Charger 20000mAh Fast Charging,9,49.99,2023-05-24,East,Electronics
T1072,C478,Scarf Winter Wool Blend Plaid Pattern Oversized,16,34.99,2023-05-25,West,Clothing
T1073,C234,Lamp Table Ceramic Base Fabric Shade Vintage Style,5,79.99,2023-05-26,North,Home
T1074,C423,Elliptical Machine Cross Trainer Cardio Home Gym,1,899.99,2023-05-27,South,Sports
T1075,C189,Business Management Strategy Book Hardcover MBA,4,54.99,2023-05-28,East,Books
T1076,C312,Camera Digital Mirrorless 24MP Video Recording,2,899.99,2023-05-29,West,Electronics
T1077,C467,Tie Silk Necktie Striped Pattern Business Formal,20,29.99,2023-05-30,North,Clothing
T1078,C290,Vase Decorative Ceramic Tall Floor Standing Modern,3,119.99,2023-05-31,South,Home
T1079,C445,Kayak Inflatable Two-Person Touring Paddle Included,1,499.99,2023-06-01,East,Sports
T1080,C178,Science Textbook College Level Physics Illustrated,2,119.99,2023-06-02,West,Books
T1081,C389,Laptop Stand Aluminum Adjustable Ergonomic Riser,11,39.99,2023-06-03,North,Electronics
T1082,C412,Belt Leather Reversible Brown Black Dress Casual,15,44.99,2023-06-04,South,Clothing
T1083,C256,Picture Frame Set Gallery Wall Collage Wood Black,6,64.99,2023-06-05,East,Home
T1084,C401,Volleyball Official Indoor Outdoor Composite Leather,5,39.99,2023-06-06,West,Sports
T1085,C167,Magazine Subscription Annual Fashion Photography,10,99.99,2023-06-07,North,Books
T1086,C334,USB Hub Multi-Port Adapter High-Speed Data Transfer,13,24.99,2023-06-08,South,Electronics
T1087,C489,Jacket Windbreaker Lightweight Hooded Water-Resistant,7,94.99,2023-06-09,East,Clothing
