transaction_id,transaction_amount,account_age_days,num_transactions_24h,avg_transaction_amount,distance_from_home,merchant_category,is_international,hour_of_day,day_of_week,device_type,is_fraud
1,156.75,892,2,145.30,12.5,retail,0,14,2,mobile,0
2,89.20,1456,1,98.75,5.2,grocery,0,10,1,desktop,0
3,3200.00,28,12,180.50,2450.00,travel,1,3,5,mobile,1
4,245.80,2341,3,220.40,8.9,restaurant,0,18,4,tablet,0
5,1850.00,62,9,150.00,1680.25,online,1,1,6,desktop,1
6,67.45,1823,1,85.60,3.1,gas,0,8,0,mobile,0
7,420.90,945,2,380.25,15.7,entertainment,0,19,5,desktop,0
8,2950.50,35,11,125.75,2100.50,online,1,2,2,mobile,1
9,134.20,2187,2,128.90,6.8,grocery,0,11,3,tablet,0
10,98.50,1674,1,102.30,4.5,retail,0,15,1,mobile,0
11,3450.00,41,10,165.40,1950.00,travel,1,4,0,desktop,1
12,178.90,1298,3,172.50,11.2,restaurant,0,12,6,mobile,0
13,56.30,2456,1,63.80,2.8,gas,0,7,2,tablet,0
14,890.75,687,4,825.60,125.50,online,0,16,4,desktop,0
15,2675.00,53,8,140.25,1875.75,online,1,3,1,mobile,1
16,145.60,1945,2,138.90,9.3,grocery,0,10,5,desktop,0
17,76.80,2298,1,81.50,5.6,retail,0,14,3,mobile,0
18,3100.00,39,13,172.80,2250.00,travel,1,2,6,tablet,1
19,234.50,1567,3,218.75,14.8,entertainment,0,20,0,desktop,0
20,1920.00,48,7,135.90,1720.50,online,1,1,4,mobile,1
21,112.30,2034,2,108.60,7.2,restaurant,0,13,2,tablet,0
22,89.90,1789,1,94.20,4.1,gas,0,9,1,mobile,0
23,456.75,1123,2,442.30,18.9,retail,0,15,5,desktop,0
24,2800.00,57,9,158.40,1980.25,online,1,3,3,mobile,1
25,167.40,2145,2,162.90,10.5,grocery,0,11,6,tablet,0
26,94.20,1678,1,89.75,6.3,gas,0,8,0,desktop,0
27,3350.00,44,11,148.60,2180.00,travel,1,4,2,mobile,1
28,198.60,1456,3,185.20,13.7,restaurant,0,19,4,tablet,0
29,78.50,2367,1,82.90,3.9,retail,0,12,1,mobile,0
30,1575.00,61,8,142.75,1650.50,online,1,2,5,desktop,1
31,245.80,1834,2,238.40,16.2,entertainment,0,17,3,tablet,0
32,67.90,2189,1,71.30,5.8,grocery,0,10,6,mobile,0
33,2950.00,36,10,154.80,2050.75,travel,1,3,0,desktop,1
34,134.70,1923,2,128.50,8.4,restaurant,0,14,2,mobile,0
35,456.90,987,3,438.60,22.5,online,0,16,4,tablet,0
36,89.30,2456,1,93.80,4.7,gas,0,7,1,desktop,0
37,3200.00,49,12,167.20,1890.00,online,1,1,5,mobile,1
38,178.50,1678,2,172.90,11.8,retail,0,13,3,tablet,0
39,98.70,2234,1,102.40,6.1,grocery,0,9,6,mobile,0
40,2450.00,55,9,145.30,1780.50,travel,1,2,0,desktop,1
41,234.90,1567,3,226.75,15.3,entertainment,0,18,2,tablet,0
42,76.40,2098,1,81.20,3.6,gas,0,8,4,mobile,0
43,567.80,1234,2,548.90,28.7,online,0,15,1,desktop,0
44,3450.00,42,11,159.40,2150.25,travel,1,4,5,mobile,1
45,145.30,1845,2,139.60,9.8,grocery,0,11,3,tablet,0
46,87.60,2367,1,91.50,5.2,retail,0,12,6,desktop,0
47,1850.00,63,8,136.80,1680.75,online,1,3,0,mobile,1
48,198.40,1689,3,189.70,12.4,restaurant,0,19,2,tablet,0
49,94.80,2145,1,98.30,6.7,gas,0,9,4,mobile,0
50,2750.00,51,10,152.60,1920.00,online,1,2,1,desktop,1
51,167.90,1923,2,162.40,10.9,entertainment,0,17,5,tablet,0
52,78.20,2289,1,83.70,4.3,grocery,0,10,3,mobile,0
53,3100.00,38,13,163.90,2230.50,travel,1,3,6,desktop,1
54,234.60,1456,3,218.90,14.2,restaurant,0,18,0,tablet,0
