plot_id,seedling_count,soil_moisture,light_exposure,treatment
1,0,25.5,4.2,control
2,8,55.3,8.7,fertilized
3,0,15.2,3.1,control
4,12,68.4,9.5,irrigated
5,0,22.1,5.3,control
6,15,62.8,10.2,fertilized
7,0,18.9,3.8,control
8,0,28.3,4.9,irrigated
9,11,58.7,9.1,fertilized
10,0,19.5,3.5,control
11,6,48.2,7.8,irrigated
12,0,24.7,4.6,control
13,14,65.1,10.8,fertilized
14,0,17.3,2.9,control
15,9,52.4,8.3,irrigated
16,0,21.8,4.1,control
17,0,26.9,5.2,fertilized
18,18,71.2,11.3,irrigated
19,0,20.4,3.7,control
20,7,49.8,7.5,fertilized
21,0,23.6,4.8,control
22,0,30.1,5.6,irrigated
23,13,60.5,9.7,fertilized
24,0,16.8,3.2,control
25,10,54.9,8.9,irrigated
26,0,25.3,4.4,control
27,0,19.7,3.6,fertilized
28,16,67.3,10.5,irrigated
29,0,22.5,4.3,control
30,5,46.7,7.2,fertilized
31,0,27.4,5.1,control
32,12,59.6,9.3,irrigated
33,0,18.1,3.4,control
34,0,24.2,4.7,fertilized
35,20,73.8,11.6,irrigated
36,0,21.3,4.0,control
37,8,51.5,8.1,fertilized
38,0,26.7,5.0,control
39,0,29.8,5.5,irrigated
40,14,63.2,10.0,fertilized
41,0,17.9,3.3,control
42,11,56.1,8.8,irrigated
43,0,23.1,4.5,control
44,0,20.6,3.9,fertilized
45,17,69.4,10.9,irrigated
46,0,25.8,4.9,control
47,6,47.3,7.4,fertilized
48,0,19.2,3.5,control
49,9,53.7,8.5,irrigated
50,0,28.6,5.4,control
51,0,22.9,4.2,fertilized
52,15,64.5,10.3,irrigated
53,0,18.5,3.3,control
54,7,50.2,7.9,fertilized
55,0,24.9,4.6,control
56,0,31.4,5.7,irrigated
57,13,61.8,9.8,fertilized
58,0,16.3,3.0,control
59,10,55.6,8.7,irrigated
60,0,26.1,4.8,control
61,0,21.0,3.8,fertilized
62,19,72.1,11.4,irrigated
63,0,23.8,4.4,control
64,5,48.9,7.6,fertilized
65,0,27.9,5.3,control
66,12,58.3,9.2,irrigated
67,0,19.8,3.6,control
68,0,25.5,4.7,fertilized
69,21,75.2,11.8,irrigated
70,0,22.3,4.1,control
71,8,52.8,8.4,fertilized
72,0,28.1,5.2,control
73,0,30.7,5.8,irrigated
74,14,62.4,9.9,fertilized
75,0,17.6,3.2,control
76,11,57.2,9.0,irrigated
77,0,24.4,4.5,control
78,0,21.5,4.0,fertilized
79,16,68.7,10.7,irrigated
80,0,26.5,5.0,control
81,6,49.1,7.7,fertilized
82,0,20.1,3.7,control
83,9,54.3,8.6,irrigated
84,0,29.2,5.5,control
85,0,23.4,4.3,fertilized
86,18,70.6,11.1,irrigated
87,0,18.7,3.4,control
88,7,51.0,8.0,fertilized
89,0,25.1,4.6,control
90,0,32.3,5.9,irrigated
91,13,63.9,10.1,fertilized
92,0,16.9,3.1,control
93,10,56.8,8.9,irrigated
94,0,27.2,5.1,control
95,0,22.7,4.2,fertilized
96,17,69.9,11.0,irrigated
97,0,24.6,4.7,control
98,5,47.8,7.5,fertilized
99,0,28.9,5.4,control
100,15,66.2,10.4,irrigated
