trial_id,effect_size,variance,age_group,dosage_level
TRIAL_001,0.85,0.12,young,high
TRIAL_002,0.32,0.08,elderly,low
TRIAL_003,1.15,0.18,young,high
TRIAL_004,0.45,0.09,elderly,low
TRIAL_005,1.32,0.15,young,high
TRIAL_006,0.28,0.07,elderly,low
TRIAL_007,0.92,0.14,young,high
TRIAL_008,0.55,0.11,elderly,high
TRIAL_009,1.05,0.16,young,high
TRIAL_010,0.38,0.06,elderly,low
TRIAL_011,0.78,0.13,young,low
TRIAL_012,0.42,0.10,elderly,low
TRIAL_013,1.25,0.19,young,high
TRIAL_014,0.65,0.12,elderly,high
TRIAL_015,0.88,0.14,young,high
TRIAL_016,0.35,0.08,elderly,low
TRIAL_017,0.72,0.11,young,low
TRIAL_018,0.48,0.09,elderly,high
TRIAL_019,1.42,0.20,young,high
TRIAL_020,0.52,0.10,elderly,high
TRIAL_021,0.95,0.15,young,high
TRIAL_022,0.25,0.07,elderly,low
TRIAL_023,0.68,0.12,young,low
TRIAL_024,0.58,0.11,elderly,high
TRIAL_025,1.18,0.17,young,high
