product_id,quantity,price
P001,5,99.99
P002,3,149.50
P003,12,45.75
P004,8,275.00
P005,15,32.99
P006,4,189.99
P007,20,78.50
P008,6,425.00
P009,11,67.25
P010,9,156.75
P011,7,299.99
P012,18,55.00
P013,2,389.50
P014,14,88.25
P015,10,125.00
P016,5,445.00
P017,16,92.75
P018,3,215.50
P019,13,175.25
P020,8,310.00
P021,19,48.99
P022,4,267.75
P023,11,135.50
P024,6,198.00
P025,15,82.50
P026,9,345.25
P027,12,115.75
P028,7,225.00
P029,17,95.50
P030,5,380.00
P031,14,145.25
P032,10,255.50
P033,8,175.00
P034,20,65.75
P035,3,425.50
P036,16,108.25
P037,6,289.99
P038,13,195.00
P039,11,142.50
P040,4,335.75
P041,18,72.99
P042,9,245.50
P043,7,165.25
P044,15,215.00
P045,12,128.75
P046,5,395.00
P047,19,85.50
P048,8,275.25
P049,14,155.75
P050,10,225.50
P051,6,315.00
P052,17,95.25
P053,11,185.50
P054,13,235.75
P055,4,405.00
P056,16,118.50
P057,9,265.25
P058,7,345.00
P059,15,142.75
P060,12,195.50
P061,8,285.00
P062,20,58.99
P063,5,375.50
P064,14,125.25
P065,10,245.00
P066,3,455.75
P067,18,88.50
P068,6,325.25
P069,11,175.50
P070,13,215.75
P071,9,295.00
P072,16,105.50
P073,7,385.25
P074,15,135.75
P075,12,255.00
P076,4,415.50
P077,19,78.25
P078,8,245.75
P079,14,165.50
P080,10,305.25
