churn,age,tenure,monthly_charges,total_charges,num_products,account_balance,gender,contract_type,payment_method,internet_service,customer_service_calls
1,42,12,65.5,786.0,2,120.5,Male,Month-to-Month,Electronic check,Fiber optic,3
0,35,48,45.2,2169.6,1,50.0,Female,Two year,Bank transfer,DSL,1
1,28,6,89.3,535.8,3,200.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,55,60,52.0,3120.0,2,75.5,Female,Two year,Credit card,DSL,0
1,33,8,78.5,628.0,2,150.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,45,36,42.0,1512.0,1,30.0,Female,One year,Bank transfer,DSL,1
1,50,15,95.0,1425.0,3,180.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,62,70,38.5,2695.0,1,20.0,Male,Two year,Credit card,No,0
1,25,3,72.0,216.0,2,250.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,48,55,48.0,2640.0,2,45.0,Male,Two year,Bank transfer,DSL,1
1,39,10,85.0,850.0,3,175.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,58,65,40.0,2600.0,1,35.0,Female,Two year,Credit card,DSL,0
1,31,7,90.5,633.5,3,220.0,Male,Month-to-Month,Electronic check,Fiber optic,7
0,44,50,46.5,2325.0,1,55.0,Female,One year,Bank transfer,DSL,2
1,27,5,82.0,410.0,2,195.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,52,58,43.5,2523.0,2,40.0,Male,Two year,Credit card,DSL,1
1,36,14,75.5,1057.0,2,165.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,60,68,37.0,2516.0,1,25.0,Female,Two year,Bank transfer,No,0
1,29,9,88.0,792.0,3,210.0,Male,Month-to-Month,Electronic check,Fiber optic,6
0,47,45,50.0,2250.0,2,60.0,Female,One year,Credit card,DSL,1
1,34,11,79.5,874.5,2,155.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,56,62,41.5,2573.0,1,32.0,Male,Two year,Bank transfer,DSL,0
1,26,4,86.5,346.0,3,230.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,49,52,47.0,2444.0,1,48.0,Male,Two year,Credit card,DSL,1
1,38,13,77.0,1001.0,2,145.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,54,64,39.5,2528.0,2,38.0,Female,Two year,Bank transfer,DSL,0
1,30,8,91.0,728.0,3,205.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,43,42,51.5,2163.0,2,65.0,Female,One year,Credit card,DSL,2
1,32,10,83.5,835.0,2,170.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,59,66,36.5,2409.0,1,28.0,Male,Two year,Bank transfer,No,0
1,24,6,94.0,564.0,3,240.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,46,48,49.0,2352.0,1,52.0,Female,Two year,Credit card,DSL,1
1,37,12,80.0,960.0,2,160.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,61,72,35.0,2520.0,1,22.0,Female,Two year,Bank transfer,No,0
1,28,7,87.5,612.5,3,215.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,51,56,44.0,2464.0,2,42.0,Male,Two year,Credit card,DSL,1
1,33,9,76.5,688.5,2,150.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,57,63,40.5,2551.5,1,33.0,Female,Two year,Bank transfer,DSL,0
1,25,5,92.5,462.5,3,225.0,Male,Month-to-Month,Electronic check,Fiber optic,7
0,42,44,53.0,2332.0,2,58.0,Male,One year,Credit card,DSL,2
1,35,11,81.0,891.0,2,168.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,53,60,42.5,2550.0,1,36.0,Female,Two year,Bank transfer,DSL,1
1,29,8,84.5,676.0,3,190.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,48,50,48.5,2425.0,2,50.0,Female,Two year,Credit card,DSL,1
1,31,10,78.0,780.0,2,155.0,Male,Month-to-Month,Electronic check,Fiber optic,4
0,63,68,34.5,2346.0,1,24.0,Male,Two year,Bank transfer,No,0
1,27,6,93.0,558.0,3,235.0,Female,Month-to-Month,Electronic check,Fiber optic,6
0,45,46,52.5,2415.0,2,62.0,Female,One year,Credit card,DSL,1
1,36,13,74.5,968.5,2,142.0,Male,Month-to-Month,Electronic check,Fiber optic,3
0,58,65,38.0,2470.0,1,30.0,Female,Two year,Bank transfer,DSL,0
1,26,7,89.0,623.0,3,208.0,Male,Month-to-Month,Electronic check,Fiber optic,5
0,50,54,45.5,2457.0,1,46.0,Male,Two year,Credit card,DSL,1
1,34,12,82.5,990.0,2,172.0,Female,Month-to-Month,Electronic check,Fiber optic,4
0,62,70,36.0,2520.0,1,26.0,Female,Two year,Bank transfer,No,0
1,23,4,96.0,384.0,3,245.0,Male,Month-to-Month,Electronic check,Fiber optic,7
0,44,47,50.5,2373.5,2,54.0,Male,One year,Credit card,DSL,2
1,38,14,77.5,1085.0,2,148.0,Female,Month-to-Month,Electronic check,Fiber optic,3
0,56,61,41.0,2501.0,1,34.0,Male,Two year,Bank transfer,DSL,0
1,30,9,85.5,769.5,3,198.0,Female,Month-to-Month,Electronic check,Fiber optic,5
0,47,51,47.5,2422.5,2,49.0,Female,Two year,Credit card,DSL,1
1,32,11,79.0,869.0,2,162.0,Male,Month-to-Month,Electronic check,Fiber optic,4
