transaction_id,amount,merchant_category,time_of_day,user_age,account_age_days
TXN0001,2547.32,7,14,45,892
TXN0002,156.89,2,9,28,234
TXN0003,4231.56,5,18,67,2341
TXN0004,89.23,1,7,22,45
TXN0005,1678.90,8,22,51,1567
TXN0006,345.67,3,11,39,678
TXN0007,7890.12,9,19,73,3245
TXN0008,523.45,4,15,33,456
TXN0009,98.76,0,8,25,123
TXN0010,3456.78,6,20,58,2134
TXN0011,234.56,2,10,31,345
TXN0012,6789.01,8,23,69,3001
TXN0013,876.54,5,16,44,987
TXN0014,145.32,1,6,27,198
TXN0015,4567.89,7,21,62,2456
TXN0016,678.90,3,13,36,567
TXN0017,2345.67,9,17,55,1890
TXN0018,123.45,0,9,24,89
TXN0019,5678.90,6,19,71,2987
TXN0020,456.78,4,12,41,789
TXN0021,8901.23,8,22,66,3123
TXN0022,345.67,2,8,29,267
TXN0023,1234.56,5,14,48,1234
TXN0024,789.01,1,10,34,456
TXN0025,3456.78,7,18,59,2098
TXN0026,234.56,3,7,26,178
TXN0027,6789.01,9,20,74,3456
TXN0028,567.89,4,15,38,678
TXN0029,2345.67,6,11,53,1678
TXN0030,123.45,0,9,23,67
TXN0031,4567.89,8,21,64,2567
TXN0032,890.12,2,13,32,389
TXN0033,7890.12,5,19,70,3098
TXN0034,345.67,1,8,28,234
TXN0035,1234.56,7,16,46,1123
TXN0036,678.90,3,10,37,567
TXN0037,5678.90,9,22,68,2789
TXN0038,234.56,4,14,30,298
TXN0039,3456.78,6,18,56,1987
TXN0040,123.45,0,7,21,45
TXN0041,6789.01,8,20,72,3234
TXN0042,456.78,2,12,35,478
TXN0043,2345.67,5,15,49,1345
TXN0044,890.12,1,9,26,189
TXN0045,4567.89,7,21,63,2345
TXN0046,345.67,3,11,40,689
TXN0047,8901.23,9,23,75,3567
TXN0048,567.89,4,16,33,456
TXN0049,1234.56,6,13,54,1789
TXN0050,234.56,0,8,24,123
TXN0051,7890.12,8,19,69,2987
TXN0052,456.78,2,10,31,345
TXN0053,3456.78,5,17,47,1098
TXN0054,123.45,1,7,25,167
TXN0055,5678.90,7,20,65,2678
TXN0056,890.12,3,14,38,578
TXN0057,2345.67,9,18,57,2123
TXN0058,345.67,4,11,29,289
TXN0059,6789.01,6,22,73,3123
TXN0060,234.56,0,9,22,78
TXN0061,4567.89,8,21,61,2456
TXN0062,678.90,2,12,34,456
TXN0063,1234.56,5,16,50,1456
TXN0064,890.12,1,8,27,234
TXN0065,7890.12,7,19,68,2890
TXN0066,345.67,3,10,39,678
TXN0067,5678.90,9,23,76,3456
TXN0068,456.78,4,15,32,389
TXN0069,3456.78,6,18,55,1876
TXN0070,123.45,0,7,23,98
TXN0071,6789.01,8,20,70,3001
TXN0072,234.56,2,11,36,489
TXN0073,2345.67,5,14,48,1267
TXN0074,890.12,1,9,28,245
TXN0075,4567.89,7,22,64,2567
TXN0076,567.89,3,13,41,789
TXN0077,8901.23,9,19,72,3234
TXN0078,345.67,4,10,30,298
TXN0079,1234.56,6,16,52,1678
TXN0080,678.90,0,8,24,134
TXN0081,7890.12,8,21,67,2789
TXN0082,456.78,2,12,33,378
TXN0083,3456.78,5,17,49,1345
TXN0084,123.45,1,7,26,178
TXN0085,5678.90,7,20,66,2678
TXN0086,890.12,3,14,38,589
TXN0087,2345.67,9,18,58,2098
TXN0088,345.67,4,11,29,267
