transaction_id,region,date,product,amount
TXN001,US,2024-01-15,Laptop,1299.99
TXN002,US,2024-01-15,Mouse,29.99
TXN003,US,2024-01-15,Keyboard,89.99
TXN004,US,2024-01-15,Monitor,449.99
TXN005,US,2024-01-15,Headphones,159.99
TXN006,US,2024-01-15,Laptop,1499.99
TXN007,US,2024-01-15,USB Cable,19.99
TXN008,US,2024-01-15,Webcam,79.99
TXN009,US,2024-01-15,Keyboard,129.99
TXN010,US,2024-01-15,Monitor,599.99
TXN011,US,2024-01-15,Mouse,49.99
TXN012,US,2024-01-15,Laptop,1899.99
TXN013,US,2024-01-15,Desk Chair,299.99
TXN014,US,2024-01-15,Headphones,199.99
TXN015,US,2024-01-15,External SSD,149.99
TXN016,US,2024-01-15,Monitor,799.99
TXN017,US,2024-01-15,Keyboard,69.99
TXN018,US,2024-01-15,Mouse Pad,24.99
TXN019,US,2024-01-15,USB Hub,39.99
TXN020,US,2024-01-15,Laptop,1699.99
