customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_backup,difficulty_score,churn
1,68,45.2,3073.6,Two year,Credit card,DSL,Yes,Yes,0.05,0
2,3,89.5,268.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.12,1
3,58,52.3,3033.4,Two year,Bank transfer,DSL,Yes,Yes,0.08,0
4,2,95.8,191.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.15,1
5,45,38.7,1741.5,One year,Credit card,DSL,Yes,No,0.18,0
6,1,102.3,102.3,Month-to-Month,Electronic check,Fiber optic,No,No,0.09,1
7,72,42.1,3031.2,Two year,Bank transfer,DSL,Yes,Yes,0.06,0
8,24,78.4,1881.6,Month-to-Month,Mailed check,Fiber optic,No,Yes,0.45,1
9,65,47.8,3107.0,Two year,Credit card,DSL,Yes,Yes,0.11,0
10,4,88.9,355.6,Month-to-Month,Electronic check,Fiber optic,No,No,0.14,1
11,55,49.2,2706.0,Two year,Bank transfer,DSL,Yes,Yes,0.07,0
12,8,92.1,736.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.22,1
13,48,44.5,2136.0,One year,Credit card,DSL,Yes,Yes,0.19,0
14,62,51.2,3174.4,Two year,Bank transfer,DSL,Yes,Yes,0.09,0
15,5,96.7,483.5,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
16,71,43.8,3109.8,Two year,Credit card,DSL,Yes,Yes,0.08,0
17,12,85.3,1023.6,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.38,1
18,36,55.6,2001.6,One year,Bank transfer,DSL,Yes,No,0.25,0
19,2,98.2,196.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.11,1
20,69,46.7,3222.3,Two year,Credit card,DSL,Yes,Yes,0.07,0
21,28,72.5,2030.0,Month-to-Month,Mailed check,Fiber optic,Yes,No,0.52,0
22,6,91.4,548.4,Month-to-Month,Electronic check,Fiber optic,No,No,0.16,1
23,52,48.9,2542.8,Two year,Bank transfer,DSL,Yes,Yes,0.1,0
24,15,79.8,1197.0,Month-to-Month,Electronic check,Fiber optic,No,Yes,0.42,1
25,44,41.2,1812.8,One year,Credit card,DSL,Yes,Yes,0.21,0
26,3,94.6,283.8,Month-to-Month,Electronic check,Fiber optic,No,No,0.13,1
27,66,50.1,3306.6,Two year,Bank transfer,DSL,Yes,Yes,0.08,0
