Department,Category,Subcategory,Q1_Budget,Q1_Actual,Q2_Budget,Q2_Actual,Q3_Budget,Q3_Actual,Q4_Budget,Q4_Actual,Notes
Engineering,Personnel,Salaries,450000,448200,450000,451300,450000,449800,450000,452100,Regular payroll expenses
Engineering,Personnel,Benefits,135000,134500,135000,136200,135000,134900,135000,135800,Health insurance and 401k
Engineering,Personnel,Contractor Fees,85000,87200,85000,83400,85000,86100,85000,84900,Temporary contractors
Engineering,Equipment,Computers,125000,122800,125000,126500,125000,124200,125000,127300,Laptops and workstations
Engineering,Equipment,Servers,75000,73500,75000,76200,75000,74800,75000,75600,Cloud infrastructure
Engineering,Equipment,Software Licenses,95000,96300,95000,94100,95000,95800,95000,96200,Development tools
Engineering,Training,Conferences,35000,33200,35000,36800,35000,34500,35000,35900,Industry conferences
Engineering,Training,Online Courses,15000,14800,15000,15300,15000,15100,15000,14900,Udemy and Coursera
Engineering,Training,Certifications,25000,26100,25000,24500,25000,25400,25000,25800,AWS and Azure certs
Engineering,Operations,Office Supplies,8000,7850,8000,8200,8000,7950,8000,8100,General supplies
Engineering,Operations,Travel,45000,43200,45000,46800,45000,44500,45000,45900,Business travel
Engineering,Operations,Telecommunications,12000,11900,12000,12100,12000,12050,12000,11950,Phone and internet
Sales,Personnel,Salaries,380000,379200,380000,381500,380000,380800,380000,379500,Sales team salaries
Sales,Personnel,Commissions,220000,235600,220000,208900,220000,242100,220000,228400,Variable compensation
Sales,Personnel,Benefits,114000,113500,114000,114600,114000,114200,114000,113800,Standard benefits package
Sales,Marketing,Advertising,165000,168200,165000,163400,165000,166800,165000,167200,Digital advertising
Sales,Marketing,Events,85000,82500,85000,87300,85000,84200,85000,86100,Trade shows
Sales,Marketing,Promotional Materials,45000,44200,45000,45800,45000,45400,45000,44900,Brochures and swag
Sales,Equipment,CRM Software,55000,54800,55000,55300,55000,55100,55000,54900,Salesforce licenses
Sales,Equipment,Presentation Tools,18000,17650,18000,18400,18000,17900,18000,18200,Demo equipment
Sales,Operations,Travel,125000,128300,125000,122600,125000,126800,125000,124200,Client visits
