salary,years_experience,publications
45234.67,2,3
47892.34,3,5
46543.21,1,7
52341.89,5,8
48765.43,2,9
54321.76,6,7
49876.54,3,8
51234.87,4,6
56789.23,7,10
53456.78,5,9
58901.45,8,11
55678.90,6,12
60234.56,9,13
57890.12,7,14
62345.78,10,15
59012.34,8,16
64567.89,11,17
61234.56,9,18
66789.01,12,19
63456.78,10,20
68901.23,13,21
65678.90,11,22
70234.56,14,23
67890.12,12,24
72345.67,15,25
69012.34,13,26
74567.89,16,27
71234.56,14,28
76789.12,17,29
73456.78,15,30
78901.23,18,31
75678.89,16,32
80234.45,19,33
77890.01,17,34
82345.67,20,35
79012.23,18,36
84567.78,21,37
81234.34,19,38
86789.90,22,39
83456.45,20,40
88901.01,23,41
85678.56,21,42
90234.12,24,43
87890.67,22,44
92345.23,25,45
89012.78,23,46
94567.34,26,47
91234.89,24,48
96789.45,27,49
93456.90,25,50
45789.23,2,4
46234.56,1,8
47678.90,3,6
48123.45,2,7
49567.89,4,5
50012.34,3,9
51456.78,5,7
52901.23,4,10
54345.67,6,8
55790.12,5,11
57234.56,7,9
58679.01,6,12
60123.45,8,10
61567.90,7,13
63012.34,9,11
64456.78,8,14
65901.23,10,12
67345.67,9,15
68790.12,11,13
70234.56,10,16
71679.01,12,14
73123.45,11,17
74567.89,13,15
76012.34,12,18
77456.78,14,16
78901.23,13,19
80345.67,15,17
81790.12,14,20
83234.56,16,18
84679.01,15,21
86123.45,17,19
87567.89,16,22
89012.34,18,20
90456.78,17,23
91901.23,19,21
93345.67,18,24
94790.12,20,22
96234.56,19,25
97679.01,21,23
99123.45,20,26
46890.34,2,5
48234.78,3,7
49678.12,4,6
51123.56,5,8
52567.90,6,9
54012.34,7,10
55456.78,8,11
56901.23,9,12
58345.67,10,13
59790.12,11,14
61234.56,12,15
62679.01,13,16
64123.45,14,17
65567.89,15,18
67012.34,16,19
68456.78,17,20
69901.23,18,21
71345.67,19,22
72790.12,20,23
74234.56,21,24
75679.01,22,25
77123.45,23,26
78567.89,24,27
80012.34,25,28
81456.78,26,29
82901.23,27,30
84345.67,28,31
85790.12,29,32
87234.56,30,33
45567.89,1,9
46012.34,2,6
47456.78,3,8
48901.23,4,7
50345.67,5,9
51790.12,6,10
53234.56,7,11
54679.01,8,12
56123.45,9,13
57567.89,10,14
59012.34,11,15
60456.78,12,16
61901.23,13,17
63345.67,14,18
64790.12,15,19
66234.56,16,20
