Id,Name,Industry,AnnualRevenue,NumberOfEmployees,BillingCountry,CreatedDate,LastModifiedDate
001xx000003DGb2AAG,Acme Corporation,Technology,2500000,450,USA,2021-03-15,2023-08-22
001xx000003DGb3AAG,Global TEST Industries,Manufacturing,1500000,320,Canada,2020-11-08,2023-07-14
001xx000003DGb4AAG,Summit Financial Services,Finance,8500000,1200,UK,2019-05-22,2023-09-01
001xx000003DGb5AAG,Healthcare Solutions Inc,Healthcare,N/A,250,,2022-01-10,2023-06-18
001xx000003DGb6AAG,TechVision Systems,Technology,3200000,580,Germany,2021-07-19,2023-08-30
001xx000003DGb7AAG,SAMPLE Manufacturing Co,Manufacturing,,890,France,2020-09-14,2023-05-25
001xx000003DGb8AAG,Premier Logistics Group,Transportation,4500000,670,Australia,2021-02-28,2023-09-10
001xx000003DGb9AAG,Innovation Labs,Technology,null,125,USA,2022-06-05,2023-08-15
001xx000003DGbBAAG,Continental Motors,Manufacturing,5200000,890,Germany,2020-04-17,2023-09-05
001xx000003DGbCAAG,Testing Corp International,Technology,2100000,340,UK,2021-09-23,2023-06-30
001xx000003DGbEAAG,Pacific Trade Company,Retail,1850000,280,Australia,2022-03-14,2023-09-18
001xx000003DGbFAAG,Enterprise Solutions Ltd,Technology,11500000,2100,USA,2019-01-25,2023-08-25
001xx000003DGbGAAG,Sample Data Systems,Technology,,410,Canada,2021-11-30,2023-07-07
001xx000003DGbHAAG,Northern Energy Corp,Energy,9200000,1680,UK,2020-02-19,2023-09-12
001xx000003DGbJAAG,Global Shipping Lines,Transportation,7800000,1340,Germany,2019-10-30,2023-08-08
001xx000003DGbKAAG,Metro Bank Services,Finance,12000000,2800,France,2018-07-12,2023-09-15
001xx000003DGbLAAG,Tech Innovations Group,Technology,N/A,190,,2022-08-21,2023-07-31
001xx000003DGbMAAG,Western Agriculture Co,Agriculture,2900000,450,Australia,2020-12-03,2023-08-19
001xx000003DGbNAAG,Central Manufacturing,Manufacturing,5600000,920,USA,2021-04-16,2023-09-08
001xx000003DGbOAAG,TEST Account Services,Finance,1200000,180,Canada,2022-02-09,2023-06-14
001xx000003DGbPAAG,Atlas Consulting Group,Consulting,3400000,560,UK,2020-06-27,2023-08-27
001xx000003DGbQAAG,Digital Media Partners,Media,2700000,380,,2021-10-13,2023-07-19
001xx000003DGbRAAG,Advanced Materials Inc,Manufacturing,6100000,1150,Germany,2019-08-05,2023-09-03
001xx000003DGbSAAG,Coastal Properties,Real Estate,8900000,740,Australia,2020-03-22,2023-08-11
001xx000003DGbTAAG,United Retail Group,Retail,null,620,USA,2021-12-07,2023-09-20
001xx000003DGbUAAG,Peak Performance Systems,Technology,4800000,850,Canada,2020-10-18,2023-07-25
001xx000003DGbVAAG,Regional Healthcare Network,Healthcare,10500000,2300,UK,2019-04-09,2023-08-16
001xx000003DGbWAAG,Industrial Solutions Corp,Manufacturing,,1020,France,2021-08-25,2023-06-29
001xx000003DGbXAAG,Strategic Advisors LLC,Consulting,3100000,420,,2022-05-11,2023-09-13
001xx000003DGbYAAG,NextGen Technologies,Technology,5900000,980,Germany,2020-01-28,2023-08-04
001xx000003DGbZAAG,Prime Insurance Group,Insurance,7200000,1560,Australia,2019-11-14,2023-09-09
001xx000003DGc0AAG,National Distribution Co,Transportation,4100000,710,USA,2021-06-19,2023-07-21
001xx000003DGc1AAG,Quantum Research Labs,Technology,6500000,1100,Canada,2020-07-31,2023-08-29
001xx000003DGc2AAG,Excel Manufacturing,Manufacturing,3700000,640,UK,2021-01-22,2023-09-17
001xx000003DGc3AAG,Heritage Financial,Finance,8100000,1780,Germany,2019-09-26,2023-07-11
001xx000003DGc4AAG,Vertex Systems Inc,Technology,5400000,920,France,2020-11-05,2023-08-23
001xx000003DGc5AAG,Gateway Logistics,Transportation,3900000,590,Australia,2021-03-29,2023-09-06
