Id,Name,Industry,AnnualRevenue,NumberOfEmployees,BillingCountry,CreatedDate,LastModifiedDate
001Hu00001XkPQaEAN,Acme Corporation,Technology,2500000,450,USA,2022-03-15,2024-01-10
001Hu00001XkPQbEAN,Global Logistics Ltd,Transportation,1800000,320,Mexico,2021-11-22,2023-12-05
001Hu00001XkPQcEAN,Sample Data Inc,Finance,500000,85,,2023-01-08,2023-01-08
001Hu00001XkPQdEAN,Tech Solutions Group,Technology,N/A,150,Brazil,2022-07-19,2024-02-14
001Hu00001XkPQeEAN,Healthcare Systems,Healthcare,3200000,580,USA,2020-05-12,2023-11-20
001Hu00001XkPQfEAN,Manufacturing Plus,Manufacturing,null,420,Japan,2021-09-30,2024-01-25
001Hu00001XkPQgEAN,Retail Innovations,Retail,950000,210,Singapore,2022-12-03,2024-03-01
001Hu00001XkPQhEAN,TEST Company Alpha,Consulting,,95,,2023-06-18,2023-06-18
001Hu00001XkPQiEAN,Energy Solutions Ltd,Energy,5400000,890,USA,2019-08-25,2023-10-12
001Hu00001XkPQjEAN,Financial Services Co,Banking,7800000,1250,Mexico,2020-02-14,2024-01-08
001Hu00001XkPQkEAN,Education Partners,Education,420000,180,India,2022-04-07,2023-09-22
001Hu00001XkPQlEAN,Construction Global,Construction,2100000,390,,2021-06-11,2024-02-05
001Hu00001XkPQmEAN,Pharmaceutical Industries,Pharmaceuticals,15000000,2100,USA,2018-12-20,2024-03-10
001Hu00001XkPQnEAN,Telecommunications Inc,Telecommunications,6500000,1580,Brazil,2020-10-05,2023-12-18
001Hu00001XkPQoEAN,Automotive Dynamics,Automotive,4200000,720,Japan,2021-03-28,2024-01-30
001Hu00001XkPQpEAN,Insurance Partners,Insurance,3800000,650,USA,2022-01-15,2023-11-14
001Hu00001XkPQqEAN,sample testing corp,Technology,N/A,45,,2023-07-22,2023-07-22
001Hu00001XkPQrEAN,Media Entertainment Group,Media,1600000,280,Singapore,2021-08-09,2024-02-20
001Hu00001XkPQsEAN,Agriculture Solutions,Agriculture,880000,195,India,2022-09-14,2023-12-28
001Hu00001XkPQtEAN,Real Estate Holdings,Real Estate,5200000,340,Mexico,2020-07-03,2024-01-16
001Hu00001XkPQuEAN,Chemical Industries,Chemicals,3400000,610,USA,2019-11-18,2023-10-25
001Hu00001XkPQvEAN,Hospitality Group,Hospitality,,425,Brazil,2022-02-26,2024-03-05
001Hu00001XkPQwEAN,Aviation Systems,Aviation,8900000,1420,Japan,2020-04-12,2023-11-30
001Hu00001XkPQxEAN,Legal Services LLC,Legal,750000,120,USA,2021-12-08,2024-02-12
001Hu00001XkPQyEAN,TEST Environment Inc,Software,250000,55,Singapore,2023-05-30,2023-05-30
001Hu00001XkPQzEAN,Biotechnology Corp,Biotechnology,4800000,780,USA,2020-09-21,2024-01-22
001Hu00001XkPR0EAN,Distribution Network,Distribution,1950000,410,Mexico,2021-07-16,2023-12-10
001Hu00001XkPR1EAN,Security Solutions,Security,1100000,245,,2022-10-28,2024-02-28
001Hu00001XkPR2EAN,Environmental Services,Environmental,680000,155,India,2022-05-19,2023-10-08
001Hu00001XkPR3EAN,Sports Management,Sports,1450000,190,Brazil,2021-04-23,2024-01-19
001Hu00001XkPR4EAN,Food Processing Ltd,Food & Beverage,2700000,520,Japan,2020-06-30,2023-11-27
001Hu00001XkPR5EAN,Textile Manufacturing,Textiles,1320000,380,India,2021-10-14,2024-03-03
001Hu00001XkPR6EAN,Engineering Consulting,Engineering,2950000,490,USA,2020-11-09,2024-01-12
001Hu00001XkPR7EAN,Software Innovations,Software,3600000,620,Singapore,2022-08-17,2024-02-22
001Hu00001XkPR8EAN,Mining Operations,Mining,6200000,950,Brazil,2019-03-27,2023-12-15
