Id,Name,Industry,AnnualRevenue,NumberOfEmployees,BillingCountry,CreatedDate,LastModifiedDate
001D000000Xab12IAB,Global Retail Solutions,Retail,2500000,450,USA,2022-03-15,2023-11-20
001D000000Xab13IAC,TEST ACCOUNT 123,Energy,1200000,80,,2022-04-10,2023-10-05
001D000000Xab14IAD,Sample Business Corp,Retail,N/A,120,UK,2022-05-22,2023-09-18
001D000000Xab15IAE,Apex Energy Systems,Energy,4500000,890,France,2022-06-08,2023-12-01
001D000000Xab16IAF,Metropolitan Transport,Transportation,,320,Spain,2022-07-14,2023-08-25
001D000000Xab17IAG,Continental Education Group,Education,1800000,250,,2022-08-19,2023-11-10
001D000000Xab18IAH,Prime Logistics Ltd,Transportation,3200000,670,Italy,2022-09-03,2023-10-30
001D000000Xab19IAI,Northern Retail Chain,Retail,null,540,Netherlands,2022-10-11,2023-12-15
001D000000Xab20IAJ,Elite Finance Partners,Finance,5600000,1200,USA,2022-11-25,2023-11-28
001D000000Xab21IAK,TEST Sample Industries,Manufacturing,800000,95,UK,2023-01-08,2023-09-22
001D000000Xab22IAL,European Tech Solutions,Technology,7200000,1850,,2023-02-14,2023-12-05
001D000000Xab23IAM,Central Healthcare,Healthcare,Unknown,780,France,2023-03-20,2023-10-17
001D000000Xab24IAN,Western Transportation Co,Transportation,2900000,520,Spain,2023-04-05,2023-11-30
001D000000Xab25IAO,Academic Excellence Institute,Education,,190,,2023-05-12,2023-09-08
001D000000Xab26IAP,Global Energy Ventures,Energy,9500000,2100,USA,2023-06-18,2023-12-20
001D000000Xab27IAQ,Premium Retail Group,Retail,4100000,920,Italy,2023-07-22,2023-10-25
001D000000Xab28IAR,SAMPLE TEST COMPANY,Technology,N/A,150,Netherlands,2023-08-30,2023-11-15
001D000000Xab29IAS,International Logistics,Transportation,3800000,710,,2023-09-14,2023-12-10
001D000000Xab30IAT,Regional Education Network,Education,1500000,340,UK,2023-10-20,2023-11-22
001D000000Xab31IAU,Advanced Manufacturing Corp,Manufacturing,6400000,1520,France,2023-11-05,2023-12-18
001D000000Xyz78QRS,Pacific Trading Company,Retail,3600000,680,USA,2022-02-10,2023-10-12
001D000000Xyz79QRT,Northern Energy Holdings,Energy,null,950,Spain,2022-03-25,2023-11-08
001D000000Xyz80QRU,TEST Business Solutions,Technology,2200000,420,,2022-04-30,2023-09-15
001D000000Xab32IAV,Strategic Consulting Group,Consulting,5100000,890,Italy,2022-05-18,2023-12-03
001D000000Xab33IAW,Modern Retail Enterprises,Retail,N/A,760,Netherlands,2022-06-22,2023-10-28
001D000000Xab34IAX,Alpine Transportation,Transportation,2700000,490,USA,2022-07-30,2023-11-19
001D000000Xab35IAY,National Education Trust,Education,1900000,410,,2022-08-15,2023-09-30
001D000000Xab36IAZ,Industrial Energy Partners,Energy,8200000,1940,UK,2022-09-20,2023-12-08
001D000000Xab37IBA,Global Healthcare Network,Healthcare,,1260,France,2022-10-28,2023-10-20
001D000000Xab38IBB,Superior Manufacturing,Manufacturing,4800000,1080,Spain,2022-11-12,2023-11-25
001D000000Xab39IBC,TEST SAMPLE ACCOUNT,Retail,Unknown,200,,2022-12-05,2023-09-12
001D000000Xab40IBD,Urban Development Corp,Construction,6900000,1430,Italy,2023-01-19,2023-12-14
001D000000Xab41IBE,Eastern Trading Alliance,Retail,3400000,640,Netherlands,2023-02-24,2023-10-22
001D000000Xab42IBF,Coastal Energy Resources,Energy,7800000,1670,USA,2023-03-30,2023-11-27
001D000000Xab43IBG,Premier Transportation,Transportation,N/A,580,,2023-04-15,2023-09-25
001D000000Xab44IBH,Progressive Education Systems,Education,2100000,470,UK,2023-05-21,2023-12-12
001D000000Xab45IBI,Integrated Technology Group,Technology,5900000,1310,France,2023-06-27,2023-10-30
001D000000Abc88TUV,Dynamic Retail Solutions,Retail,4400000,830,Spain,2023-07-10,2023-11-18
001D000000Xab46IBJ,Nationwide Logistics,Transportation,3100000,590,Italy,2023-08-16,2023-12-06
001D000000Xab47IBK,Regional Healthcare Partners,Healthcare,null,920,,2023-09-22,2023-10-18
001D000000Xab48IBL,Advanced Energy Systems,Energy,8600000,1890,Netherlands,2023-10-28,2023-12-01
001D000000Xab49IBM,Quality Manufacturing Inc,Manufacturing,5300000,1140,USA,2023-11-14,2023-12-09
001D000000Def92WXY,Continental Retail Group,Retail,3900000,720,UK,2022-01-20,2023-11-05
001D000000Xab50IBN,Excellence Education Foundation,Education,1700000,380,France,2022-02-28,2023-10-15
001D000000Xab51IBO,Summit Transportation Services,Transportation,2800000,510,Spain,2022-04-12,2023-12-02
001D000000Xab52IBP,Future Tech Innovations,Technology,6700000,1480,Italy,2022-05-25,2023-11-23
