pid,application_name,state,state_duration_seconds,query_start
1245,web_app,idle,4523,2024-01-15T08:12:33Z
1289,api_service,active,12,2024-01-15T14:22:45Z
1334,background_worker,idle in transaction,456,2024-01-15T13:55:21Z
1456,web_app,idle,8932,2024-01-15T06:34:12Z
1501,reporting_tool,idle,12456,2024-01-15T04:15:22Z
1578,admin_panel,active,5,2024-01-15T14:23:52Z
1623,web_app,idle in transaction,723,2024-01-15T13:11:54Z
1689,api_service,idle,156,2024-01-15T14:21:01Z
1734,web_app,active,8,2024-01-15T14:23:49Z
1801,background_worker,idle,5234,2024-01-15T09:56:43Z
1845,web_app,idle in transaction,891,2024-01-15T13:08:46Z
1923,reporting_tool,idle,15678,2024-01-15T02:02:39Z
1967,api_service,active,23,2024-01-15T14:23:34Z
2012,web_app,idle,7845,2024-01-15T07:33:12Z
2089,admin_panel,idle in transaction,567,2024-01-15T13:44:30Z
2134,web_app,active,3,2024-01-15T14:23:54Z
2178,api_service,idle,4156,2024-01-15T09:07:01Z
2245,background_worker,idle,9876,2024-01-15T06:04:21Z
2301,web_app,idle in transaction,1234,2024-01-15T11:43:23Z
2367,reporting_tool,idle,18234,2024-01-15T01:12:43Z
2423,api_service,active,15,2024-01-15T14:23:42Z
2489,web_app,idle,6543,2024-01-15T08:34:54Z
2534,admin_panel,active,7,2024-01-15T14:23:50Z
2601,web_app,idle in transaction,423,2024-01-15T14:16:54Z
2645,api_service,idle,234,2024-01-15T14:19:43Z
2712,background_worker,idle,11234,2024-01-15T05:12:23Z
2789,web_app,active,19,2024-01-15T14:23:38Z
2834,reporting_tool,idle,14567,2024-01-15T02:45:10Z
2901,api_service,idle in transaction,678,2024-01-15T13:12:39Z
2956,web_app,idle,5678,2024-01-15T08:59:19Z
3012,admin_panel,active,4,2024-01-15T14:23:53Z
3089,web_app,idle in transaction,945,2024-01-15T12:08:12Z
3134,api_service,idle,3456,2024-01-15T10:26:21Z
3201,background_worker,active,28,2024-01-15T14:23:29Z
3267,web_app,idle,8234,2024-01-15T07:12:03Z
3312,reporting_tool,idle in transaction,512,2024-01-15T13:35:25Z
3389,api_service,active,11,2024-01-15T14:23:46Z
3445,web_app,idle,9345,2024-01-15T06:23:12Z
3501,admin_panel,idle,187,2024-01-15T14:20:50Z
3578,web_app,idle in transaction,834,2024-01-15T12:09:43Z
3623,api_service,idle,4567,2024-01-15T09:34:10Z
3689,background_worker,idle,13456,2024-01-15T03:42:21Z
3745,web_app,active,6,2024-01-15T14:23:51Z
3801,reporting_tool,idle,16789,2024-01-15T01:43:28Z
3867,api_service,idle in transaction,621,2024-01-15T13:13:36Z
3912,web_app,idle,7234,2024-01-15T07:56:23Z
3989,admin_panel,active,9,2024-01-15T14:23:48Z
4034,web_app,idle in transaction,1123,2024-01-15T11:05:14Z
4112,api_service,idle,2345,2024-01-15T10:45:12Z
4178,background_worker,idle,10234,2024-01-15T05:34:23Z
4223,web_app,active,14,2024-01-15T14:23:43Z
4289,reporting_tool,idle,19876,2024-01-15T00:12:21Z
4345,api_service,idle in transaction,445,2024-01-15T14:16:32Z
4401,web_app,idle,6234,2024-01-15T08:12:23Z
4478,admin_panel,idle,298,2024-01-15T14:18:59Z
4523,web_app,active,17,2024-01-15T14:23:40Z
4589,api_service,idle,5123,2024-01-15T09:12:34Z
4645,background_worker,idle in transaction,756,2024-01-15T12:11:21Z
4701,web_app,idle,11567,2024-01-15T04:56:10Z
4778,reporting_tool,idle,17234,2024-01-15T01:32:23Z
4834,api_service,active,21,2024-01-15T14:23:36Z
4901,web_app,idle in transaction,912,2024-01-15T11:08:25Z
4956,admin_panel,active,2,2024-01-15T14:23:55Z
5023,web_app,idle,8456,2024-01-15T07:43:21Z
5089,api_service,idle,3234,2024-01-15T10:34:23Z
5134,background_worker,idle,12789,2024-01-15T04:12:08Z
5201,web_app,idle in transaction,534,2024-01-15T13:14:23Z
5267,reporting_tool,active,25,2024-01-15T14:23:32Z
5312,api_service,idle,4234,2024-01-15T09:56:23Z
5389,web_app,idle,9567,2024-01-15T06:34:10Z
5445,admin_panel,idle in transaction,623,2024-01-15T13:33:14Z
5501,web_app,active,10,2024-01-15T14:23:47Z
5578,api_service,idle,6789,2024-01-15T08:34:08Z
5623,background_worker,idle,14234,2024-01-15T03:12:23Z
5689,web_app,idle in transaction,1045,2024-01-15T10:06:32Z
5745,reporting_tool,idle,20123,2024-01-15T00:34:14Z
5801,api_service,active,13,2024-01-15T14:23:44Z
5867,web_app,idle,7567,2024-01-15T07:23:10Z
5912,admin_panel,idle,412,2024-01-15T14:17:05Z
5989,web_app,idle in transaction,867,2024-01-15T11:09:50Z
6034,api_service,idle,5234,2024-01-15T09:23:23Z
6112,background_worker,active,31,2024-01-15T14:23:26Z
6178,web_app,idle,10456,2024-01-15T05:12:21Z
6223,reporting_tool,idle in transaction,712,2024-01-15T12:12:05Z
6289,api_service,idle,3567,2024-01-15T10:12:10Z
6345,web_app,active,16,2024-01-15T14:23:41Z
6401,admin_panel,idle,523,2024-01-15T14:15:14Z
6478,web_app,idle,8567,2024-01-15T07:12:10Z
6523,api_service,idle in transaction,589,2024-01-15T13:14:08Z
6589,background_worker,idle,15678,2024-01-15T02:12:19Z
6645,web_app,active,5,2024-01-15T14:23:52Z
6701,reporting_tool,idle,21456,2024-01-15T00:12:01Z
6778,api_service,idle,4456,2024-01-15T09:12:21Z
6834,web_app,idle in transaction,1156,2024-01-15T10:04:21Z
6901,admin_panel,active,8,2024-01-15T14:23:49Z
6956,web_app,idle,9234,2024-01-15T06:45:23Z
7023,api_service,idle,2567,2024-01-15T10:23:10Z
7089,background_worker,idle in transaction,645,2024-01-15T12:13:12Z
7134,web_app,idle,11234,2024-01-15T05:12:23Z
7201,reporting_tool,idle,18567,2024-01-15T01:12:10Z
7267,api_service,active,20,2024-01-15T14:23:37Z
7312,web_app,idle in transaction,934,2024-01-15T11:08:03Z
7389,admin_panel,idle,634,2024-01-15T14:13:23Z
7445,web_app,active,12,2024-01-15T14:23:45Z
7501,api_service,idle,5567,2024-01-15T08:12:10Z
7578,background_worker,idle,16234,2024-01-15T02:12:03Z
7623,web_app,idle in transaction,823,2024-01-15T11:10:14Z
7689,reporting_tool,idle,22345,2024-01-15T00:12:32Z
7745,api_service,active,18,2024-01-15T14:23:39Z
7801,web_app,idle,10234,2024-01-15T05:23:23Z
7867,admin_panel,idle in transaction,512,2024-01-15T13:15:25Z
7912,web_app,idle,8123,2024-01-15T07:23:34Z
7989,api_service,idle,3789,2024-01-15T10:12:28Z
8034,background_worker,active,27,2024-01-15T14:23:30Z
8112,web_app,idle in transaction,1267,2024-01-15T10:02:10Z
8178,reporting_tool,idle,19234,2024-01-15T00:45:23Z
8223,api_service,idle,4678,2024-01-15T09:12:19Z
8289,web_app,active,7,2024-01-15T14:23:50Z
8345,admin_panel,idle,745,2024-01-15T14:11:32Z
8401,web_app,idle,9678,2024-01-15T06:12:19Z
8478,api_service,idle in transaction,678,2024-01-15T13:12:19Z
8523,background_worker,idle,17456,2024-01-15T01:34:21Z
8589,web_app,active,15,2024-01-15T14:23:42Z
8645,reporting_tool,idle,23567,2024-01-15T00:12:10Z
8701,api_service,idle,5789,2024-01-15T08:23:08Z
8778,web_app,idle in transaction,945,2024-01-15T11:07:32Z
8834,admin_panel,active,11,2024-01-15T14:23:46Z
8901,web_app,idle,11678,2024-01-15T04:56:19Z
8956,api_service,idle,4234,2024-01-15T09:23:23Z
9023,background_worker,idle in transaction,734,2024-01-15T12:11:43Z
9089,web_app,idle,12234,2024-01-15T04:23:23Z
9134,reporting_tool,idle,20567,2024-01-15T00:23:10Z
9201,api_service,active,24,2024-01-15T14:23:33Z
9267,web_app,idle in transaction,1089,2024-01-15T10:05:28Z
9312,admin_panel,idle,856,2024-01-15T14:09:21Z
9389,web_app,active,9,2024-01-15T14:23:48Z
9445,api_service,idle,6234,2024-01-15T08:12:23Z
9501,background_worker,idle,18234,2024-01-15T01:12:23Z
9578,web_app,idle in transaction,867,2024-01-15T11:09:10Z
9623,reporting_tool,idle,24678,2024-01-15T00:12:59Z
9689,api_service,active,22,2024-01-15T14:23:35Z
9745,web_app,idle,13456,2024-01-15T03:34:21Z
9801,admin_panel,idle in transaction,623,2024-01-15T13:13:14Z
9867,web_app,idle,10567,2024-01-15T05:12:10Z
9912,api_service,idle,5123,2024-01-15T09:12:34Z
9989,background_worker,active,29,2024-01-15T14:23:28Z
1567,web_app,idle,14234,2024-01-15T03:12:23Z
1712,reporting_tool,idle in transaction,778,2024-01-15T12:10:59Z
1823,api_service,idle,7234,2024-01-15T07:23:23Z
1978,web_app,active,13,2024-01-15T14:23:44Z
2156,admin_panel,idle,967,2024-01-15T14:07:50Z
2278,web_app,idle in transaction,1178,2024-01-15T10:04:19Z
2423,api_service,idle,6456,2024-01-15T08:12:01Z
2567,background_worker,idle,19456,2024-01-15T00:45:21Z
2689,web_app,active,6,2024-01-15T14:23:51Z
2834,reporting_tool,idle,25789,2024-01-15T00:12:28Z
2978,api_service,idle in transaction,589,2024-01-15T13:14:08Z
