Id	User	Host	db	Command	Time	State	Info
1	root	localhost	NULL	Sleep	7842	NULL	NULL
2	app_user	10.0.1.23:45678	production	Sleep	3621	NULL	NULL
3	app_user	10.0.1.23:45679	production	Query	45	Sending data	SELECT * FROM orders WHERE order_date > '2024-01-01' AND status = 'pending'
4	app_user	10.0.1.24:45680	production	Sleep	156	NULL	NULL
5	reporting	10.0.1.30:50123	analytics	Query	89	Copying to tmp table	SELECT DATE(created_at), COUNT(*) FROM events GROUP BY DATE(created_at)
6	web_app	192.168.1.100:34567	webapp	Sleep	45	NULL	NULL
7	web_app	192.168.1.100:34568	webapp	Query	12	executing	UPDATE users SET last_login = NOW() WHERE user_id = 12345
8	app_user	10.0.1.23:45681	production	Sleep	4521	NULL	NULL
9	app_user	10.0.1.25:45682	production	Sleep	234	NULL	NULL
10	web_app	192.168.1.101:34569	webapp	Query	3	Sending data	SELECT * FROM products WHERE category_id = 5 ORDER BY price DESC
11	app_user	10.0.1.23:45683	production	Sleep	89	NULL	NULL
12	reporting	10.0.1.30:50124	analytics	Sleep	5632	NULL	NULL
13	web_app	192.168.1.100:34570	webapp	Sleep	12	NULL	NULL
14	app_user	10.0.1.26:45684	production	Query	67	Sorting result	SELECT customer_id, SUM(total_amount) FROM orders GROUP BY customer_id ORDER BY SUM(total_amount) DESC
15	app_user	10.0.1.23:45685	production	Sleep	178	NULL	NULL
16	web_app	192.168.1.102:34571	webapp	Query	8	executing	INSERT INTO logs (user_id, action, timestamp) VALUES (456, 'login', NOW())
17	app_user	10.0.1.27:45686	production	Sleep	3845	NULL	NULL
18	reporting	10.0.1.30:50125	analytics	Query	112	Sending data	SELECT product_id, COUNT(*) as sales FROM order_items WHERE created_at > DATE_SUB(NOW(), INTERVAL 30 DAY) GROUP BY product_id
19	app_user	10.0.1.23:45687	production	Sleep	267	NULL	NULL
20	web_app	192.168.1.100:34572	webapp	Sleep	34	NULL	NULL
21	app_user	10.0.1.28:45688	production	Query	15	executing	UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 789
22	app_user	10.0.1.23:45689	production	Sleep	4123	NULL	NULL
23	web_app	192.168.1.103:34573	webapp	Sleep	456	NULL	NULL
24	reporting	10.0.1.30:50126	analytics	Sleep	6234	NULL	NULL
25	app_user	10.0.1.29:45690	production	Query	56	Copying to tmp table	SELECT o.*, c.name FROM orders o JOIN customers c ON o.customer_id = c.id WHERE o.status = 'processing'
26	app_user	10.0.1.23:45691	production	Sleep	145	NULL	NULL
27	web_app	192.168.1.100:34574	webapp	Query	5	Sending data	SELECT * FROM sessions WHERE session_id = 'abc123def456' AND expires_at > NOW()
28	app_user	10.0.1.30:45692	production	Sleep	3987	NULL	NULL
29	app_user	10.0.1.23:45693	production	Sleep	89	NULL	NULL
30	web_app	192.168.1.104:34575	webapp	Query	23	executing	DELETE FROM cart_items WHERE cart_id = 567 AND product_id = 890
31	reporting	10.0.1.30:50127	analytics	Query	98	Sorting result	SELECT user_id, COUNT(*) as login_count FROM user_logins WHERE login_date > DATE_SUB(NOW(), INTERVAL 7 DAY) GROUP BY user_id ORDER BY login_count DESC LIMIT 100
32	app_user	10.0.1.31:45694	production	Sleep	234	NULL	NULL
33	web_app	192.168.1.100:34576	webapp	Sleep	67	NULL	NULL
34	app_user	10.0.1.23:45695	production	Query	34	Sending data	SELECT * FROM products WHERE status = 'active' AND stock > 0 ORDER BY created_at DESC LIMIT 50
35	app_user	10.0.1.32:45696	production	Sleep	5123	NULL	NULL
36	web_app	192.168.1.105:34577	webapp	Sleep	12	NULL	NULL
37	reporting	10.0.1.30:50128	analytics	Sleep	4567	NULL	NULL
38	app_user	10.0.1.23:45697	production	Query	78	executing	INSERT INTO orders (customer_id, total_amount, status, created_at) VALUES (123, 99.99, 'pending', NOW())
39	app_user	10.0.1.33:45698	production	Sleep	456	NULL	NULL
40	web_app	192.168.1.100:34578	webapp	Query	19	Sending data	SELECT u.*, p.* FROM users u LEFT JOIN profiles p ON u.id = p.user_id WHERE u.email = 'user@example.com'
41	app_user	10.0.1.23:45699	production	Sleep	178	NULL	NULL
42	app_user	10.0.1.34:45700	production	Sleep	6234	NULL	NULL
43	web_app	192.168.1.106:34579	webapp	Query	7	executing	UPDATE cart SET updated_at = NOW() WHERE user_id = 789
44	reporting	10.0.1.30:50129	analytics	Query	103	Copying to tmp table	SELECT DATE(order_date) as date, SUM(total_amount) as revenue FROM orders WHERE order_date > DATE_SUB(NOW(), INTERVAL 90 DAY) GROUP BY DATE(order_date)
45	app_user	10.0.1.23:45701	production	Sleep	89	NULL	NULL
46	web_app	192.168.1.100:34580	webapp	Sleep	234	NULL	NULL
47	app_user	10.0.1.35:45702	production	Query	41	Sorting result	SELECT * FROM order_items WHERE order_id IN (SELECT id FROM orders WHERE customer_id = 456) ORDER BY created_at DESC
48	app_user	10.0.1.23:45703	production	Sleep	3721	NULL	NULL
49	web_app	192.168.1.107:34581	webapp	Sleep	56	NULL	NULL
50	app_user	10.0.1.36:45704	production	Sleep	4987	NULL	NULL
51	reporting	10.0.1.30:50130	analytics	Query	87	Sending data	SELECT category, AVG(price) as avg_price FROM products GROUP BY category HAVING AVG(price) > 50
52	app_user	10.0.1.23:45705	production	Query	29	executing	UPDATE customers SET updated_at = NOW(), last_purchase_date = '2024-01-15' WHERE id = 234
53	web_app	192.168.1.100:34582	webapp	Sleep	145	NULL	NULL
54	app_user	10.0.1.37:45706	production	Sleep	267	NULL	NULL
55	web_app	192.168.1.108:34583	webapp	Query	11	Sending data	SELECT COUNT(*) FROM notifications WHERE user_id = 567 AND is_read = 0
56	app_user	10.0.1.23:45707	production	Sleep	5834	NULL	NULL
57	reporting	10.0.1.30:50131	analytics	Sleep	7123	NULL	NULL
