id,wage,education,experience,children_under6,married,employed
1,17.24,14,8,0,1,1
2,19.83,16,10,0,1,1
3,,13,4,2,0,0
4,16.89,15,7,1,1,1
5,18.45,15,12,0,1,1
6,,11,3,3,0,0
7,20.34,17,9,0,1,1
8,,12,5,2,0,0
9,17.92,14,11,1,1,1
10,19.56,16,8,0,1,1
11,,10,2,3,0,0
12,18.73,15,10,0,1,1
13,,13,6,2,0,0
14,21.45,18,12,0,1,1
15,16.34,13,7,1,1,1
16,,11,4,3,0,0
17,19.87,16,11,0,1,1
18,17.56,14,9,0,1,1
19,,12,3,2,0,0
20,20.12,17,10,0,1,1
21,15.89,13,5,1,1,1
22,,10,2,3,1,0
23,18.91,15,13,0,1,1
24,17.23,14,6,1,1,1
25,,12,4,2,0,0
26,20.67,17,14,0,1,1
27,19.34,16,9,0,1,1
28,,11,3,3,0,0
29,18.12,14,10,1,1,1
30,16.78,13,8,0,1,1
31,,10,5,2,0,0
32,21.23,18,11,0,1,1
33,17.45,14,7,1,1,1
34,,12,2,3,0,0
35,19.67,16,12,0,1,1
36,18.34,15,8,0,1,1
37,,11,4,2,0,0
38,20.89,17,13,0,1,1
39,16.56,13,6,1,1,1
40,,10,3,3,0,0
41,19.12,15,11,0,1,1
42,17.89,14,9,0,1,1
43,,12,5,2,0,0
44,21.34,18,10,0,1,1
45,18.67,15,12,0,1,1
46,,11,2,3,1,0
47,20.23,17,8,0,1,1
48,16.91,13,7,1,1,1
49,,10,4,2,0,0
50,19.45,16,13,0,1,1
51,17.78,14,6,1,1,1
52,,12,3,3,0,0
53,20.56,17,11,0,1,1
54,18.23,15,9,0,1,1
55,,11,5,2,0,0
56,21.67,18,14,0,1,1
57,16.45,13,8,0,1,1
58,,10,2,3,0,0
59,19.78,16,10,0,1,1
60,17.34,14,12,1,1,1
61,,12,4,2,0,0
62,20.91,17,9,0,1,1
63,18.56,15,7,0,1,1
64,,11,3,3,0,0
65,19.23,16,11,0,1,1
66,17.67,14,13,1,1,1
67,,10,5,2,0,0
68,21.12,18,8,0,1,1
69,16.89,13,6,1,1,1
70,,12,2,3,0,0
71,20.45,17,12,0,1,1
72,18.78,15,10,0,1,1
73,,11,4,2,0,0
74,19.34,16,14,0,1,1
75,17.56,14,7,1,1,1
76,,10,3,3,1,0
77,21.23,18,9,0,1,1
78,16.67,13,11,0,1,1
79,,12,5,2,0,0
80,20.78,17,13,0,1,1
81,18.91,15,8,0,1,1
82,,11,2,3,0,0
83,19.67,16,12,0,1,1
84,17.23,14,6,1,1,1
85,,10,4,2,0,0
86,21.45,18,10,0,1,1
87,16.34,13,9,1,1,1
88,,12,3,3,0,0
89,20.12,17,11,0,1,1
90,18.45,15,14,0,1,1
91,,11,5,2,0,0
92,19.89,16,7,0,1,1
93,17.78,14,8,1,1,1
94,,10,2,3,0,0
95,20.56,17,12,0,1,1
96,18.23,15,13,0,1,1
97,,12,4,2,0,0
98,21.67,18,11,0,1,1
99,16.91,13,10,0,1,1
100,,11,3,3,0,0
101,19.34,16,9,0,1,1
102,17.45,14,12,1,1,1
103,,10,5,2,0,0
104,20.89,17,8,0,1,1
105,18.67,15,6,0,1,1
106,,12,2,3,1,0
107,19.12,16,14,0,1,1
108,17.89,14,11,1,1,1
109,,11,4,2,0,0
110,21.34,18,13,0,1,1
111,16.56,13,7,1,1,1
112,,10,3,3,0,0
113,20.23,17,10,0,1,1
114,18.78,15,9,0,1,1
115,,12,5,2,0,0
116,19.67,16,12,0,1,1
117,17.34,14,8,1,1,1
118,,11,2,3,0,0
119,21.12,18,14,0,1,1
120,16.89,13,11,0,1,1
121,,10,4,2,0,0
122,20.45,17,7,0,1,1
123,18.23,15,13,0,1,1
124,,12,3,3,0,0
125,19.78,16,10,0,1,1
126,17.67,14,6,1,1,1
127,,11,5,2,0,0
128,20.91,17,12,0,1,1
129,18.56,15,9,0,1,1
130,,10,2,3,1,0
131,19.23,16,11,0,1,1
132,17.12,14,14,1,1,1
133,,12,4,2,0,0
134,21.56,18,8,0,1,1
135,16.78,13,13,0,1,1
136,,11,3,3,0,0
137,20.34,17,9,0,1,1
138,18.91,15,7,0,1,1
139,,10,5,2,0,0
140,19.45,16,12,0,1,1
141,17.56,14,10,1,1,1
142,,12,2,3,0,0
143,21.23,18,11,0,1,1
144,16.45,13,6,1,1,1
145,,11,4,2,0,0
146,20.67,17,14,0,1,1
147,18.34,15,8,0,1,1
148,,10,3,3,0,0
149,19.89,16,13,0,1,1
150,17.78,14,9,1,1,1
151,,12,5,2,0,0
152,20.12,17,7,0,1,1
153,18.67,15,12,0,1,1
154,,11,2,3,1,0
155,19.34,16,10,0,1,1
156,17.23,14,11,1,1,1
157,,10,4,2,0,0
158,21.45,18,14,0,1,1
159,16.91,13,8,0,1,1
160,,12,3,3,0,0
161,20.78,17,13,0,1,1
162,18.45,15,6,0,1,1
163,,11,5,2,0,0
164,19.67,16,9,0,1,1
165,17.34,14,12,1,1,1
166,,10,2,3,0,0
167,20.56,17,11,0,1,1
168,18.89,15,7,0,1,1
169,,12,4,2,0,0
170,19.12,16,14,0,1,1
171,17.67,14,8,1,1,1
172,,11,3,3,0,0
173,21.34,18,10,0,1,1
174,16.56,13,13,0,1,1
175,,10,5,2,0,0
176,20.23,17,12,0,1,1
177,18.78,15,9,0,1,1
178,,12,2,3,1,0
179,19.45,16,11,0,1,1
180,17.89,14,6,1,1,1
181,,11,4,2,0,0
182,21.67,18,13,0,1,1
183,16.34,13,7,1,1,1
184,,10,3,3,0,0
185,20.91,17,14,0,1,1
186,18.23,15,10,0,1,1
187,,12,5,2,0,0
188,19.78,16,8,0,1,1
189,17.45,14,12,1,1,1
190,,11,2,3,0,0
191,20.45,17,9,0,1,1
192,18.67,15,11,0,1,1
193,,10,4,2,0,0
194,19.23,16,13,0,1,1
195,17.12,14,7,1,1,1
196,,12,3,3,0,0
197,21.12,18,12,0,1,1
198,16.78,13,14,0,1,1
199,,11,5,2,0,0
200,20.34,17,10,0,1,1
