x,y
-9.8,24.1
-9.5,22.8
-9.1,20.9
-8.7,19.2
-8.3,17.5
-7.9,15.8
-7.5,14.3
-7.1,12.9
-6.8,11.7
-6.4,10.4
-6.0,9.2
-5.6,8.1
-5.2,7.0
-4.8,6.1
-4.4,5.3
-4.0,4.6
-3.6,4.0
-3.2,3.5
-2.8,3.1
-2.4,2.8
-2.0,2.6
-1.6,2.5
-1.2,2.5
-0.8,2.6
-0.4,2.8
0.0,3.1
0.4,3.5
0.8,4.0
1.2,4.6
1.6,5.3
2.0,6.1
2.4,7.0
2.8,8.0
3.2,9.1
3.6,10.3
4.0,11.6
4.4,13.0
4.8,14.5
5.2,16.1
5.6,17.8
6.0,19.6
6.4,21.5
6.8,23.5
7.2,25.6
7.6,27.8
8.0,30.1
8.4,32.5
8.8,35.0
9.2,37.6
9.6,40.3
-9.7,23.6
-9.3,21.8
-8.9,19.6
-8.5,17.7
-8.1,16.0
-7.7,14.5
-7.3,13.1
-6.9,11.8
-6.5,10.6
-6.1,9.5
-5.7,8.5
-5.3,7.6
-4.9,6.8
-4.5,6.1
-4.1,5.5
-3.7,5.0
-3.3,4.6
-2.9,4.3
-2.5,4.1
-2.1,4.0
-1.7,4.0
-1.3,4.1
-0.9,4.3
-0.5,4.6
-0.1,5.0
0.3,5.5
0.7,6.1
1.1,6.8
1.5,7.6
1.9,8.5
2.3,9.5
2.7,10.6
3.1,11.8
3.5,13.1
3.9,14.5
4.3,16.0
4.7,17.6
5.1,19.3
5.5,21.1
5.9,23.0
6.3,25.0
6.7,27.1
7.1,29.3
7.5,31.6
7.9,34.0
8.3,36.5
8.7,39.1
9.1,41.8
9.5,44.6
9.9,47.5
-9.9,24.8
-9.4,22.3
-9.0,20.2
-8.6,18.4
-8.2,16.8
-7.8,15.3
-7.4,14.0
-7.0,12.8
-6.6,11.7
-6.2,10.7
-5.8,9.8
-5.4,9.0
-5.0,8.3
-4.6,7.7
-4.2,7.2
-3.8,6.8
-3.4,6.5
-3.0,6.3
-2.6,6.2
-2.2,6.2
-1.8,6.3
-1.4,6.5
-1.0,6.8
-0.6,7.2
-0.2,7.7
0.2,8.3
0.6,9.0
1.0,9.8
1.4,10.7
1.8,11.7
2.2,12.8
2.6,14.0
3.0,15.3
3.4,16.7
3.8,18.2
4.2,19.8
4.6,21.5
5.0,23.3
5.4,25.2
5.8,27.2
6.2,29.3
6.6,31.5
7.0,33.8
7.4,36.2
7.8,38.7
8.2,41.3
8.6,44.0
9.0,46.8
9.4,49.7
9.8,52.7
-9.6,23.2
-9.2,21.0
-8.8,19.1
-8.4,17.4
-8.0,15.9
-7.6,14.5
-7.2,13.2
-6.8,12.1
-6.4,11.1
-6.0,10.2
-5.6,9.4
-5.2,8.7
-4.8,8.1
-4.4,7.6
-4.0,7.2
-3.6,6.9
-3.2,6.7
-2.8,6.6
-2.4,6.6
-2.0,6.7
-1.6,6.9
-1.2,7.2
-0.8,7.6
-0.4,8.1
0.0,8.7
0.4,9.4
0.8,10.2
1.2,11.1
1.6,12.1
2.0,13.2
2.4,14.4
2.8,15.7
3.2,17.1
3.6,18.6
4.0,20.2
4.4,21.9
4.8,23.7
5.2,25.6
5.6,27.6
6.0,29.7
6.4,31.9
6.8,34.2
7.2,36.6
7.6,39.1
8.0,41.7
8.4,44.4
8.8,47.2
9.2,50.1
9.6,53.1
10.0,56.2
