I0215 08:12:34.123456       1 controller.go:156] cert-manager/controller/certificates "msg"="Starting controller" "controller"="certificates"
I0215 08:12:34.234567       1 controller.go:156] cert-manager/controller/orders "msg"="Starting controller" "controller"="orders"
I0215 08:12:34.345678       1 controller.go:156] cert-manager/controller/challenges "msg"="Starting controller" "controller"="challenges"
I0215 08:12:34.456789       1 controller.go:156] cert-manager/controller/issuers "msg"="Starting controller" "controller"="issuers"
I0215 08:12:34.567890       1 controller.go:189] cert-manager/controller "msg"="syncing item" "key"="default/webapp-tls"
I0215 08:12:35.123456       1 sync.go:234] cert-manager/controller/certificates "msg"="Certificate is up to date, no action required" "resource_name"="webapp-tls" "resource_namespace"="default"
I0215 08:12:45.234567       1 controller.go:189] cert-manager/controller "msg"="syncing item" "key"="letsencrypt-prod"
I0215 08:12:45.345678       1 sync.go:89] cert-manager/controller/clusterissuers "msg"="Verifying ClusterIssuer configuration" "resource_name"="letsencrypt-prod"
I0215 09:45:12.456789       1 controller.go:189] cert-manager/controller "msg"="syncing item" "key"="default/webapp-tls"
I0215 09:45:12.567890       1 sync.go:178] cert-manager/controller/certificates "msg"="Certificate requires renewal" "resource_name"="webapp-tls" "resource_namespace"="default"
I0215 09:45:12.678901       1 controller.go:189] cert-manager/controller/orders "msg"="Creating new ACME order" "certificate"="default/webapp-tls"
I0215 09:45:13.123456       1 sync.go:245] cert-manager/controller/orders "msg"="Created Order resource" "resource_name"="webapp-tls-abc123" "resource_namespace"="default"
I0215 09:45:13.234567       1 controller.go:189] cert-manager/controller/challenges "msg"="Creating challenge for domain" "domain"="webapp.example.com" "type"="DNS-01"
I0215 09:45:13.345678       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:45:13.456789       1 clouddns.go:89] cert-manager/controller/challenges/clouddns "msg"="Initializing CloudDNS client" "project"="prod-infrastructure-12345"
E0215 09:45:13.567890       1 clouddns.go:112] cert-manager/controller/challenges/clouddns "msg"="Failed to create CloudDNS client" "error"="google: could not find default credentials"
