transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,distance_from_last,ratio_to_median,label
TXN001,45.23,14,3,2,5.2,3.1,0.98,0
TXN002,67.89,10,1,4,8.7,12.3,1.15,0
TXN003,23.50,18,5,1,3.4,5.6,0.87,0
TXN004,156.78,12,2,3,15.2,8.9,1.45,0
TXN005,89.34,16,4,5,6.8,4.2,1.23,0
TXN006,34.56,9,0,2,4.1,7.8,0.76,0
TXN007,112.90,13,3,6,12.5,9.4,1.34,0
TXN008,78.45,11,1,4,9.3,6.7,1.18,0
TXN009,45.67,15,5,1,5.9,3.5,0.92,0
TXN010,198.23,17,2,7,18.4,11.2,1.56,0
TXN011,56.78,10,4,3,7.2,5.4,1.02,0
TXN012,89.12,14,0,5,10.6,8.1,1.28,0
TXN013,34.90,12,3,2,4.8,6.3,0.81,0
TXN014,123.45,16,1,4,14.7,9.8,1.42,0
TXN015,67.23,9,5,6,8.1,4.9,1.11,0
TXN016,45.89,18,2,1,5.6,7.2,0.95,0
TXN017,178.90,13,4,3,16.9,10.5,1.52,0
TXN018,92.34,11,0,5,11.2,6.8,1.31,0
TXN019,56.12,15,3,2,7.5,5.1,1.05,0
TXN020,234.56,17,1,7,22.3,13.7,1.78,0
TXN021,78.90,10,5,4,9.8,7.6,1.19,0
TXN022,43.21,14,2,1,5.3,4.5,0.89,0
TXN023,156.78,12,4,6,15.8,9.2,1.47,0
TXN024,89.45,16,0,3,10.9,8.4,1.26,0
TXN025,67.89,9,3,5,8.4,5.9,1.13,0
TXN026,134.56,18,1,2,13.5,10.1,1.38,0
TXN027,52.34,13,5,4,6.7,4.8,0.99,0
TXN028,98.76,11,2,6,11.8,7.3,1.29,0
TXN029,45.67,15,4,1,5.8,6.1,0.94,0
TXN030,189.23,17,0,7,19.2,12.4,1.61,0
TXN031,73.45,10,3,3,9.1,5.7,1.17,0
TXN032,56.78,14,1,5,7.4,4.3,1.04,0
TXN033,123.90,12,5,2,14.2,9.6,1.41,0
TXN034,87.34,16,2,4,10.5,8.2,1.24,0
TXN035,39.56,9,4,6,4.9,3.8,0.83,0
TXN036,167.89,18,0,1,17.3,11.5,1.54,0
TXN037,92.12,13,3,3,11.6,6.9,1.32,0
TXN038,64.56,11,1,5,8.2,5.3,1.09,0
TXN039,145.78,15,5,7,15.1,10.3,1.44,0
TXN040,78.90,17,2,2,9.7,7.8,1.21,0
TXN041,51.23,10,4,4,6.5,4.7,0.97,0
TXN042,198.45,14,0,6,20.1,13.2,1.67,0
TXN043,85.67,12,3,1,10.3,8.5,1.27,0
TXN044,43.89,16,1,3,5.4,3.9,0.88,0
TXN045,156.34,9,5,5,16.2,9.7,1.49,0
TXN046,72.56,18,2,2,9.4,6.4,1.16,0
TXN047,108.90,13,4,4,13.1,8.8,1.36,0
TXN048,59.12,11,0,6,7.8,5.2,1.07,0
TXN049,234.78,15,3,7,23.5,14.6,1.82,0
TXN050,91.45,17,1,3,11.3,7.1,1.30,0
TXN051,47.89,10,5,1,6.1,4.4,0.91,0
TXN052,178.23,14,2,5,18.7,11.8,1.58,0
TXN053,83.56,12,4,2,10.1,6.5,1.22,0
TXN054,54.78,16,0,4,7.1,5.6,1.01,0
TXN055,145.90,9,3,6,14.9,10.4,1.43,0
TXN056,76.34,18,1,1,9.5,7.9,1.20,0
TXN057,62.12,13,5,3,8.0,4.6,1.08,0
TXN058,189.56,11,2,7,19.8,12.9,1.63,0
TXN059,95.67,15,4,5,11.9,8.6,1.33,0
TXN060,41.89,17,0,2,5.1,3.7,0.86,0
TXN061,167.34,10,3,4,17.6,11.1,1.55,0
TXN062,88.45,14,1,6,10.8,7.4,1.25,0
TXN063,53.90,12,5,1,6.9,5.8,1.00,0
TXN064,212.78,16,2,3,21.4,13.5,1.73,0
TXN065,79.23,9,4,5,9.9,6.2,1.19,0
TXN066,46.56,18,0,2,5.9,4.1,0.93,0
TXN067,156.12,13,3,7,16.5,10.7,1.51,0
TXN068,84.78,11,1,4,10.4,8.3,1.23,0
TXN069,58.34,15,5,6,7.6,5.0,1.06,0
TXN070,198.90,17,2,1,20.3,12.8,1.69,0
TXN071,93.45,10,4,3,11.7,7.5,1.31,0
