*******************************************************************************
                    *** TeraChem v1.9 ***
                 Development Version
                    Build Date: 2023-03-15
*******************************************************************************

Job started on: Mon Apr 10 15:23:45 2023
Hostname: gpu-node-04.cluster.local

                         GPU CONFIGURATION
*******************************************************************************
GPU 0: NVIDIA Tesla V100-SXM2-32GB   (Compute Capability 7.0)
       Total Memory: 32480 MB
       Free Memory:  31245 MB
*******************************************************************************

                    MOLECULAR SYSTEM INFORMATION
*******************************************************************************
Charge: 0
Spin Multiplicity: 1
Total Number of Atoms: 6
Total Number of Electrons: 20

                    ATOMIC COORDINATES (Angstroms)
Atom    X            Y            Z
O      0.000000     0.000000     0.000000
H      0.757000     0.586000     0.000000
H     -0.757000     0.586000     0.000000
O      3.000000     0.000000     0.000000
H      3.757000     0.586000     0.000000
H      2.243000     0.586000     0.000000
*******************************************************************************

Basis Set: 6-31G**
SCF Method: RHF
Maximum SCF Iterations: 100
SCF Convergence Threshold: 1.0e-6 Hartrees

Starting SCF iterations...

*******************************************************************************
                         SCF ITERATION LOG
*******************************************************************************
Iter    Energy (Hartrees)      Delta E         DIIS Error    Time(s)
------------------------------------------------------------------------------
1      -150.234567891234    -150.234567891    0.458923441    0.45
2      -151.456789123456      -1.222221232    0.234561789    0.48
3      -151.892345678901      -0.435556555    0.156789234    0.46
4      -152.012345678912      -0.120000000    0.098765432    0.47
5      -152.045678901234      -0.033333222    0.087654321    0.48
6      -152.061234567890      -0.015555667    0.076543210    0.46
7      -152.070123456789      -0.008888889    0.065432109    0.47
8      -152.075456789012      -0.005333222    0.054321098    0.48
9      -152.078901234567      -0.003444445    0.043210987    0.47
10     -152.081234567890      -0.002333333    0.038765432    0.46
11     -152.082789012345      -0.001554445    0.035432109    0.48
12     -152.083890123456      -0.001101111    0.032109876    0.47
13     -152.084567890123      -0.000677767    0.029876543    0.46
14     -152.085012345678      -0.000444456    0.027654321    0.48
15     -152.085301234567      -0.000288889    0.025432198    0.47
16     -152.085490123456      -0.000188889    0.024321987    0.46
17     -152.085612345678      -0.000122222    0.023456789    0.48
18     -152.085690123456      -0.000077778    0.022987654    0.47
19     -152.085745678901      -0.000055555    0.022654321    0.46
20     -152.085784567890      -0.000038889    0.022345678    0.48
21     -152.085812345678      -0.000027778    0.022123456    0.47
22     -152.085834567890      -0.000022222    0.021987654    0.46
23     -152.085851234567      -0.000016667    0.021876543    0.48
24     -152.085863456789      -0.000012222    0.021789012    0.47
25     -152.085872345678      -0.000008889    0.021723456    0.46
26     -152.085879012345      -0.000006667    0.021676543    0.48
27     -152.085884123456      -0.000005111    0.021643210    0.47
