2024-01-15,P020,45,249.99,15.00,EAST
2024-01-18,P021,23,89.50,5.00,EAST
2024-01-22,P022,67,175.25,20.00,EAST
2024-02-03,P023,12,450.00,35.00,EAST
2024-02-07,P024,89,125.75,10.00,EAST
2024-02-14,P025,34,299.99,25.00,EAST
2024-02-19,P026,56,87.50,8.00,EAST
2024-02-28,P027,41,320.00,30.00,EAST
2024-03-05,P028,78,145.50,12.00,EAST
2024-03-08,P029,25,199.99,18.00,EAST
2024-03-12,P030,92,75.00,5.00,EAST
2024-03-15,P031,18,385.50,40.00,EAST
2024-03-20,P032,63,210.00,22.00,EAST
2024-03-25,P033,37,165.75,15.00,EAST
2024-04-02,P034,84,95.25,7.00,EAST
2024-04-05,P035,29,425.00,45.00,EAST
2024-04-10,P036,71,155.50,13.00,EAST
2024-04-15,P037,46,275.00,28.00,EAST
2024-04-20,P038,58,189.99,19.00,EAST
2024-04-25,P039,14,315.75,32.00,EAST
2024-05-01,P040,82,125.00,11.00,EAST
2024-05-06,P041,39,245.50,24.00,EAST
2024-05-15,P043,65,185.00,16.00,EAST
2024-05-20,P044,27,355.25,38.00,EAST
2024-05-25,P045,93,105.50,9.00,EAST
2024-05-30,P046,51,265.00,26.00,EAST
2024-06-03,P047,36,195.75,20.00,EAST
2024-06-08,P048,74,135.00,14.00,EAST
2024-06-13,P049,22,405.50,42.00,EAST
2024-06-18,P050,88,165.25,17.00,EAST
2024-06-23,P051,44,225.00,23.00,EAST
2024-06-28,P052,61,295.50,29.00,EAST
2024-07-02,P053,19,115.75,10.00,EAST
2024-07-07,P054,76,345.00,35.00,EAST
2024-07-12,P055,33,175.50,18.00,EAST
2024-07-17,P056,85,205.25,21.00,EAST
2024-07-22,P057,48,255.00,25.00,EAST
2024-07-27,P058,69,145.75,15.00,EAST
2024-08-01,P059,26,375.50,39.00,EAST
2024-08-05,P060,91,95.00,8.00,EAST
2024-08-10,P061,52,285.25,27.00,EAST
2024-08-15,P062,38,155.00,16.00,EAST
2024-08-20,P063,77,215.75,22.00,EAST
2024-08-25,P064,15,335.00,34.00,EAST
2024-09-01,P065,83,125.50,12.00,EAST
2024-09-05,P066,42,245.00,24.00,EAST
2024-09-15,P068,28,305.50,31.00,EAST
2024-09-20,P069,95,105.00,10.00,EAST
2024-09-25,P070,54,265.75,26.00,EAST
2024-09-30,P071,35,195.00,20.00,EAST
2024-10-05,P072,72,235.50,23.00,EAST
2024-10-10,P073,21,365.00,37.00,EAST
2024-10-15,P074,86,145.25,15.00,EAST
2024-10-20,P075,49,275.50,28.00,EAST
2024-10-25,P076,66,165.00,17.00,EAST
2024-10-30,P077,31,325.75,33.00,EAST
