2024-01-15,P040,25,125.50,5.00
2024-01-18,P041,30,89.99,2.50
2024-01-22,P042,15,245.00,10.00
2024-02-03,P043,50,45.75,0.00
2024-02-10,P044,42,199.99,15.50
2024-02-14,P045,18,320.00,25.00
2024-02-20,P046,65,78.50,3.75
2024-03-01,P047,33,156.25,8.00
2024-03-05,P048,22,425.00,30.00
2024-03-12,P049,47,95.50,4.25
2024-03-18,P050,55,180.00,12.00
2024-03-25,P051,12,299.99,20.00
2024-04-02,P052,38,67.50,1.50
2024-04-08,P053,29,410.00,35.00
2024-04-15,P054,61,125.75,6.50
2024-04-22,P055,44,215.00,18.00
2024-05-01,P056,19,345.50,22.50
2024-05-08,P057,73,52.25,0.50
2024-05-15,P058,26,188.00,9.00
2024-05-22,P059,51,276.50,16.00
2024-05-29,P060,35,98.75,5.25
2024-06-05,P061,48,155.00,11.00
2024-06-12,P062,14,389.99,28.00
2024-06-19,P063,67,73.50,2.75
2024-06-26,P064,41,229.00,14.50
2024-07-03,P065,23,310.00,19.00
2024-07-10,P066,56,142.50,7.50
2024-07-17,P067,31,267.75,13.25
2024-07-24,P068,45,95.00,4.00
2024-07-31,P069,28,378.50,26.00
2024-08-07,P070,63,118.25,6.00
2024-08-14,P071,17,456.00,32.00
2024-08-21,P072,52,84.50,3.50
2024-08-28,P073,39,201.00,10.50
2024-09-04,P074,24,335.75,21.00
2024-09-11,P075,70,59.99,1.25
2024-09-18,P076,46,173.50,8.75
2024-09-25,P077,33,298.00,17.50
2024-10-02,P078,58,127.25,7.00
2024-10-09,P079,21,412.50,29.00
2024-10-16,P080,49,91.75,4.50
